Date,Time,Open,High,Low,Close,Vol
11/17/2005,16:00,28.0,28.01,24.81,25.45,10566900.0
11/18/2005,16:00,25.55,27.51,24.8,27.1,2155300.0
11/21/2005,16:00,27.1,27.95,25.75,26.6,571700.0
11/22/2005,16:00,26.73,26.73,25.03,25.1,375900.0
11/23/2005,16:00,25.15,25.58,25.02,25.14,510000.0
11/25/2005,16:00,26.0,26.73,25.47,26.0,71100.0
11/28/2005,16:00,27.39,27.4,25.06,25.16,376200.0
11/29/2005,16:00,25.57,25.72,24.77,24.78,271200.0
11/30/2005,16:00,24.95,25.2,24.75,25.0,109400.0
12/01/2005,16:00,25.23,26.0,24.72,25.44,148100.0
12/02/2005,16:00,25.72,26.25,25.27,25.68,101300.0
12/05/2005,16:00,26.0,26.0,24.78,25.04,171700.0
12/06/2005,16:00,25.47,25.49,24.3,24.42,200600.0
12/07/2005,16:00,25.69,25.69,24.75,25.0,321400.0
12/08/2005,16:00,25.35,27.0,25.22,26.15,229200.0
12/09/2005,16:00,26.4,27.9,26.25,27.43,182200.0
12/12/2005,16:00,28.09,29.14,27.5,27.61,241400.0
12/13/2005,16:00,28.39,28.39,27.7,27.83,91600.0
12/14/2005,16:00,29.24,29.25,26.6,28.1,317500.0
12/15/2005,16:00,29.1,29.4,27.6,28.4,267300.0
12/16/2005,16:00,29.95,30.83,28.78,30.78,1173700.0
12/19/2005,16:00,30.99,31.0,29.53,30.04,375200.0
12/20/2005,16:00,29.69,30.22,28.97,29.02,286600.0
12/21/2005,16:00,28.91,29.13,27.9,28.81,357500.0
12/22/2005,16:00,28.74,28.95,28.23,28.77,100000.0
12/23/2005,16:00,28.89,28.89,27.21,28.02,233600.0
12/27/2005,16:00,28.76,30.15,28.69,29.99,330700.0
12/28/2005,16:00,30.5,33.0,29.99,32.43,461500.0
12/29/2005,16:00,33.0,34.75,32.51,34.72,1090800.0
12/30/2005,16:00,34.71,34.71,33.49,33.99,507600.0
01/03/2006,16:00,34.5,34.55,33.22,33.86,363700.0
01/04/2006,16:00,34.02,34.02,32.14,33.15,588300.0
01/05/2006,16:00,33.53,34.86,32.51,32.54,544900.0
01/06/2006,16:00,32.75,32.83,31.22,32.57,539400.0
01/09/2006,16:00,33.07,33.94,31.8,33.69,515500.0
01/10/2006,16:00,34.13,35.4,33.74,34.86,661100.0
01/11/2006,16:00,34.41,37.59,34.37,36.75,664200.0
01/12/2006,16:00,37.88,38.04,34.65,34.85,1301600.0
01/13/2006,16:00,35.6,36.55,33.85,33.98,786000.0
01/17/2006,16:00,33.98,35.0,33.38,34.06,416500.0
01/18/2006,16:00,33.65,35.3,32.53,35.25,870500.0
01/19/2006,16:00,35.94,36.0,34.12,34.24,1061000.0
01/20/2006,16:00,34.43,35.19,33.81,33.85,604900.0
01/23/2006,16:00,34.94,34.97,32.36,32.56,736300.0
01/24/2006,16:00,32.3,33.1,31.7,31.8,563500.0
01/25/2006,16:00,31.67,32.11,29.08,30.13,1645000.0
01/26/2006,16:00,31.99,35.6,31.2,35.44,2073900.0
