Date,Time,Open,High,Low,Close,Vol
12/29/1987,16:00,0.52,0.53,0.52,0.52,176304.0
12/30/1987,16:00,0.52,0.53,0.52,0.53,365200.0
12/31/1987,16:00,0.53,0.53,0.52,0.53,325400.0
01/04/1988,16:00,0.53,0.55,0.53,0.55,392504.0
01/05/1988,16:00,0.55,0.56,0.55,0.56,300600.0
01/06/1988,16:00,0.56,0.57,0.56,0.57,119200.0
01/07/1988,16:00,0.58,0.58,0.57,0.58,64504.0
01/08/1988,16:00,0.58,0.58,0.57,0.58,173904.0
01/11/1988,16:00,0.57,0.57,0.56,0.56,131600.0
01/12/1988,16:00,0.56,0.56,0.56,0.56,459600.0
01/13/1988,16:00,0.56,0.56,0.55,0.55,253400.0
01/14/1988,16:00,0.55,0.55,0.55,0.55,34704.0
01/15/1988,16:00,0.55,0.55,0.54,0.54,308000.0
01/18/1988,16:00,0.54,0.54,0.54,0.54,34704.0
01/19/1988,16:00,0.54,0.54,0.54,0.54,67000.0
01/20/1988,16:00,0.54,0.55,0.54,0.54,499304.0
01/21/1988,16:00,0.53,0.53,0.53,0.53,168904.0
01/22/1988,16:00,0.53,0.53,0.52,0.52,91904.0
01/25/1988,16:00,0.52,0.52,0.51,0.51,163904.0
01/26/1988,16:00,0.52,0.53,0.52,0.53,367704.0
01/27/1988,16:00,0.54,0.54,0.53,0.53,568904.0
01/28/1988,16:00,0.54,0.54,0.53,0.54,668304.0
01/29/1988,16:00,0.54,0.55,0.54,0.55,417304.0
02/01/1988,16:00,0.55,0.56,0.55,0.56,144000.0
02/02/1988,16:00,0.56,0.57,0.56,0.57,668304.0
02/03/1988,16:00,0.57,0.57,0.57,0.57,81904.0
02/04/1988,16:00,0.57,0.57,0.56,0.56,191304.0
02/05/1988,16:00,0.56,0.56,0.56,0.56,22304.0
02/08/1988,16:00,0.56,0.56,0.56,0.56,9904.0
02/09/1988,16:00,0.56,0.56,0.55,0.55,233504.0
02/10/1988,16:00,0.55,0.55,0.54,0.54,529104.0
02/11/1988,16:00,0.54,0.55,0.54,0.55,223600.0
02/12/1988,16:00,0.55,0.56,0.55,0.55,809904.0
02/16/1988,16:00,0.55,0.55,0.55,0.55,250904.0
02/17/1988,16:00,0.55,0.56,0.55,0.56,516704.0
02/18/1988,16:00,0.55,0.56,0.55,0.55,817304.0
02/19/1988,16:00,0.56,0.56,0.55,0.56,1560200.0
02/22/1988,16:00,0.56,0.56,0.56,0.56,894400.0
02/23/1988,16:00,0.56,0.56,0.56,0.56,154000.0
02/24/1988,16:00,0.57,0.57,0.57,0.57,434704.0
02/25/1988,16:00,0.57,0.57,0.56,0.56,79504.0
02/26/1988,16:00,0.56,0.56,0.55,0.55,300600.0
02/29/1988,16:00,0.55,0.56,0.55,0.56,665800.0
03/01/1988,16:00,0.57,0.57,0.55,0.56,422304.0
03/02/1988,16:00,0.56,0.56,0.56,0.56,171400.0
03/03/1988,16:00,0.55,0.56,0.55,0.56,1552704.0
03/04/1988,16:00,0.56,0.56,0.55,0.55,240904.0
03/07/1988,16:00,0.55,0.55,0.55,0.55,322904.0
03/08/1988,16:00,0.55,0.55,0.55,0.55,106800.0
03/09/1988,16:00,0.55,0.55,0.55,0.55,3137800.0
03/10/1988,16:00,0.55,0.55,0.55,0.55,526704.0
03/11/1988,16:00,0.55,0.55,0.54,0.55,134104.0
03/14/1988,16:00,0.54,0.55,0.54,0.55,419800.0
03/15/1988,16:00,0.55,0.55,0.55,0.55,474504.0
03/16/1988,16:00,0.55,0.56,0.55,0.55,141600.0
03/17/1988,16:00,0.55,0.56,0.55,0.56,1257104.0
03/18/1988,16:00,0.56,0.56,0.56,0.56,154000.0
03/21/1988,16:00,0.56,0.56,0.56,0.56,211104.0
03/22/1988,16:00,0.56,0.57,0.56,0.57,260800.0
03/23/1988,16:00,0.57,0.57,0.56,0.57,39704.0
03/24/1988,16:00,0.57,0.57,0.57,0.57,228504.0
03/25/1988,16:00,0.57,0.57,0.56,0.56,563904.0
03/28/1988,16:00,0.56,0.56,0.55,0.55,91904.0
03/29/1988,16:00,0.55,0.55,0.55,0.55,37200.0
03/30/1988,16:00,0.55,0.55,0.53,0.53,126704.0
03/31/1988,16:00,0.54,0.55,0.54,0.55,559000.0
04/04/1988,16:00,0.54,0.54,0.54,0.54,216104.0
04/05/1988,16:00,0.54,0.54,0.54,0.54,755200.0
04/06/1988,16:00,0.54,0.54,0.54,0.54,72000.0
04/07/1988,16:00,0.54,0.54,0.54,0.54,131600.0
04/08/1988,16:00,0.54,0.55,0.54,0.55,67000.0
04/11/1988,16:00,0.55,0.55,0.55,0.55,159000.0
04/12/1988,16:00,0.55,0.55,0.55,0.55,332904.0
04/13/1988,16:00,0.55,0.56,0.55,0.55,648400.0
04/14/1988,16:00,0.55,0.55,0.54,0.54,86904.0
04/15/1988,16:00,0.53,0.53,0.53,0.53,201200.0
04/18/1988,16:00,0.53,0.53,0.52,0.52,350304.0
04/19/1988,16:00,0.52,0.53,0.52,0.53,161400.0
04/20/1988,16:00,0.53,0.53,0.53,0.53,74504.0
04/21/1988,16:00,0.53,0.53,0.52,0.52,139104.0
04/22/1988,16:00,0.52,0.52,0.52,0.52,47200.0
04/25/1988,16:00,0.52,0.52,0.52,0.52,243400.0
04/26/1988,16:00,0.52,0.52,0.51,0.51,305504.0
04/27/1988,16:00,0.51,0.52,0.51,0.52,827304.0
04/28/1988,16:00,0.51,0.52,0.51,0.51,1440904.0
04/29/1988,16:00,0.51,0.52,0.51,0.52,568904.0
05/02/1988,16:00,0.52,0.52,0.52,0.52,109304.0
05/03/1988,16:00,0.52,0.52,0.52,0.52,96800.0
05/04/1988,16:00,0.52,0.52,0.52,0.52,166400.0
05/05/1988,16:00,0.52,0.52,0.52,0.52,161400.0
05/06/1988,16:00,0.52,0.52,0.51,0.51,3922904.0
05/09/1988,16:00,0.52,0.52,0.51,0.51,454600.0
05/10/1988,16:00,0.51,0.51,0.51,0.51,1214904.0
05/11/1988,16:00,0.51,0.51,0.50,0.50,161400.0
05/12/1988,16:00,0.51,0.51,0.50,0.51,181304.0
05/13/1988,16:00,0.50,0.50,0.50,0.50,59600.0
05/16/1988,16:00,0.50,0.50,0.50,0.50,375104.0
05/17/1988,16:00,0.50,0.50,0.49,0.50,278200.0
05/18/1988,16:00,0.50,0.51,0.50,0.51,939104.0
05/19/1988,16:00,0.51,0.51,0.51,0.51,168904.0
05/20/1988,16:00,0.51,0.51,0.51,0.51,255904.0
05/23/1988,16:00,0.51,0.51,0.51,0.51,832200.0
05/24/1988,16:00,0.51,0.52,0.50,0.50,1234704.0
05/25/1988,16:00,0.50,0.51,0.50,0.51,462104.0
05/26/1988,16:00,0.51,0.51,0.51,0.51,588800.0
05/27/1988,16:00,0.51,0.52,0.51,0.52,747800.0
05/31/1988,16:00,0.52,0.52,0.52,0.52,67000.0
06/01/1988,16:00,0.52,0.53,0.52,0.52,370104.0
06/02/1988,16:00,0.52,0.53,0.52,0.53,116704.0
06/03/1988,16:00,0.53,0.53,0.53,0.53,201200.0
06/06/1988,16:00,0.53,0.54,0.53,0.54,72000.0
06/07/1988,16:00,0.54,0.54,0.54,0.54,168904.0
06/08/1988,16:00,0.54,0.55,0.54,0.55,250904.0
06/09/1988,16:00,0.55,0.55,0.55,0.55,511800.0
06/10/1988,16:00,0.55,0.56,0.55,0.56,613600.0
06/13/1988,16:00,0.56,0.56,0.56,0.56,218600.0
06/14/1988,16:00,0.56,0.57,0.56,0.56,1552704.0
06/15/1988,16:00,0.56,0.57,0.56,0.56,1386304.0
06/16/1988,16:00,0.56,0.56,0.56,0.56,618600.0
06/17/1988,16:00,0.56,0.56,0.55,0.55,439704.0
06/20/1988,16:00,0.55,0.55,0.55,0.55,223600.0
06/21/1988,16:00,0.55,0.55,0.55,0.55,387504.0
06/22/1988,16:00,0.55,0.56,0.55,0.56,44704.0
06/23/1988,16:00,0.56,0.57,0.56,0.57,1393704.0
06/24/1988,16:00,0.57,0.59,0.57,0.58,561400.0
06/27/1988,16:00,0.58,0.58,0.58,0.58,327904.0
06/28/1988,16:00,0.58,0.58,0.58,0.58,377600.0
06/29/1988,16:00,0.58,0.59,0.58,0.59,288104.0
06/30/1988,16:00,0.59,0.59,0.59,0.59,422304.0
07/01/1988,16:00,0.59,0.59,0.58,0.58,188800.0
07/05/1988,16:00,0.58,0.59,0.58,0.59,59600.0
07/06/1988,16:00,0.59,0.59,0.59,0.59,144000.0
07/07/1988,16:00,0.58,0.59,0.58,0.58,104304.0
07/08/1988,16:00,0.58,0.59,0.58,0.59,216104.0
07/11/1988,16:00,0.58,0.58,0.57,0.57,211104.0
07/12/1988,16:00,0.57,0.57,0.56,0.56,412400.0
07/13/1988,16:00,0.56,0.56,0.56,0.56,173904.0
07/14/1988,16:00,0.56,0.56,0.55,0.55,231000.0
07/15/1988,16:00,0.55,0.55,0.54,0.55,352704.0
07/18/1988,16:00,0.55,0.56,0.55,0.55,109304.0
