Date,Time,Open,High,Low,Close,Vol
11/25/1991,16:00,0.72,0.73,0.71,0.71,1400.0
11/26/1991,16:00,0.73,0.73,0.71,0.73,1000.0
11/27/1991,16:00,0.73,0.73,0.69,0.69,2000.0
11/29/1991,16:00,0.71,0.71,0.69,0.69,1300.0
12/02/1991,16:00,0.69,0.71,0.67,0.71,1200.0
12/03/1991,16:00,0.69,0.71,0.69,0.71,800.0
12/04/1991,16:00,0.71,0.71,0.69,0.71,700.0
12/05/1991,16:00,0.71,0.71,0.69,0.71,800.0
12/06/1991,16:00,0.69,0.71,0.69,0.71,400.0
12/09/1991,16:00,0.70,0.73,0.70,0.71,700.0
12/10/1991,16:00,0.73,0.73,0.71,0.73,700.0
12/11/1991,16:00,0.71,0.73,0.71,0.73,400.0
12/12/1991,16:00,0.72,0.73,0.71,0.73,500.0
12/13/1991,16:00,0.73,0.73,0.71,0.71,400.0
12/16/1991,16:00,0.71,0.75,0.71,0.75,800.0
12/17/1991,16:00,0.75,0.75,0.71,0.72,700.0
12/18/1991,16:00,0.71,0.75,0.71,0.71,100.0
12/19/1991,16:00,0.73,0.75,0.71,0.71,400.0
12/20/1991,16:00,0.73,0.73,0.71,0.73,700.0
12/23/1991,16:00,0.71,0.73,0.69,0.73,600.0
12/24/1991,16:00,0.73,0.73,0.71,0.71,200.0
12/26/1991,16:00,0.73,0.73,0.69,0.73,200.0
12/27/1991,16:00,0.73,0.73,0.71,0.73,900.0
12/30/1991,16:00,0.72,0.75,0.72,0.73,700.0
12/31/1991,16:00,0.73,0.75,0.73,0.75,1600.0
01/02/1992,16:00,0.73,0.75,0.73,0.73,200.0
01/03/1992,16:00,0.75,0.78,0.73,0.75,1400.0
01/06/1992,16:00,0.73,0.78,0.73,0.78,600.0
01/07/1992,16:00,0.77,0.82,0.73,0.82,1300.0
01/08/1992,16:00,0.82,0.88,0.78,0.82,2600.0
01/09/1992,16:00,0.83,0.88,0.82,0.85,1300.0
01/10/1992,16:00,0.84,0.88,0.82,0.83,700.0
01/13/1992,16:00,0.82,0.86,0.82,0.86,300.0
01/14/1992,16:00,0.82,0.88,0.82,0.84,1000.0
01/15/1992,16:00,0.86,0.91,0.86,0.91,1100.0
01/16/1992,16:00,0.88,0.91,0.84,0.88,200.0
01/17/1992,16:00,0.91,0.91,0.84,0.87,200.0
01/20/1992,16:00,0.86,0.91,0.86,0.86,400.0
01/21/1992,16:00,0.84,0.91,0.84,0.84,1100.0
01/22/1992,16:00,0.91,0.91,0.82,0.91,400.0
01/23/1992,16:00,0.91,0.91,0.82,0.85,700.0
01/24/1992,16:00,0.86,0.88,0.82,0.86,300.0
01/27/1992,16:00,0.88,0.88,0.82,0.88,0.0
01/28/1992,16:00,0.88,0.91,0.84,0.88,600.0
01/29/1992,16:00,0.86,0.91,0.84,0.88,1700.0
01/30/1992,16:00,0.88,0.88,0.84,0.88,900.0
01/31/1992,16:00,0.86,0.88,0.84,0.84,200.0
02/03/1992,16:00,0.88,0.88,0.84,0.85,200.0
02/04/1992,16:00,0.82,0.86,0.82,0.86,300.0
02/05/1992,16:00,0.86,0.86,0.86,0.86,100.0
02/06/1992,16:00,0.86,0.86,0.82,0.86,200.0
02/07/1992,16:00,0.82,0.86,0.82,0.84,200.0
02/10/1992,16:00,0.86,0.86,0.82,0.86,100.0
02/11/1992,16:00,0.86,0.86,0.82,0.84,200.0
02/12/1992,16:00,0.86,0.86,0.82,0.85,200.0
02/13/1992,16:00,0.86,0.86,0.82,0.82,100.0
02/14/1992,16:00,0.86,0.86,0.83,0.84,300.0
02/18/1992,16:00,0.86,0.86,0.82,0.82,300.0
02/19/1992,16:00,0.82,0.84,0.82,0.84,0.0
02/20/1992,16:00,0.80,0.84,0.80,0.81,100.0
02/21/1992,16:00,0.81,0.84,0.81,0.81,100.0
02/24/1992,16:00,0.84,0.84,0.81,0.82,300.0
02/25/1992,16:00,0.84,0.86,0.82,0.84,900.0
02/26/1992,16:00,0.86,0.88,0.84,0.88,200.0
02/27/1992,16:00,0.88,0.88,0.88,0.88,0.0
02/28/1992,16:00,0.86,0.88,0.86,0.87,600.0
03/02/1992,16:00,0.86,0.88,0.86,0.86,400.0
