Date,Time,Open,High,Low,Close,Vol
08/12/2009,16:00,8.78,9.01,8.77,9.01,12713500.0
08/13/2009,16:00,9.00,9.01,8.92,9.01,1223300.0
08/14/2009,16:00,8.94,8.99,8.84,8.86,784100.0
08/17/2009,16:00,8.78,8.83,8.58,8.74,994200.0
08/18/2009,16:00,8.66,8.90,8.62,8.80,445900.0
08/19/2009,16:00,8.60,8.97,8.60,8.92,473700.0
08/20/2009,16:00,8.92,9.12,8.85,9.03,1188800.0
08/21/2009,16:00,9.03,9.12,8.78,8.99,1202700.0
08/24/2009,16:00,8.99,9.03,8.92,9.01,277100.0
08/25/2009,16:00,9.11,9.11,8.90,8.90,361100.0
08/26/2009,16:00,8.95,9.00,8.93,8.99,688300.0
08/27/2009,16:00,8.99,8.99,8.84,8.87,306900.0
08/28/2009,16:00,8.91,8.92,8.85,8.87,119500.0
08/31/2009,16:00,8.80,8.93,8.80,8.91,262700.0
09/01/2009,16:00,8.92,8.99,8.75,8.83,157100.0
09/02/2009,16:00,8.83,8.96,8.83,8.95,243600.0
09/03/2009,16:00,9.03,9.03,8.92,8.98,189200.0
09/04/2009,16:00,8.99,9.00,8.90,8.98,46700.0
09/08/2009,16:00,8.99,9.00,8.84,8.88,165100.0
09/09/2009,16:00,8.85,8.99,8.84,8.86,207100.0
09/10/2009,16:00,8.85,8.94,8.84,8.85,351400.0
09/11/2009,16:00,8.81,8.89,8.75,8.85,377700.0
09/14/2009,16:00,8.87,8.90,8.79,8.89,288800.0
09/15/2009,16:00,8.85,8.91,8.81,8.83,271800.0
09/16/2009,16:00,8.81,9.01,8.81,8.94,536600.0
09/17/2009,16:00,8.90,8.98,8.87,8.96,606500.0
09/18/2009,16:00,8.90,8.98,8.83,8.98,936200.0
09/21/2009,16:00,9.00,9.00,8.88,8.95,354200.0
09/22/2009,16:00,8.93,8.98,8.85,8.95,628900.0
09/23/2009,16:00,8.96,8.98,8.90,8.92,368700.0
09/24/2009,16:00,8.96,8.96,8.87,8.90,357100.0
09/25/2009,16:00,8.91,8.94,8.81,8.83,475100.0
09/28/2009,16:00,8.85,8.92,8.85,8.86,203200.0
09/29/2009,16:00,8.87,9.00,8.79,8.94,1088200.0
09/30/2009,16:00,8.94,9.28,8.90,9.12,6404800.0
10/01/2009,16:00,9.05,9.09,8.94,9.02,750500.0
10/02/2009,16:00,8.96,9.04,8.96,9.01,428900.0
10/05/2009,16:00,9.08,9.13,8.99,9.01,682100.0
10/06/2009,16:00,9.09,9.19,9.05,9.14,753400.0
10/07/2009,16:00,9.09,9.18,9.06,9.09,245000.0
10/08/2009,16:00,9.12,9.17,9.05,9.12,190400.0
10/09/2009,16:00,9.17,9.17,9.01,9.11,154900.0
10/12/2009,16:00,9.15,9.17,9.02,9.07,137200.0
10/13/2009,16:00,9.07,9.13,9.02,9.12,269200.0
10/14/2009,16:00,9.21,9.23,9.08,9.13,315000.0
10/15/2009,16:00,9.10,9.20,9.07,9.16,452000.0
10/16/2009,16:00,9.16,9.28,9.03,9.15,268100.0
10/19/2009,16:00,9.22,9.32,9.11,9.32,319700.0
10/20/2009,16:00,9.34,9.37,9.21,9.28,166400.0
10/21/2009,16:00,9.23,9.78,9.15,9.17,340500.0
10/22/2009,16:00,9.18,9.31,9.15,9.25,197000.0
10/23/2009,16:00,9.30,9.30,9.06,9.15,138200.0
10/26/2009,16:00,9.13,9.27,9.08,9.11,92200.0
10/27/2009,16:00,9.17,9.22,9.11,9.13,110200.0
10/28/2009,16:00,9.11,9.18,9.03,9.03,270100.0
10/29/2009,16:00,9.10,9.10,8.98,9.09,330500.0
10/30/2009,16:00,9.03,9.13,8.98,9.07,316100.0
11/02/2009,16:00,9.11,9.18,9.06,9.11,97300.0
11/03/2009,16:00,9.06,9.17,8.97,9.13,129300.0
11/04/2009,16:00,9.15,9.18,8.85,8.85,127200.0
11/05/2009,16:00,8.88,9.03,8.86,8.90,117100.0
11/06/2009,16:00,8.85,9.05,8.83,8.90,171800.0
11/09/2009,16:00,9.05,9.05,8.83,8.90,174100.0
11/10/2009,16:00,8.83,8.93,8.83,8.84,126300.0
11/11/2009,16:00,8.92,8.92,8.67,8.85,219700.0
11/12/2009,16:00,8.84,8.85,8.71,8.75,193500.0
11/13/2009,16:00,8.74,8.83,8.70,8.79,177700.0
11/16/2009,16:00,8.88,9.13,8.85,8.98,327100.0
11/17/2009,16:00,8.95,9.04,8.91,8.99,105700.0
11/18/2009,16:00,8.96,9.01,8.91,9.01,210400.0
11/19/2009,16:00,8.96,8.99,8.84,8.85,241900.0
11/20/2009,16:00,8.83,8.94,8.80,8.90,216900.0
11/23/2009,16:00,9.02,9.02,8.83,8.88,183400.0
11/24/2009,16:00,8.86,8.90,8.79,8.85,105700.0
11/25/2009,16:00,8.87,8.90,8.79,8.79,89700.0
