Date,Time,Open,High,Low,Close,Vol
12/09/1993,16:00,3.43,3.60,3.43,3.45,1600600.0
12/10/1993,16:00,3.45,3.45,3.43,3.43,194700.0
12/13/1993,16:00,3.43,3.45,3.41,3.43,89000.0
12/14/1993,16:00,3.41,3.43,3.41,3.41,107000.0
12/15/1993,16:00,3.41,3.43,3.41,3.41,48200.0
12/16/1993,16:00,3.43,3.49,3.41,3.49,92000.0
12/17/1993,16:00,3.47,3.49,3.45,3.45,33000.0
12/20/1993,16:00,3.43,3.45,3.43,3.43,29400.0
12/21/1993,16:00,3.45,3.47,3.43,3.43,67800.0
12/22/1993,16:00,3.45,3.49,3.45,3.49,31500.0
12/23/1993,16:00,3.49,3.49,3.43,3.45,8800.0
12/27/1993,16:00,3.42,3.49,3.42,3.46,5500.0
12/28/1993,16:00,3.46,3.49,3.44,3.44,9300.0
12/29/1993,16:00,3.46,3.46,3.46,3.46,6100.0
12/30/1993,16:00,3.46,3.46,3.46,3.46,8400.0
12/31/1993,16:00,3.46,3.46,3.44,3.44,3000.0
01/03/1994,16:00,3.46,3.49,3.46,3.46,18500.0
01/04/1994,16:00,3.49,3.51,3.42,3.42,23500.0
01/05/1994,16:00,3.44,3.49,3.44,3.44,8100.0
01/06/1994,16:00,3.44,3.46,3.44,3.44,9400.0
01/07/1994,16:00,3.44,3.51,3.44,3.49,14600.0
01/10/1994,16:00,3.49,3.51,3.46,3.46,30300.0
01/11/1994,16:00,3.49,3.61,3.49,3.55,35200.0
01/12/1994,16:00,3.57,3.61,3.57,3.61,23600.0
01/13/1994,16:00,3.59,3.59,3.53,3.55,18100.0
01/14/1994,16:00,3.59,3.61,3.53,3.61,35300.0
01/17/1994,16:00,3.59,3.59,3.53,3.55,7600.0
01/18/1994,16:00,3.55,3.59,3.51,3.55,22800.0
01/19/1994,16:00,3.57,3.70,3.57,3.68,63000.0
01/20/1994,16:00,3.72,3.74,3.70,3.72,69100.0
01/21/1994,16:00,3.72,3.74,3.66,3.68,46400.0
01/24/1994,16:00,3.68,3.70,3.66,3.68,15700.0
01/25/1994,16:00,3.68,3.68,3.55,3.55,17900.0
01/26/1994,16:00,3.51,3.57,3.51,3.55,8500.0
01/27/1994,16:00,3.51,3.59,3.51,3.57,11000.0
01/28/1994,16:00,3.61,3.66,3.61,3.63,32700.0
01/31/1994,16:00,3.66,3.68,3.61,3.68,46700.0
02/01/1994,16:00,3.70,3.70,3.63,3.66,27800.0
02/02/1994,16:00,3.68,3.68,3.63,3.63,22300.0
02/03/1994,16:00,3.66,3.66,3.63,3.63,18400.0
02/04/1994,16:00,3.66,3.68,3.61,3.63,35200.0
02/07/1994,16:00,3.66,3.66,3.55,3.66,29600.0
02/08/1994,16:00,3.66,3.68,3.59,3.59,37300.0
02/09/1994,16:00,3.63,3.63,3.59,3.61,20500.0
02/10/1994,16:00,3.66,3.66,3.61,3.66,9100.0
02/11/1994,16:00,3.68,3.72,3.66,3.72,29000.0
02/14/1994,16:00,3.68,3.76,3.68,3.76,17000.0
02/15/1994,16:00,3.76,3.83,3.74,3.76,39700.0
02/16/1994,16:00,3.78,3.89,3.78,3.89,23300.0
02/17/1994,16:00,3.89,4.02,3.89,4.00,63200.0
02/18/1994,16:00,4.00,4.04,3.96,4.00,28600.0
02/22/1994,16:00,4.00,4.04,4.00,4.02,24300.0
02/23/1994,16:00,4.02,4.04,3.93,4.00,58400.0
02/24/1994,16:00,3.98,3.98,3.85,3.89,28100.0
02/25/1994,16:00,3.89,3.89,3.74,3.74,38400.0
02/28/1994,16:00,3.76,3.81,3.72,3.78,119900.0
03/01/1994,16:00,3.76,3.78,3.76,3.78,10300.0
03/02/1994,16:00,3.76,3.81,3.74,3.76,36400.0
03/03/1994,16:00,3.74,3.85,3.74,3.81,17900.0
03/04/1994,16:00,3.81,3.81,3.74,3.76,54800.0
03/07/1994,16:00,3.81,3.83,3.78,3.78,5700.0
03/08/1994,16:00,3.76,3.85,3.76,3.78,6700.0
03/09/1994,16:00,3.85,3.85,3.81,3.81,9100.0
03/10/1994,16:00,3.83,3.85,3.81,3.81,12400.0
03/11/1994,16:00,3.83,3.93,3.83,3.89,16000.0
03/14/1994,16:00,3.93,3.93,3.91,3.93,27300.0
03/15/1994,16:00,3.98,3.98,3.91,3.96,16800.0
03/16/1994,16:00,3.96,4.00,3.93,4.00,6600.0
03/17/1994,16:00,4.02,4.02,3.93,3.93,4700.0
03/18/1994,16:00,3.98,3.98,3.93,3.93,3700.0
03/21/1994,16:00,3.96,3.98,3.96,3.96,4900.0
03/22/1994,16:00,4.00,4.00,3.96,3.96,5900.0
03/23/1994,16:00,3.98,4.02,3.98,4.02,3400.0
03/24/1994,16:00,4.00,4.06,4.00,4.04,7300.0
03/25/1994,16:00,4.02,4.09,4.02,4.09,10200.0
03/28/1994,16:00,4.11,4.11,3.96,3.98,46000.0
03/29/1994,16:00,3.98,4.09,3.98,4.06,46200.0
03/30/1994,16:00,4.12,4.12,4.03,4.05,33200.0
03/31/1994,16:00,4.02,4.09,4.00,4.00,153900.0
04/04/1994,16:00,4.00,4.00,3.91,3.91,47300.0
04/05/1994,16:00,3.91,3.91,3.82,3.89,37900.0
04/06/1994,16:00,3.91,4.00,3.91,3.96,25400.0
04/07/1994,16:00,3.98,4.13,3.98,4.11,29000.0
04/08/1994,16:00,4.09,4.09,4.00,4.00,20900.0
04/11/1994,16:00,4.05,4.07,4.05,4.07,25800.0
04/12/1994,16:00,4.07,4.11,4.00,4.02,12000.0
04/13/1994,16:00,4.02,4.11,4.02,4.11,11400.0
04/14/1994,16:00,4.13,4.18,4.07,4.09,12400.0
04/15/1994,16:00,4.09,4.09,4.02,4.02,2400.0
04/18/1994,16:00,4.05,4.07,4.05,4.05,1400.0
04/19/1994,16:00,4.07,4.07,4.02,4.02,4400.0
04/20/1994,16:00,4.02,4.09,4.02,4.05,7400.0
04/21/1994,16:00,4.09,4.09,4.05,4.09,3200.0
04/22/1994,16:00,4.09,4.09,4.05,4.07,5100.0
04/25/1994,16:00,4.09,4.11,4.09,4.11,20000.0
04/26/1994,16:00,4.11,4.22,4.11,4.18,2900.0
04/28/1994,16:00,4.25,4.27,4.25,4.25,13200.0
04/29/1994,16:00,4.22,4.25,4.22,4.25,2500.0
05/02/1994,16:00,4.27,4.34,4.27,4.27,14800.0
05/03/1994,16:00,4.25,4.27,4.25,4.25,3800.0
05/04/1994,16:00,4.25,4.25,4.22,4.22,7900.0
05/05/1994,16:00,4.20,4.27,4.20,4.27,15400.0
05/06/1994,16:00,4.27,4.27,4.22,4.22,400.0
05/09/1994,16:00,4.25,4.25,4.18,4.18,16400.0
05/10/1994,16:00,4.22,4.25,4.18,4.18,14600.0
05/11/1994,16:00,4.22,4.22,4.18,4.18,7800.0
05/12/1994,16:00,4.18,4.25,4.18,4.22,7900.0
05/13/1994,16:00,4.22,4.25,4.20,4.22,5200.0
05/16/1994,16:00,4.25,4.25,4.20,4.20,700.0
05/17/1994,16:00,4.22,4.25,4.20,4.20,2900.0
05/18/1994,16:00,4.25,4.25,4.18,4.20,7700.0
05/19/1994,16:00,4.20,4.27,4.20,4.25,8500.0
