Date,Time,Open,High,Low,Close,Vol
05/20/2009,16:00,15.0,15.16,13.55,13.75,13276100.0
05/21/2009,16:00,14.21,14.39,13.6,13.79,1838000.0
05/22/2009,16:00,14.0,14.09,13.25,13.29,678400.0
05/26/2009,16:00,13.18,13.85,12.7,13.6,631000.0
05/27/2009,16:00,13.89,13.89,13.3,13.75,360400.0
05/28/2009,16:00,13.97,14.66,13.42,14.52,768900.0
05/29/2009,16:00,14.74,15.35,14.5,15.0,884100.0
06/01/2009,16:00,15.44,15.96,15.18,15.7,515100.0
06/02/2009,16:00,15.35,15.72,15.1,15.42,249000.0
06/03/2009,16:00,14.05,15.15,14.05,14.85,563100.0
06/04/2009,16:00,14.85,14.85,13.93,13.98,439400.0
06/05/2009,16:00,14.1,14.1,13.6,13.6,402900.0
06/08/2009,16:00,13.51,14.15,13.23,14.07,480000.0
06/09/2009,16:00,14.07,14.44,14.0,14.41,99700.0
06/10/2009,16:00,14.7,14.93,14.14,14.92,357400.0
06/11/2009,16:00,15.15,15.69,14.74,15.3,451000.0
06/12/2009,16:00,15.28,15.28,14.38,14.49,350800.0
06/15/2009,16:00,14.65,14.85,13.8,14.01,238100.0
06/16/2009,16:00,14.2,14.29,13.83,14.07,156000.0
06/17/2009,16:00,14.08,14.65,13.79,14.48,257100.0
06/18/2009,16:00,14.4,14.5,14.2,14.33,126200.0
06/19/2009,16:00,14.49,14.57,13.92,14.07,188700.0
06/22/2009,16:00,14.0,14.07,13.55,13.61,277600.0
06/23/2009,16:00,13.58,14.36,13.33,13.6,311000.0
06/24/2009,16:00,13.62,14.11,13.26,13.41,354400.0
06/25/2009,16:00,13.36,14.5,13.3,14.38,473300.0
06/26/2009,16:00,14.39,15.39,14.1,15.15,1972800.0
06/29/2009,16:00,15.88,16.17,15.3,15.5,1221800.0
06/30/2009,16:00,15.96,16.82,15.81,16.49,1353400.0
07/01/2009,16:00,16.85,17.7,16.04,16.14,938700.0
07/02/2009,16:00,16.05,16.46,15.4,16.02,396000.0
07/06/2009,16:00,16.28,16.28,15.01,15.33,444500.0
07/07/2009,16:00,15.34,15.38,15.08,15.22,407400.0
07/08/2009,16:00,15.12,15.3,14.75,15.21,263800.0
07/09/2009,16:00,15.5,16.35,14.99,16.14,224500.0
07/10/2009,16:00,16.06,17.25,15.95,16.99,279200.0
07/13/2009,16:00,17.2,17.2,16.25,16.75,551700.0
