Date,Time,Open,High,Low,Close,Vol
07/01/1985,16:00,4.18,4.29,4.18,4.22,97200.0
07/02/1985,16:00,4.22,4.32,4.22,4.25,116400.0
07/03/1985,16:00,4.25,4.36,4.25,4.36,150201.0
07/05/1985,16:00,4.36,4.38,4.32,4.36,108201.0
07/08/1985,16:00,4.36,4.36,4.31,4.36,104001.0
07/09/1985,16:00,4.36,4.36,4.29,4.29,37401.0
07/10/1985,16:00,4.29,4.32,4.25,4.25,145401.0
07/11/1985,16:00,4.25,4.31,4.18,4.18,147801.0
07/12/1985,16:00,4.18,4.22,4.14,4.22,98601.0
07/15/1985,16:00,4.22,4.23,4.00,4.23,52401.0
07/16/1985,16:00,4.25,4.36,4.25,4.32,105600.0
07/17/1985,16:00,4.32,4.47,4.32,4.40,489000.0
07/18/1985,16:00,4.40,4.49,4.38,4.45,185601.0
07/19/1985,16:00,4.45,4.49,4.43,4.45,60600.0
07/22/1985,16:00,4.45,4.45,4.38,4.42,33801.0
07/23/1985,16:00,4.42,4.45,4.40,4.42,58800.0
07/24/1985,16:00,4.42,4.49,4.40,4.43,158601.0
07/25/1985,16:00,4.43,4.56,4.40,4.52,152601.0
07/26/1985,16:00,4.51,4.51,4.38,4.42,73200.0
07/29/1985,16:00,4.42,4.42,4.29,4.31,54201.0
07/30/1985,16:00,4.31,4.36,4.22,4.22,184800.0
07/31/1985,16:00,4.20,4.20,4.14,4.18,264000.0
08/01/1985,16:00,4.18,4.36,4.18,4.36,159801.0
08/02/1985,16:00,4.36,4.36,4.29,4.36,24801.0
08/05/1985,16:00,4.36,4.40,4.32,4.40,127800.0
08/06/1985,16:00,4.40,4.40,4.29,4.29,60201.0
08/07/1985,16:00,4.29,4.36,4.29,4.32,69201.0
08/08/1985,16:00,4.32,4.34,4.31,4.31,35001.0
08/09/1985,16:00,4.31,4.40,4.31,4.38,64200.0
08/12/1985,16:00,4.36,4.36,4.31,4.32,21801.0
