Date,Time,Open,High,Low,Close,Vol
07/31/2014,16:00,22.38,23.36,21.99,22.38,56477500.0
08/01/2014,16:00,22.28,22.38,22.06,22.38,6458100.0
08/04/2014,16:00,22.48,22.51,22.28,22.38,3453900.0
08/05/2014,16:00,22.37,22.39,22.06,22.38,4449000.0
08/06/2014,16:00,22.19,22.36,22.06,22.36,6993400.0
08/07/2014,16:00,22.27,22.38,22.19,22.31,3186900.0
08/08/2014,16:00,22.31,22.41,22.19,22.33,2855000.0
08/11/2014,16:00,22.28,22.31,22.19,22.31,1767500.0
08/12/2014,16:00,22.27,22.38,22.22,22.38,1549700.0
08/13/2014,16:00,22.38,22.61,22.27,22.56,1659100.0
08/14/2014,16:00,22.58,22.60,22.33,22.39,1391700.0
08/15/2014,16:00,22.40,22.46,22.38,22.38,1948100.0
08/18/2014,16:00,22.44,22.55,22.40,22.55,1073700.0
08/19/2014,16:00,22.58,23.77,22.58,23.75,2851800.0
08/20/2014,16:00,23.65,24.90,23.61,24.51,3544500.0
08/21/2014,16:00,24.79,24.83,24.25,24.71,2358000.0
08/22/2014,16:00,24.57,24.75,24.43,24.68,891600.0
08/25/2014,16:00,24.69,24.72,24.21,24.45,1185400.0
08/26/2014,16:00,24.33,24.43,24.27,24.38,951000.0
08/27/2014,16:00,24.33,24.85,24.28,24.79,1230600.0
08/28/2014,16:00,24.72,25.15,24.63,25.00,981700.0
08/29/2014,16:00,25.12,25.24,24.77,25.10,981200.0
09/02/2014,16:00,25.01,25.20,24.83,25.10,1873200.0
09/03/2014,16:00,25.29,25.30,24.94,25.10,996500.0
09/04/2014,16:00,24.84,25.06,24.82,25.01,1117500.0
09/05/2014,16:00,25.01,25.32,24.93,25.08,1089800.0
09/08/2014,16:00,25.13,25.28,23.96,24.17,2534800.0
09/09/2014,16:00,24.62,24.91,24.04,24.37,3608600.0
09/10/2014,16:00,24.51,24.63,24.03,24.04,1974600.0
09/11/2014,16:00,24.09,24.35,23.97,23.99,2029100.0
09/12/2014,16:00,23.87,24.09,23.78,23.84,1106800.0
09/15/2014,16:00,23.70,23.73,23.28,23.50,1125600.0
09/16/2014,16:00,23.59,23.71,23.24,23.66,1512100.0
09/17/2014,16:00,23.79,24.03,23.71,23.89,940400.0
09/18/2014,16:00,23.91,24.17,23.90,24.01,879100.0
09/19/2014,16:00,24.18,24.81,24.05,24.73,5257900.0
09/22/2014,16:00,24.60,24.68,24.09,24.17,735765.0
09/23/2014,16:00,24.00,24.04,23.53,23.92,939952.0
09/24/2014,16:00,24.07,24.33,24.01,24.25,964606.0
09/25/2014,16:00,24.31,24.31,23.95,23.97,1349775.0
09/26/2014,16:00,23.95,24.13,23.69,24.10,1252820.0
09/29/2014,16:00,23.91,24.11,23.69,24.04,1482038.0
09/30/2014,16:00,24.20,24.45,23.56,23.89,8795069.0
10/01/2014,16:00,23.78,23.93,23.53,23.57,1196643.0
10/02/2014,16:00,23.70,24.03,23.12,23.92,1252964.0
10/03/2014,16:00,24.11,24.42,23.75,24.16,1737477.0
10/06/2014,16:00,24.19,24.43,24.09,24.33,1057137.0
10/07/2014,16:00,24.27,24.30,23.89,24.18,803747.0
10/08/2014,16:00,24.14,24.35,24.04,24.35,1074471.0
10/09/2014,16:00,24.35,24.39,23.77,23.89,2536330.0
10/10/2014,16:00,23.84,24.06,23.49,23.55,1561676.0
10/13/2014,16:00,23.61,24.10,23.55,23.80,1726060.0
10/14/2014,16:00,23.97,24.28,23.92,24.18,1036448.0
10/15/2014,16:00,24.08,24.30,23.38,23.86,1529454.0
10/16/2014,16:00,23.55,24.13,23.48,23.94,1888961.0
10/17/2014,16:00,24.06,24.43,23.99,24.11,981663.0
10/20/2014,16:00,24.09,24.19,23.74,24.05,938297.0
10/21/2014,16:00,24.10,24.58,24.05,24.49,1699674.0
10/22/2014,16:00,24.57,24.77,24.47,24.70,1546051.0
10/23/2014,16:00,24.79,25.21,24.76,25.12,970103.0
10/24/2014,16:00,25.06,25.65,25.06,25.41,1223120.0
10/27/2014,16:00,25.38,26.07,25.32,25.82,1011418.0
10/28/2014,16:00,26.01,26.38,25.89,26.13,1002285.0
10/29/2014,16:00,26.09,26.35,25.95,26.28,730107.0
10/30/2014,16:00,26.35,26.71,25.80,26.07,1038922.0
10/31/2014,16:00,26.32,26.38,26.13,26.29,934642.0
11/03/2014,16:00,26.35,27.01,26.13,26.61,983695.0
11/04/2014,16:00,26.57,26.71,25.55,26.28,999259.0
11/05/2014,16:00,26.46,26.76,25.98,26.73,587333.0
11/06/2014,16:00,26.77,27.02,26.54,26.84,993082.0
11/07/2014,16:00,26.98,27.41,26.52,27.39,1165771.0
11/10/2014,16:00,27.47,28.10,27.25,28.00,1474182.0
11/11/2014,16:00,28.03,28.47,27.93,28.33,1643700.0
11/12/2014,16:00,28.22,28.38,27.87,28.25,1033749.0
11/13/2014,16:00,28.23,28.45,28.05,28.21,1656777.0
11/14/2014,16:00,28.14,28.77,28.08,28.27,1912049.0
11/17/2014,16:00,28.27,28.47,28.06,28.35,1010340.0
11/18/2014,16:00,28.43,28.64,28.01,28.17,948922.0
11/19/2014,16:00,28.21,28.22,27.88,28.16,2141818.0
11/20/2014,16:00,28.18,28.56,28.13,28.46,1300558.0
11/21/2014,16:00,28.51,28.61,28.23,28.39,1003929.0
11/24/2014,16:00,28.48,28.62,28.08,28.19,1177464.0
11/25/2014,16:00,28.15,28.53,27.28,27.89,5938515.0
11/26/2014,16:00,28.06,28.30,27.97,28.03,1327421.0
11/28/2014,16:00,27.98,28.25,27.98,28.23,425175.0
12/01/2014,16:00,28.22,28.35,27.96,28.11,1020970.0
12/02/2014,16:00,28.16,28.52,28.11,28.27,1091159.0
12/03/2014,16:00,28.34,28.36,28.12,28.22,730226.0
12/04/2014,16:00,28.23,28.55,28.13,28.37,828984.0
12/05/2014,16:00,28.49,28.50,28.15,28.47,818673.0
12/08/2014,16:00,28.50,29.04,28.24,28.72,1644063.0
12/09/2014,16:00,28.74,28.84,28.41,28.73,1086930.0
12/10/2014,16:00,28.76,29.10,28.71,28.85,759983.0
12/11/2014,16:00,28.87,29.20,28.64,28.73,1057901.0
12/12/2014,16:00,28.54,28.69,28.15,28.22,1632487.0
12/15/2014,16:00,28.37,28.43,27.40,27.86,1310487.0
12/16/2014,16:00,27.83,27.89,27.39,27.68,2241546.0
12/17/2014,16:00,27.75,28.21,27.56,28.12,1311935.0
12/18/2014,16:00,28.59,29.08,28.16,28.95,1015666.0
12/19/2014,16:00,29.02,29.24,28.99,29.20,1338635.0
12/22/2014,16:00,28.82,29.17,28.71,29.05,770971.0
12/23/2014,16:00,29.23,29.49,28.92,29.20,504084.0
12/24/2014,16:00,29.30,29.36,29.17,29.30,78580.0
12/26/2014,16:00,29.36,29.80,29.26,29.68,426545.0
12/29/2014,16:00,29.63,29.82,29.46,29.64,299211.0
12/30/2014,16:00,29.67,29.68,29.09,29.20,518111.0
12/31/2014,16:00,29.30,29.32,28.88,28.95,429964.0
01/02/2015,16:00,28.99,29.00,28.56,28.69,579959.0
01/05/2015,16:00,28.59,28.83,27.91,28.47,1593916.0
01/06/2015,16:00,28.61,28.64,27.69,28.08,2198339.0
01/07/2015,16:00,28.73,28.88,28.13,28.42,1365129.0
01/08/2015,16:00,28.74,29.29,28.70,29.18,835026.0
01/09/2015,16:00,29.26,29.26,28.70,28.90,472157.0
01/12/2015,16:00,28.96,29.00,28.74,28.74,756826.0
01/13/2015,16:00,28.97,29.20,28.67,28.91,630157.0
01/14/2015,16:00,28.60,28.81,28.29,28.37,866825.0
01/15/2015,16:00,28.41,28.47,27.17,27.75,1094307.0
01/16/2015,16:00,27.58,28.27,27.45,28.21,425216.0
01/20/2015,16:00,28.21,28.41,27.84,28.32,958207.0
01/21/2015,16:00,28.32,28.50,28.19,28.40,863735.0
01/22/2015,16:00,28.44,28.71,27.67,28.27,2514827.0
01/23/2015,16:00,29.20,31.14,28.22,30.14,3174311.0
01/26/2015,16:00,29.97,30.62,29.90,30.49,3123229.0
01/27/2015,16:00,30.35,30.66,30.06,30.48,1401782.0
01/28/2015,16:00,30.91,30.91,30.27,30.41,1038068.0
01/29/2015,16:00,30.38,30.65,30.17,30.39,1383433.0
01/30/2015,16:00,30.28,30.49,29.94,30.03,1255059.0
02/02/2015,16:00,30.01,30.35,29.87,30.32,758830.0
02/03/2015,16:00,30.46,30.66,30.13,30.30,919994.0
02/04/2015,16:00,30.28,30.54,30.15,30.41,1276172.0
02/05/2015,16:00,30.43,31.22,30.30,31.14,1114358.0
02/06/2015,16:00,31.21,31.80,31.11,31.28,1115925.0
02/09/2015,16:00,31.26,31.54,31.15,31.53,1118072.0
02/10/2015,16:00,31.75,32.24,31.50,32.22,2354003.0
02/11/2015,16:00,32.36,32.71,32.13,32.65,2110842.0
02/12/2015,16:00,32.84,33.05,32.63,32.71,2334621.0
02/13/2015,16:00,32.49,32.67,31.75,31.92,1234821.0
02/17/2015,16:00,31.92,31.93,31.00,31.06,1728014.0
02/18/2015,16:00,30.95,31.34,30.90,31.05,1054540.0
02/19/2015,16:00,31.08,31.22,30.94,31.03,556185.0
02/20/2015,16:00,31.10,31.89,30.83,31.72,2082271.0
02/23/2015,16:00,31.69,31.83,31.39,31.75,868710.0
02/24/2015,16:00,31.59,32.12,31.05,31.49,1028756.0
02/25/2015,16:00,31.46,31.72,31.24,31.42,672495.0
02/26/2015,16:00,31.66,31.83,31.49,31.58,356757.0
02/27/2015,16:00,31.50,31.68,31.07,31.09,553121.0
03/02/2015,16:00,30.82,31.18,30.38,31.10,785989.0
03/03/2015,16:00,31.30,31.39,31.00,31.28,484593.0
03/04/2015,16:00,31.19,31.19,30.97,31.03,439583.0
03/05/2015,16:00,31.12,31.60,30.93,31.10,485965.0
03/06/2015,16:00,31.08,31.14,30.35,30.36,694099.0
03/09/2015,16:00,30.50,31.29,30.41,31.12,776250.0
03/10/2015,16:00,30.95,31.07,30.25,30.27,912289.0
03/11/2015,16:00,30.41,30.87,30.28,30.70,588889.0
03/12/2015,16:00,30.93,31.16,30.71,31.03,503184.0
03/13/2015,16:00,31.02,31.08,30.42,30.97,889927.0
03/16/2015,16:00,31.14,31.14,30.94,31.09,628174.0
03/17/2015,16:00,30.83,31.57,30.73,31.37,818485.0
03/18/2015,16:00,31.35,31.35,30.78,31.06,630626.0
03/19/2015,16:00,31.06,31.53,30.99,31.50,657002.0
03/20/2015,16:00,31.63,32.00,31.35,31.39,1498010.0
03/23/2015,16:00,31.33,31.66,30.92,30.93,653907.0
03/24/2015,16:00,30.93,31.06,30.66,30.80,723565.0
03/25/2015,16:00,30.54,30.67,30.00,30.09,1175374.0
03/26/2015,16:00,30.18,30.20,29.56,29.79,887918.0
03/27/2015,16:00,29.92,29.92,29.13,29.25,960646.0
03/30/2015,16:00,29.35,29.59,29.25,29.48,577155.0
