Date,Time,Open,High,Low,Close,Vol
02/03/2004,16:00,15.15,16.22,15.0,16.0,5434000.0
02/04/2004,16:00,16.01,16.1,15.55,15.8,620700.0
02/05/2004,16:00,16.0,16.0,15.7,15.75,460400.0
02/06/2004,16:00,15.7,15.9,15.65,15.72,176000.0
02/09/2004,16:00,15.7,15.89,15.63,15.85,275800.0
02/10/2004,16:00,15.89,15.95,15.8,15.86,74600.0
02/11/2004,16:00,15.8,15.9,15.65,15.84,76200.0
02/12/2004,16:00,15.78,15.88,15.6,15.75,162500.0
02/13/2004,16:00,15.6,15.8,15.6,15.8,67300.0
02/17/2004,16:00,15.62,15.99,15.52,15.65,102500.0
02/18/2004,16:00,15.84,15.84,15.55,15.7,44800.0
02/19/2004,16:00,15.6,15.8,15.6,15.75,58500.0
02/20/2004,16:00,15.55,15.85,15.55,15.8,14200.0
02/23/2004,16:00,15.9,16.0,15.65,15.75,22400.0
02/24/2004,16:00,15.7,15.75,15.5,15.5,268100.0
02/25/2004,16:00,15.55,15.7,15.55,15.63,53300.0
02/26/2004,16:00,15.59,15.95,15.5,15.63,212700.0
02/27/2004,16:00,15.68,15.89,15.55,15.8,188600.0
03/01/2004,16:00,15.77,15.81,15.52,15.56,32900.0
03/02/2004,16:00,15.55,15.8,15.55,15.67,33100.0
03/03/2004,16:00,15.62,15.78,15.56,15.7,38900.0
03/04/2004,16:00,15.53,15.77,15.52,15.7,45000.0
03/05/2004,16:00,15.6,15.87,15.55,15.81,23300.0
03/08/2004,16:00,15.8,15.99,15.8,15.85,35300.0
03/09/2004,16:00,16.0,16.1,15.9,16.1,16100.0
03/10/2004,16:00,16.01,16.24,16.0,16.0,22700.0
03/11/2004,16:00,15.9,16.3,15.83,16.3,36800.0
03/12/2004,16:00,16.28,16.4,16.2,16.2,30800.0
03/15/2004,16:00,16.2,16.25,16.19,16.2,13300.0
03/16/2004,16:00,16.49,16.73,16.2,16.7,45300.0
03/17/2004,16:00,16.79,17.09,16.41,16.9,28600.0
03/18/2004,16:00,17.1,17.62,17.0,17.4,23800.0
03/19/2004,16:00,17.15,18.0,17.15,17.65,38000.0
03/22/2004,16:00,17.83,18.11,17.53,17.53,54300.0
03/23/2004,16:00,17.5,17.56,17.15,17.16,9800.0
03/24/2004,16:00,17.16,17.49,17.05,17.33,13600.0
03/25/2004,16:00,17.27,17.27,17.05,17.15,26500.0
03/26/2004,16:00,17.15,17.6,17.11,17.6,13100.0
03/29/2004,16:00,17.25,17.4,17.08,17.08,10000.0
03/30/2004,16:00,17.28,17.3,17.05,17.07,9100.0
03/31/2004,16:00,17.05,18.1,16.96,18.0,14500.0
