Date,Time,Open,High,Low,Close,Vol
10/10/2007,16:00,10.02,10.56,9.99,10.23,4961100.0
10/11/2007,16:00,10.40,10.40,9.74,9.81,1219100.0
10/12/2007,16:00,9.89,10.11,9.78,9.88,287000.0
10/15/2007,16:00,9.88,9.96,9.75,9.81,153300.0
10/16/2007,16:00,9.78,9.93,9.75,9.93,243600.0
10/17/2007,16:00,9.99,10.10,9.63,10.02,275100.0
10/18/2007,16:00,9.94,10.10,9.76,9.91,247200.0
10/19/2007,16:00,9.90,10.05,9.51,9.76,241400.0
10/22/2007,16:00,9.71,9.81,9.07,9.81,344200.0
10/23/2007,16:00,9.69,9.97,9.69,9.80,147400.0
10/24/2007,16:00,9.78,9.90,9.60,9.63,53600.0
10/25/2007,16:00,9.66,9.93,9.66,9.90,105500.0
10/26/2007,16:00,9.91,9.96,9.84,9.89,133100.0
10/29/2007,16:00,9.90,9.96,9.70,9.75,114600.0
10/30/2007,16:00,9.72,9.81,9.48,9.58,193800.0
10/31/2007,16:00,9.59,9.65,9.45,9.54,52900.0
11/01/2007,16:00,9.40,9.63,9.38,9.51,61500.0
11/02/2007,16:00,9.48,9.63,9.48,9.61,48800.0
11/05/2007,16:00,9.56,9.75,9.45,9.70,64700.0
11/06/2007,16:00,9.64,9.78,9.63,9.77,43400.0
11/07/2007,16:00,9.73,9.76,9.60,9.60,154700.0
11/08/2007,16:00,9.17,9.71,9.17,9.60,92900.0
11/09/2007,16:00,9.49,9.49,9.19,9.31,19300.0
11/12/2007,16:00,9.32,9.62,8.36,8.59,126200.0
11/13/2007,16:00,8.45,8.54,8.35,8.45,66900.0
11/14/2007,16:00,8.46,8.71,8.37,8.43,103900.0
11/15/2007,16:00,8.35,8.36,7.98,8.07,29200.0
11/16/2007,16:00,8.21,8.45,8.15,8.33,110900.0
11/19/2007,16:00,8.47,8.58,8.40,8.51,137600.0
11/20/2007,16:00,8.46,8.58,8.42,8.58,182800.0
11/21/2007,16:00,8.50,8.53,8.32,8.33,107100.0
11/23/2007,16:00,8.59,8.59,8.39,8.51,59000.0
11/26/2007,16:00,8.45,8.54,8.39,8.45,395500.0
11/27/2007,16:00,8.47,8.48,8.31,8.42,64600.0
11/28/2007,16:00,8.53,8.84,8.53,8.82,13300.0
11/29/2007,16:00,8.74,9.89,8.74,9.65,225400.0
11/30/2007,16:00,9.77,10.13,9.77,9.98,129200.0
12/03/2007,16:00,9.92,9.97,9.68,9.85,103700.0
12/04/2007,16:00,9.86,9.88,9.68,9.85,26700.0
12/05/2007,16:00,10.09,10.09,9.60,10.00,21500.0
12/06/2007,16:00,9.99,10.07,9.77,9.96,74800.0
12/07/2007,16:00,9.97,10.19,9.92,10.07,141400.0
12/10/2007,16:00,10.08,10.18,9.96,10.10,47800.0
