Date,Time,Open,High,Low,Close,Vol
05/03/2010,16:00,196.87,225.0,196.87,225.0,0.0
05/04/2010,16:00,225.0,225.0,196.87,225.0,0.0
05/05/2010,16:00,225.0,225.0,196.87,225.0,0.0
05/06/2010,16:00,225.0,225.0,225.0,225.0,0.0
05/07/2010,16:00,196.87,196.87,196.87,196.87,0.0
05/10/2010,16:00,196.87,196.87,168.75,168.75,0.0
05/11/2010,16:00,168.75,225.0,168.75,225.0,0.0
05/12/2010,16:00,225.0,225.0,225.0,225.0,0.0
05/13/2010,16:00,168.75,196.87,168.75,196.87,0.0
05/14/2010,16:00,196.87,196.87,196.87,196.87,0.0
05/17/2010,16:00,196.87,196.87,196.87,196.87,0.0
05/18/2010,16:00,196.87,196.87,196.87,196.87,0.0
05/19/2010,16:00,168.75,225.0,168.75,168.75,0.0
05/20/2010,16:00,168.75,168.75,140.62,140.62,0.0
05/21/2010,16:00,140.62,168.75,140.62,168.75,0.0
05/24/2010,16:00,168.75,168.75,168.75,168.75,0.0
05/25/2010,16:00,140.62,168.75,140.62,168.75,0.0
05/26/2010,16:00,168.75,196.87,168.75,168.75,0.0
05/27/2010,16:00,168.75,168.75,168.75,168.75,0.0
05/28/2010,16:00,168.75,196.87,140.62,196.87,0.0
06/01/2010,16:00,196.87,196.87,140.62,196.87,0.0
06/02/2010,16:00,140.62,196.87,140.62,196.87,0.0
06/03/2010,16:00,140.62,168.75,140.62,168.75,0.0
06/04/2010,16:00,168.75,168.75,168.75,168.75,0.0
06/07/2010,16:00,168.75,168.75,168.75,168.75,0.0
06/08/2010,16:00,168.75,196.87,168.75,196.87,0.0
06/09/2010,16:00,140.62,168.75,140.62,168.75,0.0
06/10/2010,16:00,140.62,168.75,140.62,140.62,0.0
06/11/2010,16:00,168.75,168.75,168.75,168.75,0.0
06/14/2010,16:00,168.75,168.75,140.62,140.62,0.0
06/15/2010,16:00,140.62,140.62,140.62,140.62,0.0
06/16/2010,16:00,140.62,140.62,140.62,140.62,0.0
06/17/2010,16:00,168.75,168.75,168.75,168.75,0.0
06/18/2010,16:00,168.75,168.75,168.75,168.75,0.0
06/21/2010,16:00,168.75,168.75,168.75,168.75,0.0
06/22/2010,16:00,168.75,168.75,168.75,168.75,0.0
06/23/2010,16:00,168.75,168.75,168.75,168.75,0.0
06/24/2010,16:00,168.75,168.75,168.75,168.75,0.0
06/25/2010,16:00,168.75,168.75,140.62,168.75,0.0
06/28/2010,16:00,168.75,168.75,140.62,140.62,0.0
06/29/2010,16:00,140.62,168.75,140.62,140.62,0.0
06/30/2010,16:00,140.62,140.62,140.62,140.62,0.0
07/01/2010,16:00,140.62,140.62,140.62,140.62,0.0
07/02/2010,16:00,140.62,140.62,140.62,140.62,0.0
07/06/2010,16:00,140.62,140.62,140.62,140.62,0.0
07/07/2010,16:00,140.62,140.62,140.62,140.62,0.0
07/08/2010,16:00,140.62,140.62,140.62,140.62,0.0
07/09/2010,16:00,140.62,140.62,140.62,140.62,0.0
07/12/2010,16:00,140.62,140.62,140.62,140.62,0.0
07/13/2010,16:00,140.62,140.62,140.62,140.62,0.0
07/14/2010,16:00,112.5,140.62,84.37,140.62,0.0
07/15/2010,16:00,112.5,112.5,112.5,112.5,0.0
07/16/2010,16:00,112.5,112.5,112.5,112.5,0.0
07/19/2010,16:00,140.62,140.62,140.62,140.62,0.0
07/20/2010,16:00,140.62,140.62,140.62,140.62,0.0
07/21/2010,16:00,140.62,140.62,140.62,140.62,0.0
07/22/2010,16:00,140.62,140.62,140.62,140.62,0.0
07/23/2010,16:00,140.62,140.62,140.62,140.62,0.0
07/26/2010,16:00,140.62,140.62,140.62,140.62,0.0
07/27/2010,16:00,140.62,140.62,140.62,140.62,0.0
07/28/2010,16:00,140.62,140.62,140.62,140.62,0.0
07/29/2010,16:00,140.62,140.62,112.5,140.62,0.0
07/30/2010,16:00,140.62,140.62,140.62,140.62,0.0
08/02/2010,16:00,112.5,112.5,112.5,112.5,0.0
08/03/2010,16:00,112.5,112.5,112.5,112.5,0.0
