Date,Time,Open,High,Low,Close,Vol
07/20/1995,16:00,5.60,5.66,5.51,5.66,1701600.0
07/21/1995,16:00,5.66,5.72,5.60,5.60,307000.0
07/24/1995,16:00,5.63,5.66,5.60,5.63,188800.0
07/25/1995,16:00,5.66,5.66,5.60,5.63,102200.0
07/26/1995,16:00,5.63,5.63,5.60,5.60,133000.0
07/27/1995,16:00,5.60,5.72,5.60,5.66,113200.0
07/28/1995,16:00,5.63,5.79,5.63,5.72,155200.0
07/31/1995,16:00,5.72,5.79,5.66,5.79,133200.0
08/01/1995,16:00,5.75,5.85,5.72,5.85,99400.0
08/02/1995,16:00,5.85,5.94,5.85,5.91,43200.0
08/03/1995,16:00,5.91,5.94,5.85,5.88,48600.0
08/04/1995,16:00,5.88,5.88,5.82,5.82,33800.0
08/07/1995,16:00,5.79,5.79,5.75,5.79,125000.0
08/08/1995,16:00,5.85,5.85,5.79,5.79,134200.0
08/09/1995,16:00,5.82,5.85,5.79,5.79,17400.0
08/10/1995,16:00,5.79,5.91,5.79,5.91,33000.0
08/11/1995,16:00,5.91,6.06,5.91,6.06,43200.0
08/14/1995,16:00,6.12,6.24,5.94,5.94,116800.0
08/15/1995,16:00,6.06,6.09,5.97,5.97,132200.0
08/16/1995,16:00,6.00,6.00,5.85,5.85,211400.0
08/17/1995,16:00,5.88,6.00,5.88,5.91,71400.0
08/18/1995,16:00,5.88,5.97,5.88,5.97,106200.0
08/21/1995,16:00,5.97,5.97,5.85,5.85,45400.0
08/22/1995,16:00,5.91,5.91,5.79,5.79,35400.0
08/23/1995,16:00,5.66,5.72,5.66,5.70,115200.0
08/24/1995,16:00,5.70,5.72,5.70,5.72,100200.0
08/25/1995,16:00,5.75,5.79,5.75,5.79,43000.0
08/28/1995,16:00,5.85,5.85,5.82,5.82,28400.0
08/29/1995,16:00,5.85,5.85,5.70,5.70,89200.0
08/30/1995,16:00,5.72,5.72,5.66,5.70,181000.0
08/31/1995,16:00,5.72,5.79,5.70,5.79,100000.0
09/01/1995,16:00,5.85,5.88,5.85,5.85,10200.0
09/05/1995,16:00,5.85,5.88,5.82,5.85,40200.0
09/06/1995,16:00,5.88,5.91,5.88,5.91,28000.0
09/07/1995,16:00,5.94,6.06,5.94,6.00,121400.0
09/08/1995,16:00,6.00,6.03,5.97,5.97,22400.0
09/11/1995,16:00,6.00,6.00,5.94,5.94,6400.0
09/12/1995,16:00,5.97,6.03,5.97,6.03,15400.0
09/13/1995,16:00,6.00,6.00,5.94,5.97,20600.0
09/14/1995,16:00,6.00,6.03,6.00,6.03,39200.0
09/15/1995,16:00,6.06,6.09,6.03,6.03,21400.0
09/18/1995,16:00,6.09,6.09,6.03,6.03,33400.0
09/19/1995,16:00,6.06,6.09,6.03,6.06,20000.0
09/20/1995,16:00,6.06,6.06,6.03,6.03,1600.0
09/21/1995,16:00,6.03,6.03,6.00,6.03,65600.0
09/22/1995,16:00,6.00,6.00,5.94,5.97,52200.0
09/25/1995,16:00,5.94,5.94,5.88,5.91,41000.0
09/26/1995,16:00,5.91,5.91,5.85,5.88,17600.0
09/27/1995,16:00,5.85,5.88,5.85,5.88,103000.0
09/28/1995,16:00,5.85,5.88,5.85,5.85,82600.0
09/29/1995,16:00,5.85,5.85,5.85,5.85,34200.0
10/02/1995,16:00,5.88,5.88,5.85,5.85,1200.0
10/03/1995,16:00,5.91,5.91,5.91,5.91,8200.0
10/04/1995,16:00,5.91,5.91,5.91,5.91,3600.0
10/05/1995,16:00,5.91,5.91,5.91,5.91,1000.0
10/06/1995,16:00,5.85,5.88,5.85,5.85,25800.0
10/09/1995,16:00,5.82,5.82,5.75,5.75,384000.0
10/10/1995,16:00,5.82,5.85,5.79,5.85,46200.0
10/11/1995,16:00,5.85,5.88,5.85,5.85,3400.0
10/12/1995,16:00,5.90,5.96,5.90,5.93,33200.0
10/13/1995,16:00,5.93,5.93,5.93,5.93,11600.0
10/16/1995,16:00,5.90,5.90,5.90,5.90,29400.0
10/17/1995,16:00,5.90,5.93,5.90,5.93,39000.0
10/18/1995,16:00,5.96,5.96,5.93,5.93,13600.0
10/19/1995,16:00,5.96,5.96,5.90,5.90,6000.0
10/20/1995,16:00,5.90,5.93,5.90,5.90,248000.0
