Date,Time,Open,High,Low,Close,Vol
10/15/2010,16:00,13.02,13.21,12.27,12.50,3436100.0
10/18/2010,16:00,12.47,12.57,12.38,12.50,286300.0
10/19/2010,16:00,12.54,12.54,12.30,12.45,109900.0
10/20/2010,16:00,12.40,12.54,12.30,12.50,69300.0
10/21/2010,16:00,12.38,12.47,12.35,12.47,31700.0
10/22/2010,16:00,12.49,12.49,12.35,12.36,30800.0
10/25/2010,16:00,12.36,12.47,12.25,12.37,63500.0
10/26/2010,16:00,12.40,12.40,12.25,12.35,52400.0
10/27/2010,16:00,12.35,12.48,12.25,12.38,31900.0
10/28/2010,16:00,12.25,12.40,12.01,12.23,117700.0
10/29/2010,16:00,12.19,12.43,12.01,12.35,71300.0
11/01/2010,16:00,12.35,12.41,12.25,12.27,49200.0
11/02/2010,16:00,12.33,12.40,12.15,12.36,39800.0
11/03/2010,16:00,12.40,12.80,12.35,12.68,158000.0
11/04/2010,16:00,12.96,13.41,12.34,13.37,99600.0
11/05/2010,16:00,13.46,14.04,13.29,13.65,160000.0
11/08/2010,16:00,13.94,14.39,13.21,13.59,75700.0
11/09/2010,16:00,13.68,13.68,13.40,13.57,128100.0
11/10/2010,16:00,13.55,13.99,13.46,13.66,58300.0
11/11/2010,16:00,13.46,13.75,13.27,13.62,37800.0
11/12/2010,16:00,13.54,13.66,13.28,13.64,24100.0
11/15/2010,16:00,13.69,13.79,13.45,13.78,53000.0
11/16/2010,16:00,13.51,13.84,13.32,13.80,34500.0
11/17/2010,16:00,13.79,13.84,13.39,13.58,34600.0
11/18/2010,16:00,13.69,13.79,13.41,13.46,130700.0
11/19/2010,16:00,13.43,13.46,13.24,13.24,69900.0
11/22/2010,16:00,13.28,13.41,12.91,13.28,53200.0
11/23/2010,16:00,13.30,13.55,13.17,13.53,38700.0
11/24/2010,16:00,14.08,14.42,13.99,14.25,345600.0
11/26/2010,16:00,14.26,14.31,13.70,14.25,30200.0
11/29/2010,16:00,14.37,14.53,14.32,14.39,59800.0
11/30/2010,16:00,14.23,14.42,14.08,14.42,47800.0
12/01/2010,16:00,14.42,14.66,14.32,14.57,138600.0
12/02/2010,16:00,14.66,15.34,14.55,15.08,201000.0
12/03/2010,16:00,14.80,15.34,14.75,15.23,95400.0
12/06/2010,16:00,15.23,15.62,15.07,15.50,149400.0
12/07/2010,16:00,15.86,15.86,15.60,15.80,98900.0
12/08/2010,16:00,15.86,15.99,15.34,15.76,66500.0
12/09/2010,16:00,15.86,15.96,15.79,15.88,81100.0
12/10/2010,16:00,15.84,16.07,15.66,15.81,76000.0
12/13/2010,16:00,15.89,15.97,15.53,15.75,54900.0
12/14/2010,16:00,15.71,15.78,15.57,15.72,32500.0
12/15/2010,16:00,15.68,15.72,15.34,15.47,24100.0
12/16/2010,16:00,15.46,15.76,15.25,15.63,43100.0
12/17/2010,16:00,15.43,16.45,14.91,15.67,724900.0
12/20/2010,16:00,15.73,16.11,15.65,16.00,55900.0
12/21/2010,16:00,16.10,16.67,15.96,16.46,169900.0
12/22/2010,16:00,16.44,17.01,16.25,16.84,72700.0
12/23/2010,16:00,16.86,17.27,16.86,17.21,98000.0
12/27/2010,16:00,17.18,17.41,16.88,16.88,25200.0
12/28/2010,16:00,16.94,17.32,16.43,16.86,61300.0
12/29/2010,16:00,16.81,16.89,16.47,16.87,93900.0
12/30/2010,16:00,16.78,16.87,16.43,16.57,24700.0
