Date,Time,Open,High,Low,Close,Vol
08/12/2008,16:00,7.53,7.53,6.12,6.89,11300.0
08/13/2008,16:00,7.37,8.48,7.35,8.14,16000.0
08/14/2008,16:00,8.09,9.58,8.09,9.50,29600.0
08/15/2008,16:00,9.51,10.45,9.22,9.23,30500.0
08/18/2008,16:00,9.32,9.32,7.62,7.85,37300.0
08/19/2008,16:00,7.58,7.62,6.68,7.20,101700.0
08/20/2008,16:00,7.11,7.29,6.64,6.98,341400.0
08/21/2008,16:00,6.59,8.47,6.57,7.02,675400.0
08/22/2008,16:00,7.06,7.79,7.06,7.52,271400.0
08/25/2008,16:00,8.03,8.37,7.58,7.71,230000.0
08/26/2008,16:00,7.58,7.66,6.93,7.27,118900.0
08/27/2008,16:00,7.07,7.48,6.77,7.15,137800.0
08/28/2008,16:00,7.25,7.33,6.82,7.24,292500.0
08/29/2008,16:00,6.95,7.26,6.87,7.15,113000.0
09/02/2008,16:00,6.60,7.63,6.60,7.58,121500.0
09/03/2008,16:00,8.50,8.50,7.09,7.74,158500.0
09/04/2008,16:00,7.39,7.84,7.28,7.59,76600.0
09/05/2008,16:00,7.62,7.71,7.28,7.34,202500.0
09/08/2008,16:00,7.16,7.93,7.15,7.54,128100.0
09/09/2008,16:00,7.40,7.60,7.40,7.48,103100.0
09/10/2008,16:00,7.53,7.61,7.19,7.35,84800.0
09/11/2008,16:00,7.35,7.38,6.93,7.20,83600.0
09/12/2008,16:00,7.20,7.66,7.17,7.58,170700.0
09/15/2008,16:00,7.67,7.91,7.53,7.54,62200.0
09/16/2008,16:00,7.71,7.71,6.97,7.64,62400.0
09/17/2008,16:00,7.95,7.95,7.28,7.28,51300.0
09/18/2008,16:00,7.34,7.39,6.75,7.06,98000.0
09/19/2008,16:00,6.98,7.52,6.68,7.41,115400.0
09/22/2008,16:00,7.44,7.76,6.82,7.05,68800.0
09/23/2008,16:00,6.86,7.36,6.45,6.77,146900.0
09/24/2008,16:00,6.73,7.28,6.59,6.70,147500.0
09/25/2008,16:00,6.71,7.04,5.60,5.62,189100.0
09/26/2008,16:00,5.39,5.70,4.88,5.21,244000.0
09/29/2008,16:00,5.66,6.88,3.76,4.74,141300.0
09/30/2008,16:00,4.81,5.36,3.36,4.53,685800.0
10/01/2008,16:00,4.71,5.46,4.53,5.29,131700.0
10/02/2008,16:00,5.45,5.45,3.83,3.97,111200.0
10/03/2008,16:00,3.97,4.69,3.72,3.80,79000.0
10/06/2008,16:00,3.72,4.85,3.07,3.64,177700.0
10/07/2008,16:00,3.47,3.64,3.02,3.10,54300.0
10/08/2008,16:00,2.94,2.98,1.84,1.91,734600.0
10/09/2008,16:00,2.68,2.68,2.13,2.13,290900.0
10/10/2008,16:00,2.11,2.32,2.02,2.02,144600.0
10/13/2008,16:00,2.13,2.58,2.07,2.09,75000.0
10/14/2008,16:00,2.19,2.44,2.09,2.31,142400.0
10/15/2008,16:00,2.43,2.43,2.08,2.11,107100.0
10/16/2008,16:00,2.02,2.16,1.89,2.06,86100.0
10/17/2008,16:00,1.97,2.28,1.97,2.22,41200.0
10/20/2008,16:00,2.22,2.53,2.20,2.40,57100.0
10/21/2008,16:00,2.41,2.60,2.32,2.39,53200.0
10/22/2008,16:00,2.43,2.57,2.35,2.54,40100.0
10/23/2008,16:00,2.58,2.68,2.27,2.58,142900.0
10/24/2008,16:00,2.54,2.58,2.35,2.43,175000.0
10/27/2008,16:00,2.48,2.48,2.19,2.27,43000.0
10/28/2008,16:00,2.40,2.40,2.07,2.11,46100.0
10/29/2008,16:00,2.16,2.42,2.08,2.11,88000.0
10/30/2008,16:00,2.17,2.42,2.11,2.42,47900.0
10/31/2008,16:00,2.39,2.60,2.34,2.55,57700.0
11/03/2008,16:00,2.71,2.82,2.64,2.69,47000.0
11/04/2008,16:00,2.82,2.82,2.58,2.58,45000.0
11/05/2008,16:00,2.54,2.58,2.11,2.23,124200.0
11/06/2008,16:00,2.07,2.26,2.02,2.02,37000.0
11/07/2008,16:00,2.04,2.14,2.04,2.10,31800.0
11/10/2008,16:00,2.30,2.33,2.07,2.07,18600.0
11/11/2008,16:00,2.08,2.18,1.97,1.97,48500.0
11/12/2008,16:00,2.03,2.25,1.99,2.11,81600.0
11/13/2008,16:00,2.08,2.33,2.02,2.33,53800.0
11/14/2008,16:00,2.07,2.29,2.06,2.06,36700.0
11/17/2008,16:00,2.05,2.12,1.88,1.99,73600.0
11/18/2008,16:00,1.97,2.23,1.97,2.23,42000.0
11/19/2008,16:00,2.12,2.28,1.99,2.11,18000.0
