Date,Time,Open,High,Low,Close,Vol
12/01/2010,16:00,12.00,12.03,12.00,12.03,110000.0
12/02/2010,16:00,12.03,12.03,12.03,12.03,25000.0
12/03/2010,16:00,13.00,13.49,13.00,13.49,585000.0
12/06/2010,16:00,13.49,13.49,13.49,13.49,0.0
12/07/2010,16:00,13.49,13.53,13.45,13.49,352000.0
12/08/2010,16:00,13.42,13.68,13.42,13.68,110000.0
12/09/2010,16:00,13.55,13.60,13.55,13.60,45500.0
12/10/2010,16:00,13.60,13.60,13.57,13.57,90500.0
12/13/2010,16:00,13.68,13.68,13.68,13.68,100000.0
12/14/2010,16:00,13.68,13.79,13.68,13.79,390000.0
12/15/2010,16:00,13.83,14.01,13.83,14.01,310000.0
12/16/2010,16:00,14.01,14.01,14.01,14.01,0.0
12/17/2010,16:00,14.01,14.01,14.01,14.01,0.0
12/20/2010,16:00,14.01,14.05,14.01,14.05,110000.0
12/21/2010,16:00,14.01,14.20,14.01,14.20,120000.0
12/22/2010,16:00,14.20,14.20,14.20,14.20,0.0
12/23/2010,16:00,14.20,14.20,14.20,14.20,0.0
12/27/2010,16:00,14.20,14.20,14.20,14.20,0.0
12/28/2010,16:00,14.20,14.20,14.20,14.20,0.0
12/29/2010,16:00,14.20,14.20,14.20,14.20,0.0
12/30/2010,16:00,14.20,14.20,14.20,14.20,0.0
12/31/2010,16:00,14.20,14.20,14.20,14.20,0.0
01/03/2011,16:00,14.20,14.20,14.20,14.20,0.0
01/04/2011,16:00,13.45,13.75,13.45,13.75,100000.0
01/05/2011,16:00,13.75,13.75,13.75,13.75,0.0
01/06/2011,16:00,13.75,13.75,13.75,13.75,0.0
01/07/2011,16:00,13.60,14.13,13.60,14.13,922500.0
01/10/2011,16:00,14.05,14.09,14.05,14.09,1000000.0
01/11/2011,16:00,14.05,14.09,14.05,14.09,600000.0
01/12/2011,16:00,14.09,14.09,14.09,14.09,0.0
01/13/2011,16:00,14.20,14.54,14.20,14.54,82500.0
01/14/2011,16:00,14.32,14.35,14.31,14.35,417500.0
01/18/2011,16:00,14.50,14.54,14.50,14.54,200000.0
01/19/2011,16:00,14.54,14.54,14.54,14.54,0.0
01/20/2011,16:00,14.54,14.54,14.54,14.54,0.0
01/21/2011,16:00,14.69,14.72,14.69,14.72,382500.0
01/24/2011,16:00,14.72,14.72,14.72,14.72,0.0
01/25/2011,16:00,14.84,14.84,14.84,14.84,25000.0
01/26/2011,16:00,14.80,14.84,14.80,14.84,475000.0
01/27/2011,16:00,14.91,14.95,14.91,14.95,250000.0
01/28/2011,16:00,14.65,14.65,14.65,14.65,275000.0
01/31/2011,16:00,14.65,14.65,14.65,14.65,0.0
02/01/2011,16:00,14.65,15.70,14.65,15.70,283500.0
02/02/2011,16:00,15.70,15.70,15.70,15.70,0.0
02/03/2011,16:00,15.58,15.58,15.55,15.58,550000.0
02/04/2011,16:00,15.85,15.85,15.85,15.85,289000.0
02/07/2011,16:00,16.41,16.48,16.33,16.42,781000.0
02/08/2011,16:00,16.89,16.89,16.89,16.89,80000.0
02/09/2011,16:00,17.19,17.27,17.19,17.23,1645000.0
02/10/2011,16:00,17.34,18.41,17.34,18.39,627500.0
