Date,Time,Open,High,Low,Close,Vol
03/26/1990,16:00,1.40,1.40,1.40,1.40,15498.0
03/27/1990,16:00,1.34,1.36,1.34,1.36,209898.0
03/28/1990,16:00,1.35,1.35,1.35,1.35,402.0
03/29/1990,16:00,1.40,1.40,1.40,1.40,402.0
03/30/1990,16:00,1.37,1.37,1.35,1.35,115500.0
04/02/1990,16:00,1.40,1.41,1.38,1.38,85098.0
04/03/1990,16:00,1.37,1.37,1.37,1.37,49398.0
04/04/1990,16:00,1.39,1.39,1.39,1.39,5202.0
04/05/1990,16:00,1.39,1.39,1.39,1.39,402.0
04/06/1990,16:00,1.35,1.37,1.35,1.37,12000.0
04/09/1990,16:00,1.35,1.39,1.35,1.39,43500.0
04/10/1990,16:00,1.39,1.39,1.39,1.39,3102.0
04/11/1990,16:00,1.35,1.39,1.35,1.35,12600.0
04/12/1990,16:00,1.35,1.35,1.35,1.35,1002.0
04/16/1990,16:00,1.35,1.35,1.35,1.35,0.0
04/17/1990,16:00,1.35,1.35,1.35,1.35,0.0
04/18/1990,16:00,1.38,1.38,1.37,1.37,34998.0
04/19/1990,16:00,1.39,1.39,1.39,1.39,12000.0
04/20/1990,16:00,1.37,1.37,1.37,1.37,5202.0
04/23/1990,16:00,1.37,1.39,1.37,1.37,37998.0
04/24/1990,16:00,1.40,1.40,1.37,1.37,7098.0
04/25/1990,16:00,1.37,1.37,1.37,1.37,0.0
04/26/1990,16:00,1.40,1.40,1.40,1.40,402.0
04/27/1990,16:00,1.37,1.39,1.37,1.39,16902.0
04/30/1990,16:00,1.39,1.39,1.39,1.39,0.0
05/01/1990,16:00,1.37,1.37,1.37,1.37,1002.0
05/02/1990,16:00,1.37,1.41,1.37,1.41,24402.0
05/03/1990,16:00,1.41,1.41,1.41,1.41,0.0
05/04/1990,16:00,1.41,1.41,1.37,1.39,70002.0
05/07/1990,16:00,1.39,1.39,1.39,1.39,0.0
05/08/1990,16:00,1.37,1.40,1.37,1.37,54102.0
05/09/1990,16:00,1.40,1.40,1.40,1.40,1002.0
05/10/1990,16:00,1.40,1.40,1.40,1.40,0.0
05/11/1990,16:00,1.37,1.37,1.37,1.37,3102.0
05/14/1990,16:00,1.37,1.37,1.37,1.37,0.0
05/15/1990,16:00,1.37,1.37,1.37,1.37,0.0
05/16/1990,16:00,1.37,1.37,1.37,1.37,0.0
05/17/1990,16:00,1.37,1.37,1.37,1.37,3102.0
05/18/1990,16:00,1.37,1.39,1.37,1.38,12600.0
05/21/1990,16:00,1.40,1.40,1.35,1.35,3102.0
05/22/1990,16:00,1.35,1.35,1.35,1.35,402.0
05/23/1990,16:00,1.38,1.38,1.38,1.38,3102.0
05/24/1990,16:00,1.35,1.38,1.35,1.38,43002.0
05/25/1990,16:00,1.40,1.40,1.40,1.40,402.0
05/29/1990,16:00,1.40,1.40,1.40,1.40,0.0
05/30/1990,16:00,1.40,1.40,1.40,1.40,0.0
05/31/1990,16:00,1.40,1.40,1.40,1.40,0.0
06/01/1990,16:00,1.40,1.40,1.40,1.40,402.0
06/04/1990,16:00,1.41,1.41,1.41,1.41,0.0
06/05/1990,16:00,1.41,1.41,1.41,1.41,0.0
06/06/1990,16:00,1.38,1.38,1.38,1.38,402.0
06/07/1990,16:00,1.38,1.39,1.38,1.39,27102.0
06/08/1990,16:00,1.38,1.39,1.38,1.39,10800.0
06/11/1990,16:00,1.38,1.43,1.38,1.39,12600.0
06/12/1990,16:00,1.38,1.43,1.38,1.43,41700.0
06/13/1990,16:00,1.38,1.39,1.38,1.39,19500.0
06/14/1990,16:00,1.39,1.39,1.39,1.39,0.0
06/15/1990,16:00,1.38,1.39,1.38,1.39,3102.0
06/18/1990,16:00,1.39,1.39,1.39,1.39,0.0
06/19/1990,16:00,1.38,1.43,1.38,1.39,30300.0
06/20/1990,16:00,1.38,1.39,1.38,1.39,18900.0
06/21/1990,16:00,1.39,1.39,1.39,1.39,0.0
06/22/1990,16:00,1.38,1.38,1.38,1.38,18900.0
06/25/1990,16:00,1.43,1.43,1.38,1.43,65700.0
