Date,Time,Open,High,Low,Close,Vol
03/26/1990,16:00,19.71,20.41,19.71,20.41,300.0
03/27/1990,16:00,19.89,20.41,19.71,20.06,11500.0
03/28/1990,16:00,19.71,20.76,19.71,20.76,27500.0
03/29/1990,16:00,20.58,20.58,19.71,20.41,25500.0
03/30/1990,16:00,20.41,20.41,19.71,19.71,19100.0
04/02/1990,16:00,19.00,19.89,19.00,19.35,9600.0
04/03/1990,16:00,19.00,19.54,19.00,19.35,14600.0
04/04/1990,16:00,19.35,19.35,18.65,19.00,33000.0
04/05/1990,16:00,18.65,19.00,18.30,18.30,111400.0
04/06/1990,16:00,18.30,19.71,18.30,19.00,15400.0
04/09/1990,16:00,19.00,19.35,18.65,19.17,15800.0
04/10/1990,16:00,19.71,20.41,18.65,20.06,26300.0
04/11/1990,16:00,19.35,20.76,19.35,20.76,28300.0
04/12/1990,16:00,20.06,20.76,20.06,20.06,50000.0
04/16/1990,16:00,20.06,20.76,20.06,20.24,8600.0
04/17/1990,16:00,20.76,20.76,19.71,20.24,104500.0
04/18/1990,16:00,20.06,21.11,20.06,20.76,84200.0
04/19/1990,16:00,20.41,20.76,20.06,20.41,40000.0
04/20/1990,16:00,20.76,21.11,20.06,20.06,59100.0
04/23/1990,16:00,20.06,20.41,19.35,19.35,44100.0
04/24/1990,16:00,19.35,20.06,19.35,19.54,11900.0
04/25/1990,16:00,19.71,19.71,19.35,19.71,194800.0
04/26/1990,16:00,19.35,19.71,19.35,19.71,187500.0
04/27/1990,16:00,19.35,19.71,19.00,19.35,15200.0
04/30/1990,16:00,19.00,19.71,19.00,19.35,25800.0
05/01/1990,16:00,19.35,20.06,19.35,20.06,81400.0
05/02/1990,16:00,20.06,20.41,19.71,19.71,38300.0
05/03/1990,16:00,19.71,20.41,19.71,20.41,16500.0
05/04/1990,16:00,20.76,20.76,19.71,19.71,9400.0
05/07/1990,16:00,20.41,20.41,19.71,19.71,17000.0
05/08/1990,16:00,19.35,20.06,19.35,19.71,24800.0
05/09/1990,16:00,19.35,20.06,19.35,20.06,5400.0
05/10/1990,16:00,19.35,20.06,19.35,20.06,27500.0
05/11/1990,16:00,20.06,20.06,19.35,20.06,8000.0
05/14/1990,16:00,19.71,20.41,19.71,20.41,33600.0
05/15/1990,16:00,20.41,20.41,20.06,20.41,32800.0
05/16/1990,16:00,20.06,20.41,19.71,19.89,23700.0
05/17/1990,16:00,19.71,20.76,19.71,20.76,55100.0
05/18/1990,16:00,20.76,21.47,20.41,21.47,66200.0
05/21/1990,16:00,21.47,21.47,20.76,20.76,8800.0
05/22/1990,16:00,20.76,21.82,20.76,21.11,31800.0
05/23/1990,16:00,21.47,21.82,21.11,21.47,29600.0
05/24/1990,16:00,21.47,22.17,21.11,22.17,43100.0
05/25/1990,16:00,21.82,22.87,21.47,22.87,15000.0
05/29/1990,16:00,22.87,22.87,22.17,22.52,33100.0
05/30/1990,16:00,22.87,23.23,22.17,22.52,33000.0
05/31/1990,16:00,22.87,23.23,22.17,22.17,23700.0
06/01/1990,16:00,22.17,22.69,21.82,22.17,23700.0
06/04/1990,16:00,22.52,22.87,21.82,22.52,131900.0
06/05/1990,16:00,22.52,22.87,21.82,21.99,52700.0
06/06/1990,16:00,22.34,22.87,22.34,22.87,6900.0
06/07/1990,16:00,22.87,23.58,22.69,22.87,29600.0
06/08/1990,16:00,22.87,23.06,22.34,22.52,26900.0
06/11/1990,16:00,22.52,22.52,21.99,22.17,6700.0
06/12/1990,16:00,22.17,22.17,21.82,21.82,12100.0
06/13/1990,16:00,21.99,22.69,21.99,22.34,27800.0
06/14/1990,16:00,22.52,22.69,22.34,22.52,12000.0
06/15/1990,16:00,22.52,22.87,22.52,22.69,14300.0
06/18/1990,16:00,22.52,23.06,22.52,23.06,11000.0
06/19/1990,16:00,23.06,23.06,22.52,22.52,3300.0
06/20/1990,16:00,22.52,22.52,22.34,22.34,8500.0
06/21/1990,16:00,22.34,22.52,22.17,22.17,16500.0
06/22/1990,16:00,22.17,22.69,22.17,22.34,8300.0
06/25/1990,16:00,22.34,22.34,22.17,22.17,24700.0
06/26/1990,16:00,22.17,22.17,21.65,21.65,17000.0
06/27/1990,16:00,21.65,21.65,21.47,21.65,43700.0
06/28/1990,16:00,21.82,22.17,21.82,21.99,7800.0
06/29/1990,16:00,21.65,21.99,21.65,21.82,11600.0
07/02/1990,16:00,21.99,22.17,21.82,21.82,3500.0
07/03/1990,16:00,21.99,22.34,21.99,22.34,2100.0
07/05/1990,16:00,21.82,22.17,21.82,21.82,10300.0
07/06/1990,16:00,21.82,22.34,21.82,22.34,6300.0
07/09/1990,16:00,22.17,22.52,22.17,22.52,12100.0
07/10/1990,16:00,22.52,23.41,22.52,23.06,28900.0
07/11/1990,16:00,22.69,23.41,22.69,23.23,11900.0
07/12/1990,16:00,23.23,23.41,22.34,22.34,18300.0
07/13/1990,16:00,22.52,23.23,22.52,23.23,40200.0
07/16/1990,16:00,23.23,23.41,22.87,23.23,19600.0
07/17/1990,16:00,23.23,23.23,22.69,22.69,6300.0
07/18/1990,16:00,22.87,22.87,22.69,22.69,2900.0
07/19/1990,16:00,22.87,22.87,22.69,22.87,16500.0
07/20/1990,16:00,22.69,23.41,22.69,23.06,12000.0
07/23/1990,16:00,22.87,23.06,22.69,22.87,14600.0
07/24/1990,16:00,22.87,23.23,22.69,23.06,28300.0
07/25/1990,16:00,23.41,23.41,23.06,23.23,35700.0
07/26/1990,16:00,23.06,23.41,23.06,23.41,10300.0
07/27/1990,16:00,23.41,23.41,23.06,23.41,9600.0
07/30/1990,16:00,23.06,23.06,23.06,23.06,5300.0
07/31/1990,16:00,22.69,22.87,22.52,22.52,9100.0
08/01/1990,16:00,22.52,22.87,22.52,22.87,42000.0
08/02/1990,16:00,22.87,22.87,21.82,22.34,40800.0
08/03/1990,16:00,21.99,21.99,20.41,21.11,28600.0
08/06/1990,16:00,20.76,20.76,19.35,19.89,17800.0
08/07/1990,16:00,20.13,20.48,20.13,20.31,26300.0
08/08/1990,16:00,20.31,21.19,20.31,20.83,22500.0
08/09/1990,16:00,20.83,21.00,20.31,21.00,13000.0
08/10/1990,16:00,20.65,21.00,20.31,20.65,24800.0
08/13/1990,16:00,20.31,21.19,20.31,21.19,17900.0
08/14/1990,16:00,21.37,21.54,21.37,21.54,21600.0
08/15/1990,16:00,21.54,21.54,21.19,21.19,11600.0
08/16/1990,16:00,21.00,21.19,20.83,21.00,22500.0
08/17/1990,16:00,20.65,20.65,20.31,20.31,18300.0
08/20/1990,16:00,20.13,20.31,19.77,19.96,11100.0
08/21/1990,16:00,19.60,19.77,19.24,19.77,15700.0
08/22/1990,16:00,19.60,19.77,19.24,19.42,30000.0
08/23/1990,16:00,19.24,19.24,18.88,18.88,15900.0
08/24/1990,16:00,18.71,18.71,18.01,18.36,31100.0
08/27/1990,16:00,18.01,19.07,18.01,19.07,19800.0
08/28/1990,16:00,19.07,19.24,18.88,18.88,9300.0
08/29/1990,16:00,19.07,19.96,19.07,19.77,18600.0
08/30/1990,16:00,19.77,19.96,19.60,19.60,12600.0
08/31/1990,16:00,19.60,19.77,19.60,19.60,1300.0
09/04/1990,16:00,19.60,19.77,19.60,19.60,9200.0
09/05/1990,16:00,19.60,19.77,19.42,19.60,5700.0
09/06/1990,16:00,19.42,19.60,19.42,19.60,4900.0
09/07/1990,16:00,19.42,19.77,19.42,19.77,7100.0
09/10/1990,16:00,19.77,20.13,19.60,20.13,4000.0
09/11/1990,16:00,20.13,20.48,20.13,20.31,3000.0
09/12/1990,16:00,20.65,20.65,20.31,20.31,2600.0
09/13/1990,16:00,20.48,20.48,20.13,20.31,1500.0
09/14/1990,16:00,20.13,20.31,19.96,20.31,5000.0
09/17/1990,16:00,20.13,20.13,19.42,19.42,6000.0
09/18/1990,16:00,19.42,19.42,19.24,19.42,13600.0
09/19/1990,16:00,19.24,19.24,19.24,19.24,900.0
09/20/1990,16:00,19.24,19.24,18.36,18.36,12000.0
09/21/1990,16:00,18.19,18.36,18.19,18.19,14800.0
09/24/1990,16:00,17.84,18.71,17.84,18.71,8300.0
09/25/1990,16:00,18.71,18.88,18.71,18.71,3100.0
09/26/1990,16:00,18.53,19.07,18.53,18.71,23400.0
09/27/1990,16:00,18.71,18.71,18.19,18.36,1500.0
09/28/1990,16:00,18.19,18.19,17.84,18.01,24100.0
10/01/1990,16:00,18.01,18.19,18.01,18.19,15600.0
10/02/1990,16:00,18.36,18.53,18.36,18.36,9300.0
10/03/1990,16:00,18.19,18.36,18.01,18.01,13500.0
10/04/1990,16:00,18.01,18.36,18.01,18.36,3700.0
10/05/1990,16:00,18.19,18.36,17.84,18.36,7500.0
10/08/1990,16:00,18.19,18.53,18.19,18.53,7800.0
10/09/1990,16:00,18.53,19.07,18.53,18.71,25100.0
10/10/1990,16:00,18.36,18.53,18.36,18.36,20800.0
10/11/1990,16:00,18.36,18.36,17.84,18.01,9600.0
10/12/1990,16:00,18.19,18.36,18.19,18.36,3000.0
10/15/1990,16:00,18.19,18.53,18.19,18.19,6300.0
10/16/1990,16:00,18.01,18.19,17.84,17.84,8600.0
10/17/1990,16:00,18.01,18.19,17.47,17.47,15300.0
10/18/1990,16:00,17.47,18.19,17.47,18.01,10300.0
10/19/1990,16:00,18.01,18.19,17.84,18.01,32500.0
10/22/1990,16:00,17.84,18.19,17.66,17.84,7300.0
10/23/1990,16:00,18.01,18.19,18.01,18.01,4200.0
10/24/1990,16:00,17.84,18.01,17.84,18.01,1800.0
10/25/1990,16:00,17.84,19.77,17.84,19.77,39500.0
10/26/1990,16:00,19.60,19.77,19.42,19.77,2400.0
10/29/1990,16:00,19.42,19.42,19.07,19.07,16300.0
10/30/1990,16:00,18.71,18.71,18.71,18.71,2800.0
10/31/1990,16:00,18.71,19.07,18.36,18.36,8600.0
11/01/1990,16:00,18.53,19.42,18.53,19.42,8100.0
11/02/1990,16:00,19.07,19.60,19.07,19.60,16000.0
11/05/1990,16:00,19.84,20.03,19.49,19.84,14000.0
11/06/1990,16:00,19.84,20.20,19.84,20.20,6100.0
11/07/1990,16:00,20.55,21.62,20.38,21.62,19600.0
11/08/1990,16:00,23.04,23.22,22.68,23.04,67300.0
11/09/1990,16:00,23.39,23.74,23.22,23.57,31300.0
11/12/1990,16:00,23.74,24.27,23.74,23.74,77100.0
11/13/1990,16:00,23.93,24.10,23.74,23.74,143000.0
11/14/1990,16:00,23.74,23.74,23.57,23.57,63100.0
11/15/1990,16:00,23.57,23.57,23.22,23.22,103100.0
11/16/1990,16:00,23.39,23.39,22.50,22.50,177600.0
11/19/1990,16:00,22.68,22.85,22.68,22.85,10100.0
11/20/1990,16:00,23.04,23.22,22.85,23.04,29000.0
11/21/1990,16:00,23.04,23.22,22.85,23.22,26600.0
