Date,Time,Open,High,Low,Close,Vol
03/26/1990,16:00,1.01,1.01,0.98,0.99,60800.0
03/27/1990,16:00,0.98,0.98,0.98,0.98,2400.0
03/28/1990,16:00,0.98,0.99,0.98,0.98,77600.0
03/29/1990,16:00,0.99,0.99,0.98,0.98,517600.0
03/30/1990,16:00,0.98,0.98,0.98,0.98,4800.0
04/02/1990,16:00,0.98,0.98,0.96,0.96,192000.0
04/03/1990,16:00,0.96,0.98,0.96,0.96,200800.0
04/04/1990,16:00,0.98,0.98,0.96,0.96,120800.0
04/05/1990,16:00,0.96,0.96,0.96,0.96,2400.0
04/06/1990,16:00,0.99,0.99,0.96,0.96,16800.0
04/09/1990,16:00,0.96,0.98,0.96,0.98,530400.0
04/10/1990,16:00,0.96,0.96,0.96,0.96,11200.0
04/11/1990,16:00,0.96,0.96,0.93,0.93,376800.0
04/12/1990,16:00,0.93,0.95,0.93,0.95,28800.0
04/16/1990,16:00,0.93,0.96,0.93,0.93,165600.0
04/17/1990,16:00,0.95,0.96,0.93,0.95,1324000.0
04/18/1990,16:00,0.95,0.95,0.91,0.93,268000.0
04/19/1990,16:00,0.93,0.93,0.92,0.93,100800.0
04/20/1990,16:00,0.95,0.95,0.92,0.92,161600.0
04/23/1990,16:00,0.92,0.92,0.88,0.88,101600.0
04/24/1990,16:00,0.91,0.91,0.86,0.88,168800.0
04/25/1990,16:00,0.88,0.89,0.86,0.89,399200.0
04/26/1990,16:00,0.91,0.91,0.89,0.89,19200.0
04/27/1990,16:00,0.89,0.89,0.88,0.88,268000.0
04/30/1990,16:00,0.89,0.89,0.88,0.88,15200.0
05/01/1990,16:00,0.89,0.92,0.89,0.89,208000.0
05/02/1990,16:00,0.91,0.93,0.91,0.92,307200.0
05/03/1990,16:00,0.92,0.95,0.92,0.93,1784000.0
05/04/1990,16:00,0.95,0.96,0.91,0.91,624800.0
05/07/1990,16:00,0.91,0.93,0.91,0.92,116800.0
05/08/1990,16:00,0.93,0.93,0.92,0.93,492000.0
05/09/1990,16:00,0.92,0.95,0.92,0.93,5385600.0
05/10/1990,16:00,0.92,0.95,0.92,0.93,726400.0
05/11/1990,16:00,0.92,0.95,0.92,0.93,1715200.0
05/14/1990,16:00,0.92,0.92,0.92,0.92,28800.0
05/15/1990,16:00,0.92,0.95,0.92,0.95,928000.0
05/16/1990,16:00,0.93,0.99,0.93,0.98,389600.0
05/17/1990,16:00,0.96,0.99,0.96,0.99,179200.0
05/18/1990,16:00,0.98,0.99,0.98,0.99,205600.0
05/21/1990,16:00,0.96,0.99,0.96,0.96,217600.0
05/22/1990,16:00,0.99,1.02,0.96,0.99,842400.0
05/23/1990,16:00,0.99,1.08,0.99,1.06,407200.0
05/24/1990,16:00,1.05,1.08,1.05,1.08,80000.0
05/25/1990,16:00,1.09,1.09,1.06,1.06,304000.0
05/29/1990,16:00,1.06,1.09,1.06,1.08,156000.0
05/30/1990,16:00,1.06,1.09,1.06,1.09,110400.0
05/31/1990,16:00,1.06,1.09,1.06,1.09,14400.0
06/01/1990,16:00,1.09,1.09,1.06,1.06,14400.0
06/04/1990,16:00,1.06,1.06,1.06,1.06,48000.0
06/05/1990,16:00,1.06,1.09,1.06,1.08,110400.0
06/06/1990,16:00,1.06,1.06,1.06,1.06,10400.0
06/07/1990,16:00,1.09,1.09,1.04,1.04,100800.0
06/08/1990,16:00,1.04,1.04,1.04,1.04,40000.0
06/11/1990,16:00,1.04,1.04,1.04,1.04,15200.0
06/12/1990,16:00,1.04,1.06,1.04,1.05,454400.0
06/13/1990,16:00,1.04,1.08,1.04,1.05,24800.0
06/14/1990,16:00,1.08,1.08,1.05,1.05,61600.0
06/15/1990,16:00,1.05,1.08,1.05,1.05,44800.0
06/18/1990,16:00,1.05,1.06,1.05,1.05,220800.0
06/19/1990,16:00,1.05,1.08,1.05,1.08,587200.0
06/20/1990,16:00,1.05,1.06,1.05,1.05,116800.0
06/21/1990,16:00,1.06,1.08,1.05,1.06,824800.0
