Date,Time,Open,High,Low,Close,Vol
11/10/1999,16:00,42.69,46.18,42.36,44.82,80793700.0
11/11/1999,16:00,45.15,50.53,45.15,49.26,28309000.0
11/12/1999,16:00,49.91,50.33,45.48,46.30,14768100.0
11/15/1999,16:00,46.30,46.55,44.21,45.32,8675100.0
11/16/1999,16:00,44.58,44.66,42.69,43.35,6978600.0
11/17/1999,16:00,43.06,44.78,42.78,44.46,5806900.0
11/18/1999,16:00,44.62,45.28,43.43,43.55,4718700.0
11/19/1999,16:00,43.55,43.55,42.20,42.69,5091100.0
11/22/1999,16:00,42.07,42.20,40.06,41.46,4785400.0
11/23/1999,16:00,41.63,44.00,41.54,43.47,2832200.0
11/24/1999,16:00,43.54,44.98,43.50,44.65,2179400.0
11/26/1999,16:00,45.15,45.81,44.98,45.60,1322500.0
11/29/1999,16:00,46.18,46.34,44.20,44.94,1987000.0
11/30/1999,16:00,44.45,44.61,43.58,43.58,1686100.0
12/01/1999,16:00,43.70,44.45,43.29,43.46,1405700.0
12/02/1999,16:00,43.54,44.24,43.46,44.24,1391000.0
12/03/1999,16:00,44.49,44.65,43.74,43.83,1753500.0
12/06/1999,16:00,43.87,43.87,43.13,43.70,1398900.0
12/07/1999,16:00,43.50,44.86,43.46,44.86,1793100.0
12/08/1999,16:00,44.86,45.11,44.03,45.11,1774000.0
12/09/1999,16:00,45.11,45.35,43.95,44.53,1713600.0
12/10/1999,16:00,43.79,44.20,43.13,43.62,1248600.0
12/13/1999,16:00,43.79,44.16,42.80,43.54,1417800.0
12/14/1999,16:00,43.54,43.54,42.71,42.88,1886600.0
12/15/1999,16:00,42.88,42.92,42.01,42.05,1602800.0
12/16/1999,16:00,42.05,42.26,41.72,42.22,1364600.0
12/17/1999,16:00,42.71,44.61,42.67,43.95,1980800.0
12/20/1999,16:00,44.65,45.19,44.16,45.19,1501300.0
12/21/1999,16:00,45.02,45.52,44.53,45.52,1265200.0
12/22/1999,16:00,45.48,45.48,43.58,44.20,1264700.0
12/23/1999,16:00,43.87,44.78,43.29,44.69,1180600.0
12/27/1999,16:00,45.19,45.97,44.53,45.97,1478800.0
12/28/1999,16:00,45.85,45.97,44.90,45.52,1051400.0
12/29/1999,16:00,45.52,45.77,44.57,44.86,904700.0
12/30/1999,16:00,45.68,45.85,44.86,44.86,926700.0
12/31/1999,16:00,45.44,45.85,45.11,45.52,649300.0
01/03/2000,16:00,45.97,46.01,44.20,44.24,1273200.0
01/04/2000,16:00,44.20,44.20,42.63,42.84,1385800.0
01/05/2000,16:00,42.80,43.87,42.71,43.50,1401700.0
01/06/2000,16:00,43.46,44.94,42.88,44.86,1959100.0
01/07/2000,16:00,44.61,44.61,43.37,43.79,996000.0
01/10/2000,16:00,44.12,44.49,43.83,44.24,1191700.0
01/11/2000,16:00,44.28,44.49,43.74,43.79,1020000.0
01/12/2000,16:00,43.62,44.53,43.17,44.45,1097700.0
01/13/2000,16:00,44.61,45.19,44.45,45.06,1071200.0
01/14/2000,16:00,45.44,45.68,45.06,45.56,1160000.0
01/18/2000,16:00,45.52,45.52,44.45,45.31,980500.0
01/19/2000,16:00,45.19,45.23,44.49,45.02,1087300.0
01/20/2000,16:00,44.94,45.60,44.94,45.44,1972000.0
01/21/2000,16:00,45.44,45.44,43.99,44.36,1270100.0
01/24/2000,16:00,44.78,45.02,43.54,43.54,831400.0
01/25/2000,16:00,43.29,43.95,42.71,43.46,1263000.0
01/26/2000,16:00,43.04,43.29,42.55,42.96,933400.0
01/27/2000,16:00,43.08,43.13,42.22,42.96,1128400.0
01/28/2000,16:00,42.96,43.46,42.22,42.84,1324700.0
01/31/2000,16:00,41.56,42.22,38.92,39.58,5745800.0
02/01/2000,16:00,39.38,40.57,38.47,40.49,4761000.0
02/02/2000,16:00,39.42,39.54,37.73,38.43,4740600.0
02/03/2000,16:00,39.09,39.25,37.85,38.02,1951900.0
02/04/2000,16:00,38.39,38.39,36.98,37.19,1745200.0
02/07/2000,16:00,37.36,37.48,36.61,36.78,1480200.0
02/08/2000,16:00,37.11,39.17,36.78,39.17,2055100.0
02/09/2000,16:00,39.25,39.34,38.26,38.26,1209400.0
02/10/2000,16:00,38.30,38.59,37.27,37.64,995700.0
02/11/2000,16:00,37.48,37.60,36.37,36.37,1013900.0
02/14/2000,16:00,36.49,36.61,35.71,35.87,2052800.0
02/15/2000,16:00,35.91,36.28,35.33,36.24,1182900.0
02/16/2000,16:00,36.41,37.23,35.95,36.94,1530000.0
02/17/2000,16:00,37.27,38.43,37.03,38.26,1036000.0
02/18/2000,16:00,38.26,39.21,36.45,37.56,1529200.0
02/22/2000,16:00,37.56,37.56,35.99,36.28,1226000.0
02/23/2000,16:00,36.32,37.11,35.66,36.24,855700.0
02/24/2000,16:00,36.40,36.40,35.61,35.77,1049300.0
02/25/2000,16:00,36.36,36.89,35.77,36.73,961700.0
02/28/2000,16:00,36.77,36.81,36.06,36.40,565600.0
02/29/2000,16:00,36.40,36.60,36.06,36.15,750900.0
03/01/2000,16:00,36.15,36.19,34.33,34.74,1471000.0
03/02/2000,16:00,34.50,35.49,34.45,35.28,1136600.0
03/03/2000,16:00,35.28,35.40,34.78,34.87,1030700.0
03/06/2000,16:00,35.99,35.99,34.74,34.91,1431500.0
03/07/2000,16:00,34.91,34.95,32.42,33.50,2319100.0
03/08/2000,16:00,34.91,36.06,33.95,35.94,2275300.0
03/09/2000,16:00,36.06,36.06,34.70,35.07,1199700.0
03/10/2000,16:00,35.57,35.99,35.11,35.36,776700.0
03/13/2000,16:00,34.58,35.86,34.50,34.91,671700.0
03/14/2000,16:00,34.74,35.40,34.62,34.78,1072500.0
03/15/2000,16:00,35.03,36.65,34.17,36.36,2274800.0
03/16/2000,16:00,36.98,38.14,36.44,37.22,1635300.0
03/17/2000,16:00,37.76,37.76,36.73,36.73,622400.0
03/20/2000,16:00,37.39,37.64,36.56,37.43,843400.0
03/21/2000,16:00,37.26,38.63,36.56,38.51,889000.0
03/22/2000,16:00,38.51,39.08,37.59,37.64,763100.0
03/23/2000,16:00,37.59,39.66,37.06,39.46,1472900.0
03/24/2000,16:00,39.70,42.44,39.58,42.19,2148200.0
03/27/2000,16:00,41.69,42.35,41.45,41.82,960400.0
03/28/2000,16:00,41.36,41.69,39.74,39.87,639300.0
03/29/2000,16:00,40.53,40.53,38.59,39.08,869700.0
03/30/2000,16:00,38.92,39.79,38.59,38.75,682400.0
03/31/2000,16:00,39.41,41.69,38.51,41.68,727100.0
04/03/2000,16:00,41.03,41.03,39.04,39.29,830000.0
04/04/2000,16:00,39.29,39.54,36.65,38.26,1309000.0
04/05/2000,16:00,37.59,38.55,37.59,38.51,478000.0
04/06/2000,16:00,38.59,39.83,38.59,39.63,800700.0
04/07/2000,16:00,39.63,40.66,39.13,40.29,778200.0
04/10/2000,16:00,40.45,42.31,40.41,41.65,1275600.0
04/11/2000,16:00,41.90,41.90,41.11,41.82,616700.0
04/12/2000,16:00,41.56,41.61,40.53,40.70,608700.0
04/13/2000,16:00,40.70,40.70,39.33,39.87,566300.0
04/14/2000,16:00,38.71,38.88,36.40,36.40,859800.0
04/17/2000,16:00,37.72,39.37,36.40,38.38,1152900.0
04/18/2000,16:00,38.38,40.49,38.38,40.16,714900.0
04/19/2000,16:00,39.83,40.04,38.88,39.08,510200.0
04/20/2000,16:00,40.37,42.27,40.12,42.02,1730600.0
04/24/2000,16:00,41.69,41.86,41.03,41.45,1071000.0
04/25/2000,16:00,42.56,43.97,42.23,43.97,1644600.0
04/26/2000,16:00,44.01,44.30,42.97,43.80,1239300.0
