Date,Time,Open,High,Low,Close,Vol
03/17/1992,16:00,20.05,20.15,20.05,20.15,4200.0
03/18/1992,16:00,20.48,20.48,20.48,20.48,10300.0
03/19/1992,16:00,20.58,20.69,20.26,20.26,204600.0
03/20/1992,16:00,20.37,20.58,20.37,20.58,1900.0
03/23/1992,16:00,20.58,20.58,20.48,20.48,2100.0
03/24/1992,16:00,20.69,20.69,20.48,20.48,400.0
03/25/1992,16:00,20.48,20.69,20.48,20.48,2700.0
03/26/1992,16:00,20.48,20.48,20.37,20.37,212000.0
03/27/1992,16:00,20.26,20.37,20.05,20.05,71100.0
03/30/1992,16:00,20.05,20.05,19.84,19.95,49200.0
03/31/1992,16:00,19.73,19.73,19.62,19.62,13100.0
04/01/1992,16:00,19.62,19.62,19.62,19.62,18000.0
04/02/1992,16:00,19.62,19.62,19.41,19.52,7800.0
04/03/1992,16:00,19.30,19.30,19.20,19.30,19400.0
04/06/1992,16:00,19.30,19.62,19.30,19.41,2600.0
04/07/1992,16:00,19.62,19.73,19.41,19.41,12300.0
04/08/1992,16:00,19.52,19.52,19.20,19.41,4600.0
04/09/1992,16:00,19.20,19.20,19.20,19.20,2100.0
04/10/1992,16:00,19.41,19.41,19.30,19.41,7300.0
04/13/1992,16:00,19.41,19.41,19.30,19.41,18700.0
04/14/1992,16:00,19.20,19.62,19.20,19.52,7600.0
04/15/1992,16:00,19.30,19.52,19.30,19.52,600.0
04/16/1992,16:00,19.30,19.30,19.20,19.30,1300.0
04/20/1992,16:00,19.20,19.20,19.20,19.20,1800.0
04/21/1992,16:00,19.20,19.20,19.20,19.20,300.0
04/22/1992,16:00,19.20,19.41,19.20,19.41,2500.0
04/23/1992,16:00,19.52,19.52,19.41,19.52,700.0
04/24/1992,16:00,19.62,19.62,19.62,19.62,500.0
04/27/1992,16:00,19.52,19.52,19.30,19.52,6900.0
04/28/1992,16:00,19.62,19.62,19.41,19.41,10100.0
04/29/1992,16:00,19.30,19.30,18.98,18.98,15200.0
04/30/1992,16:00,18.87,18.98,18.87,18.98,7200.0
05/01/1992,16:00,18.98,19.09,18.98,19.09,2900.0
05/04/1992,16:00,19.20,19.20,18.98,19.20,2700.0
05/05/1992,16:00,18.98,18.98,18.77,18.87,18300.0
05/06/1992,16:00,18.87,18.87,18.56,18.56,25100.0
05/07/1992,16:00,18.77,18.87,18.67,18.67,11200.0
05/08/1992,16:00,18.77,18.77,18.45,18.56,4500.0
05/11/1992,16:00,18.34,18.56,18.34,18.34,3600.0
05/12/1992,16:00,18.13,18.13,17.81,17.81,11400.0
05/13/1992,16:00,17.59,17.59,17.49,17.49,3200.0
05/14/1992,16:00,17.39,17.49,17.39,17.49,6700.0
05/15/1992,16:00,17.39,17.39,16.85,17.17,17600.0
05/18/1992,16:00,17.28,17.49,17.28,17.49,1400.0
05/19/1992,16:00,17.49,17.70,17.49,17.70,3700.0
05/20/1992,16:00,17.81,17.81,17.81,17.81,4000.0
05/21/1992,16:00,17.70,17.70,17.70,17.70,4200.0
05/22/1992,16:00,17.81,17.81,17.81,17.81,1100.0
05/26/1992,16:00,17.92,17.92,17.70,17.70,10900.0
05/27/1992,16:00,17.59,17.59,17.49,17.49,13000.0
05/28/1992,16:00,17.70,17.70,16.64,16.74,10400.0
05/29/1992,16:00,16.96,17.06,16.96,16.96,6800.0
06/01/1992,16:00,16.74,16.85,16.74,16.85,2000.0
06/02/1992,16:00,16.85,16.96,16.74,16.74,5800.0
06/03/1992,16:00,16.64,16.64,16.53,16.53,1200.0
06/04/1992,16:00,16.74,16.74,16.74,16.74,100.0
06/05/1992,16:00,16.64,16.64,16.53,16.64,13000.0
06/08/1992,16:00,16.53,16.53,16.31,16.31,30900.0
06/09/1992,16:00,16.53,16.74,16.53,16.64,1800.0
06/10/1992,16:00,16.85,16.85,16.64,16.74,6500.0
06/11/1992,16:00,16.85,16.85,16.85,16.85,1000.0
06/12/1992,16:00,16.85,16.85,16.85,16.85,200.0
06/15/1992,16:00,16.85,16.85,16.53,16.64,79200.0
06/16/1992,16:00,16.53,16.85,16.53,16.64,3000.0
06/17/1992,16:00,16.74,16.74,16.74,16.74,100.0
06/18/1992,16:00,16.64,16.64,16.42,16.42,600.0
06/19/1992,16:00,16.42,16.42,16.31,16.31,500.0
06/22/1992,16:00,16.21,16.21,16.11,16.11,21400.0
06/23/1992,16:00,15.89,15.89,15.89,15.89,5700.0
06/24/1992,16:00,16.11,16.11,16.11,16.11,300.0
06/25/1992,16:00,16.21,16.21,15.89,15.89,5200.0
06/26/1992,16:00,16.00,16.31,15.57,15.57,7900.0
06/29/1992,16:00,15.78,15.78,15.78,15.78,200.0
06/30/1992,16:00,15.89,16.00,15.57,15.78,11900.0
07/01/1992,16:00,15.57,17.28,15.57,17.28,23800.0
07/02/1992,16:00,17.28,17.28,16.96,17.28,14800.0
07/06/1992,16:00,17.06,17.17,16.96,17.17,18100.0
07/07/1992,16:00,17.06,17.17,17.06,17.06,8600.0
07/08/1992,16:00,16.96,17.17,16.96,17.17,23800.0
07/09/1992,16:00,17.17,17.28,17.06,17.28,36600.0
07/10/1992,16:00,17.39,17.39,17.28,17.28,1700.0
07/13/1992,16:00,17.17,17.17,16.85,16.96,14700.0
07/14/1992,16:00,16.96,16.96,16.74,16.74,7600.0
07/15/1992,16:00,16.85,16.85,16.85,16.85,5700.0
07/16/1992,16:00,16.74,16.85,16.74,16.85,400.0
07/17/1992,16:00,16.96,16.96,16.85,16.85,4200.0
07/20/1992,16:00,16.85,16.96,16.85,16.96,3300.0
07/21/1992,16:00,16.96,17.17,16.96,17.17,21100.0
07/22/1992,16:00,17.28,17.28,16.85,16.85,5000.0
07/23/1992,16:00,16.85,16.85,16.74,16.74,19700.0
07/24/1992,16:00,16.53,16.53,16.53,16.53,800.0
07/27/1992,16:00,16.53,16.53,16.53,16.53,400.0
07/28/1992,16:00,16.42,16.53,16.42,16.53,1100.0
07/29/1992,16:00,16.64,16.74,16.42,16.74,7100.0
07/30/1992,16:00,16.74,16.74,16.74,16.74,39700.0
07/31/1992,16:00,16.96,17.06,16.96,17.06,2900.0
08/03/1992,16:00,16.85,16.85,16.64,16.85,5600.0
08/04/1992,16:00,16.85,16.85,16.85,16.85,800.0
08/05/1992,16:00,16.64,17.49,16.64,17.28,10400.0
08/06/1992,16:00,17.28,17.28,17.06,17.06,8200.0
08/07/1992,16:00,16.96,17.49,16.96,17.39,8400.0
08/10/1992,16:00,17.17,17.17,17.17,17.17,200.0
08/11/1992,16:00,17.06,17.06,16.42,16.64,12900.0
08/12/1992,16:00,16.64,16.74,16.64,16.64,2600.0
08/13/1992,16:00,16.53,16.53,16.53,16.53,1500.0
