Date,Time,Open,High,Low,Close,Vol
05/21/1998,16:00,7.5,7.5,7.42,7.5,8700.0
05/22/1998,16:00,7.5,7.5,7.3,7.37,46100.0
05/26/1998,16:00,7.44,7.81,7.0,7.0,49800.0
05/27/1998,16:00,7.25,7.5,6.75,6.88,52200.0
05/28/1998,16:00,7.0,7.12,6.88,6.88,20700.0
05/29/1998,16:00,7.0,7.22,6.94,7.03,49500.0
06/01/1998,16:00,7.0,7.0,6.88,6.88,8200.0
06/02/1998,16:00,7.0,7.25,6.92,7.0,29200.0
06/03/1998,16:00,7.06,7.06,6.88,6.88,12100.0
06/04/1998,16:00,7.0,7.0,6.75,6.88,26300.0
06/05/1998,16:00,6.81,7.0,6.81,6.88,15900.0
06/08/1998,16:00,7.0,7.0,6.81,6.88,27900.0
06/09/1998,16:00,6.88,7.0,6.75,6.75,33600.0
06/10/1998,16:00,7.06,7.19,6.88,6.88,68800.0
06/11/1998,16:00,7.0,7.81,7.0,7.37,110200.0
06/12/1998,16:00,7.5,7.88,7.19,7.25,59000.0
06/15/1998,16:00,7.5,7.67,7.25,7.42,52000.0
06/16/1998,16:00,7.42,7.63,6.92,7.0,61800.0
06/17/1998,16:00,7.37,7.37,6.94,7.0,32700.0
06/18/1998,16:00,7.06,7.19,6.94,6.94,20900.0
06/19/1998,16:00,7.12,7.12,6.94,7.0,17500.0
06/22/1998,16:00,6.88,7.06,6.88,6.88,21600.0
06/23/1998,16:00,7.0,7.0,6.81,6.88,25700.0
06/24/1998,16:00,6.88,6.88,6.69,6.88,11200.0
06/25/1998,16:00,6.88,6.88,6.75,6.81,6900.0
06/26/1998,16:00,6.88,6.88,6.67,6.67,32600.0
06/29/1998,16:00,6.88,6.88,6.67,6.67,18900.0
06/30/1998,16:00,6.62,6.62,6.19,6.38,9300.0
07/01/1998,16:00,6.5,6.88,6.38,6.44,19400.0
07/02/1998,16:00,6.55,6.55,6.38,6.38,25400.0
07/06/1998,16:00,6.42,6.42,6.0,6.0,23600.0
07/07/1998,16:00,5.94,6.0,5.5,5.81,16500.0
07/08/1998,16:00,5.81,5.87,5.75,5.75,16800.0
07/09/1998,16:00,5.87,5.94,5.81,5.81,4800.0
07/10/1998,16:00,6.0,6.0,5.75,5.75,10200.0
07/13/1998,16:00,5.81,6.13,5.81,6.06,19400.0
07/14/1998,16:00,6.06,6.5,6.0,6.0,6400.0
07/15/1998,16:00,6.34,7.0,6.34,7.0,65000.0
07/16/1998,16:00,7.0,7.12,6.75,6.75,22700.0
07/17/1998,16:00,7.0,7.0,6.38,6.75,17100.0
07/20/1998,16:00,6.38,6.75,6.38,6.5,5900.0
07/21/1998,16:00,6.5,6.5,6.5,6.5,2300.0
07/22/1998,16:00,6.5,6.62,6.5,6.62,1600.0
07/23/1998,16:00,6.75,6.75,6.5,6.5,12000.0
07/24/1998,16:00,6.69,6.69,6.5,6.5,11800.0
