Date,Time,Open,High,Low,Close,Vol
01/05/1988,16:00,6.23,6.23,6.07,6.07,16800.0
01/06/1988,16:00,6.08,6.08,5.93,6.00,152400.0
01/07/1988,16:00,6.02,6.09,6.00,6.02,42000.0
01/08/1988,16:00,6.07,6.09,6.00,6.00,62400.0
01/11/1988,16:00,5.98,5.98,5.93,5.94,15600.0
01/12/1988,16:00,5.89,5.89,5.75,5.80,48000.0
01/13/1988,16:00,5.82,5.82,5.70,5.70,32400.0
01/14/1988,16:00,5.70,5.70,5.66,5.68,13200.0
01/15/1988,16:00,5.73,5.75,5.73,5.75,127200.0
01/18/1988,16:00,5.80,5.80,5.77,5.77,12000.0
01/19/1988,16:00,5.80,5.82,5.80,5.81,4800.0
01/20/1988,16:00,5.76,5.76,5.66,5.66,823200.0
01/21/1988,16:00,5.66,5.66,5.66,5.66,12000.0
01/22/1988,16:00,5.66,5.70,5.66,5.70,15600.0
01/25/1988,16:00,5.70,5.98,5.70,5.93,88800.0
01/26/1988,16:00,5.89,5.93,5.84,5.89,160800.0
01/27/1988,16:00,5.89,6.00,5.89,6.00,25200.0
01/28/1988,16:00,6.06,6.06,6.00,6.00,160800.0
01/29/1988,16:00,6.07,6.12,6.00,6.00,49200.0
02/01/1988,16:00,6.00,6.18,6.00,6.18,81600.0
02/02/1988,16:00,6.23,6.23,6.21,6.21,16800.0
02/03/1988,16:00,6.28,6.34,6.28,6.30,188400.0
02/04/1988,16:00,6.30,6.30,6.30,6.30,34800.0
02/05/1988,16:00,6.34,6.34,6.30,6.30,58800.0
02/08/1988,16:00,6.30,6.32,6.30,6.30,115200.0
02/09/1988,16:00,6.30,6.30,6.30,6.30,4800.0
02/10/1988,16:00,6.30,6.30,6.30,6.30,42000.0
02/11/1988,16:00,6.32,6.32,6.30,6.30,13200.0
02/12/1988,16:00,6.32,6.34,6.32,6.34,10800.0
02/16/1988,16:00,6.34,6.39,6.34,6.39,52800.0
02/17/1988,16:00,6.39,6.42,6.37,6.37,139200.0
02/18/1988,16:00,6.36,6.36,6.36,6.36,16800.0
02/19/1988,16:00,6.36,6.41,6.36,6.39,175200.0
02/22/1988,16:00,6.39,6.40,6.38,6.39,139200.0
02/23/1988,16:00,6.41,6.43,6.41,6.43,73200.0
02/24/1988,16:00,6.43,6.43,6.43,6.43,10800.0
02/25/1988,16:00,6.43,6.43,6.41,6.41,37200.0
02/26/1988,16:00,6.39,6.39,6.35,6.39,20400.0
02/29/1988,16:00,6.41,6.45,6.41,6.43,44400.0
03/01/1988,16:00,6.46,6.50,6.46,6.50,109200.0
03/02/1988,16:00,6.50,6.55,6.50,6.55,36000.0
03/03/1988,16:00,6.62,6.80,6.62,6.80,145200.0
03/04/1988,16:00,6.80,6.89,6.80,6.89,90000.0
03/07/1988,16:00,6.94,6.94,6.89,6.89,51600.0
03/08/1988,16:00,6.89,6.94,6.85,6.94,73200.0
03/09/1988,16:00,6.94,6.95,6.94,6.95,3600.0
03/10/1988,16:00,6.94,6.99,6.71,6.71,62400.0
03/11/1988,16:00,6.71,6.72,6.71,6.72,27600.0
03/14/1988,16:00,6.78,6.78,6.69,6.73,15600.0
03/15/1988,16:00,6.73,6.74,6.73,6.74,3600.0
03/16/1988,16:00,6.76,6.89,6.76,6.85,63600.0
03/17/1988,16:00,6.85,6.85,6.80,6.85,64800.0
03/18/1988,16:00,6.85,6.94,6.85,6.94,61200.0
03/21/1988,16:00,6.94,6.94,6.94,6.94,106800.0
03/22/1988,16:00,6.94,6.95,6.94,6.95,15600.0
03/23/1988,16:00,6.94,6.99,6.94,6.94,40800.0
03/24/1988,16:00,6.99,6.99,6.99,6.99,76800.0
03/25/1988,16:00,6.99,7.03,6.99,6.99,50400.0
03/28/1988,16:00,6.99,6.99,6.80,6.89,45600.0
03/29/1988,16:00,6.89,6.94,6.87,6.94,32400.0
03/30/1988,16:00,6.94,6.94,6.87,6.87,37200.0
03/31/1988,16:00,6.83,6.89,6.83,6.89,21600.0
04/04/1988,16:00,6.92,6.93,6.83,6.83,87600.0
04/05/1988,16:00,6.81,6.81,6.76,6.77,27600.0
04/06/1988,16:00,6.72,6.73,6.71,6.73,38400.0
04/07/1988,16:00,6.75,6.80,6.75,6.79,36000.0
04/08/1988,16:00,6.80,6.87,6.80,6.86,15600.0
04/11/1988,16:00,6.89,6.96,6.86,6.86,64800.0
04/12/1988,16:00,6.87,6.89,6.87,6.89,12000.0
04/13/1988,16:00,6.86,6.89,6.84,6.87,44400.0
04/14/1988,16:00,6.85,6.85,6.79,6.85,86400.0
04/15/1988,16:00,6.83,6.92,6.83,6.89,33600.0
04/18/1988,16:00,6.90,6.94,6.90,6.94,62400.0
04/19/1988,16:00,6.96,7.19,6.96,7.17,115200.0
04/20/1988,16:00,7.17,7.17,7.09,7.12,92400.0
04/21/1988,16:00,7.12,7.12,6.99,7.08,54000.0
04/22/1988,16:00,7.06,7.17,7.03,7.17,250800.0
04/25/1988,16:00,7.12,7.12,6.99,7.01,67200.0
04/26/1988,16:00,7.03,7.10,7.03,7.08,13200.0
04/27/1988,16:00,7.03,7.03,7.03,7.03,27600.0
04/28/1988,16:00,6.99,6.99,6.89,6.89,60000.0
04/29/1988,16:00,6.85,6.94,6.80,6.94,45600.0
05/02/1988,16:00,6.94,6.94,6.89,6.89,21600.0
05/03/1988,16:00,6.93,6.96,6.89,6.96,72000.0
05/04/1988,16:00,6.96,6.99,6.94,6.94,81600.0
05/05/1988,16:00,6.96,6.97,6.94,6.97,21600.0
05/06/1988,16:00,6.94,6.96,6.92,6.92,120000.0
05/09/1988,16:00,6.89,6.94,6.85,6.94,66000.0
05/10/1988,16:00,6.89,6.96,6.87,6.87,31200.0
05/11/1988,16:00,6.83,6.83,6.73,6.73,135600.0
05/12/1988,16:00,6.78,6.78,6.76,6.76,4800.0
05/13/1988,16:00,6.78,6.78,6.72,6.72,31200.0
05/16/1988,16:00,6.71,6.76,6.71,6.72,28800.0
05/17/1988,16:00,6.76,6.85,6.76,6.80,44400.0
05/18/1988,16:00,6.80,6.87,6.80,6.87,36000.0
05/19/1988,16:00,6.87,6.87,6.78,6.83,22800.0
05/20/1988,16:00,6.87,6.94,6.87,6.94,58800.0
05/23/1988,16:00,6.94,6.94,6.85,6.85,34800.0
05/24/1988,16:00,6.82,6.86,6.79,6.80,58800.0
05/25/1988,16:00,6.78,6.80,6.78,6.78,8400.0
05/26/1988,16:00,6.80,6.80,6.78,6.78,30000.0
05/27/1988,16:00,6.78,6.82,6.78,6.82,15600.0
05/31/1988,16:00,6.85,6.85,6.78,6.85,78000.0
06/01/1988,16:00,6.89,6.94,6.89,6.94,34800.0
06/02/1988,16:00,6.94,7.03,6.92,7.03,144000.0
06/03/1988,16:00,6.99,7.00,6.89,7.00,21600.0
06/06/1988,16:00,7.00,7.00,6.97,6.99,4800.0
06/07/1988,16:00,7.03,7.03,6.95,6.95,34800.0
06/08/1988,16:00,6.99,7.00,6.94,6.95,133200.0
06/09/1988,16:00,6.99,7.08,6.95,7.08,36000.0
06/10/1988,16:00,7.04,7.08,7.01,7.07,48000.0
06/13/1988,16:00,7.16,7.19,7.11,7.11,128400.0
06/14/1988,16:00,7.14,7.17,7.14,7.16,43200.0
06/15/1988,16:00,7.18,7.18,7.16,7.17,26400.0
06/16/1988,16:00,7.17,7.17,7.10,7.10,38400.0
06/17/1988,16:00,7.15,7.15,7.15,7.15,18000.0
06/20/1988,16:00,7.15,7.16,7.15,7.16,15600.0
06/21/1988,16:00,7.16,7.16,7.03,7.03,30000.0
06/22/1988,16:00,7.06,7.10,7.04,7.08,121200.0
06/23/1988,16:00,7.03,7.10,7.03,7.10,82800.0
06/24/1988,16:00,7.08,7.08,7.03,7.03,64800.0
06/27/1988,16:00,7.08,7.08,6.99,6.99,48000.0
06/28/1988,16:00,7.03,7.03,6.99,7.01,10800.0
06/29/1988,16:00,7.02,7.10,7.01,7.01,68400.0
06/30/1988,16:00,6.99,7.08,6.99,7.08,116400.0
07/01/1988,16:00,7.08,7.08,7.06,7.08,18000.0
07/05/1988,16:00,7.08,7.08,7.06,7.06,22800.0
07/06/1988,16:00,7.08,7.10,7.08,7.10,18000.0
07/07/1988,16:00,7.08,7.08,7.03,7.03,70800.0
07/08/1988,16:00,7.03,7.03,7.03,7.03,6000.0
07/11/1988,16:00,7.08,7.10,7.08,7.10,18000.0
07/12/1988,16:00,7.08,7.08,7.08,7.08,4800.0
07/13/1988,16:00,7.08,7.11,7.08,7.11,19200.0
07/14/1988,16:00,7.08,7.08,7.08,7.08,20400.0
07/15/1988,16:00,7.06,7.06,7.03,7.03,33600.0
07/18/1988,16:00,7.06,7.15,7.01,7.15,100800.0
07/19/1988,16:00,7.10,7.10,7.06,7.06,63600.0
07/20/1988,16:00,7.10,7.10,7.06,7.06,4800.0
07/21/1988,16:00,7.06,7.10,7.06,7.10,13200.0
07/22/1988,16:00,7.08,7.11,7.08,7.10,44400.0
07/25/1988,16:00,7.12,7.12,7.10,7.11,25200.0
07/26/1988,16:00,7.10,7.12,7.10,7.10,12000.0
07/27/1988,16:00,7.12,7.14,7.10,7.12,32400.0
07/28/1988,16:00,7.12,7.12,7.12,7.12,32400.0
07/29/1988,16:00,7.12,7.12,7.06,7.06,39600.0
08/01/1988,16:00,7.08,7.10,7.06,7.10,36000.0
08/02/1988,16:00,7.10,7.12,7.10,7.10,26400.0
08/03/1988,16:00,7.12,7.14,7.12,7.14,7200.0
08/04/1988,16:00,7.15,7.17,7.15,7.17,151200.0
08/05/1988,16:00,7.19,7.19,7.17,7.17,48000.0
08/08/1988,16:00,7.17,7.26,7.17,7.19,63600.0
08/09/1988,16:00,7.22,7.31,7.19,7.19,48000.0
08/10/1988,16:00,7.22,7.22,7.03,7.06,26400.0
