Date,Time,Open,High,Low,Close,Vol
03/16/1992,16:00,2.0,2.0,1.88,1.88,3200.0
03/17/1992,16:00,2.0,2.12,2.0,2.12,4800.0
03/18/1992,16:00,2.12,2.25,2.12,2.25,3200.0
03/19/1992,16:00,2.25,2.25,2.25,2.25,4100.0
03/20/1992,16:00,2.12,2.12,2.12,2.12,5900.0
03/23/1992,16:00,2.0,2.25,2.0,2.12,27800.0
03/24/1992,16:00,2.12,2.12,2.12,2.12,1800.0
03/25/1992,16:00,2.12,2.12,2.12,2.12,0.0
03/26/1992,16:00,2.12,2.12,2.12,2.12,500.0
03/27/1992,16:00,2.12,2.12,2.0,2.0,2500.0
03/30/1992,16:00,2.12,2.25,2.12,2.12,10200.0
03/31/1992,16:00,2.12,2.12,2.12,2.12,0.0
04/01/1992,16:00,2.0,2.0,2.0,2.0,7500.0
04/02/1992,16:00,2.0,2.0,1.75,1.88,30400.0
04/03/1992,16:00,2.0,2.0,2.0,2.0,10000.0
04/06/1992,16:00,2.0,2.0,1.88,1.88,600.0
04/07/1992,16:00,2.12,2.12,2.12,2.12,600.0
04/08/1992,16:00,1.88,1.88,1.88,1.88,3800.0
04/09/1992,16:00,2.0,2.0,2.0,2.0,1500.0
04/10/1992,16:00,2.12,2.12,1.88,1.88,5800.0
04/13/1992,16:00,1.88,2.5,1.88,2.5,55800.0
04/14/1992,16:00,2.75,3.13,2.75,3.0,111300.0
04/15/1992,16:00,3.0,3.25,3.0,3.0,99400.0
04/16/1992,16:00,3.38,3.5,3.25,3.5,66100.0
04/20/1992,16:00,3.38,3.5,3.25,3.38,47900.0
04/21/1992,16:00,3.38,3.38,3.25,3.38,16700.0
04/22/1992,16:00,3.25,3.25,3.13,3.25,25900.0
04/23/1992,16:00,3.25,3.25,3.13,3.13,10200.0
04/24/1992,16:00,3.13,3.25,3.13,3.25,8700.0
04/27/1992,16:00,3.25,3.25,3.0,3.13,10800.0
04/28/1992,16:00,3.25,3.38,3.25,3.25,14600.0
04/29/1992,16:00,3.25,3.25,3.13,3.13,5900.0
04/30/1992,16:00,3.13,3.13,3.13,3.13,6600.0
05/01/1992,16:00,3.0,3.0,2.87,3.0,12100.0
05/04/1992,16:00,2.87,3.0,2.75,2.75,8500.0
