Date,Time,Open,High,Low,Close,Vol
03/26/1990,16:00,7.80,7.80,7.66,7.66,40200.0
03/27/1990,16:00,7.66,7.80,7.66,7.66,117100.5
03/28/1990,16:00,7.73,7.80,7.66,7.80,88699.5
03/29/1990,16:00,7.80,7.80,7.73,7.80,57499.5
03/30/1990,16:00,7.80,7.87,7.66,7.87,32400.0
04/02/1990,16:00,7.87,8.01,7.66,7.94,61300.5
04/03/1990,16:00,8.09,8.37,7.94,8.09,193200.0
04/04/1990,16:00,8.22,8.22,7.86,8.08,73500.0
04/05/1990,16:00,8.08,8.15,7.93,7.93,137599.5
04/06/1990,16:00,8.01,8.01,7.44,7.65,444000.0
04/09/1990,16:00,7.51,7.72,7.51,7.72,113500.5
04/10/1990,16:00,7.72,7.72,7.58,7.72,56400.0
04/11/1990,16:00,7.58,7.72,7.58,7.72,49200.0
04/12/1990,16:00,7.72,7.72,7.58,7.72,42700.5
04/16/1990,16:00,7.58,7.79,7.58,7.65,122500.5
04/17/1990,16:00,7.65,7.79,7.54,7.65,58699.5
04/18/1990,16:00,7.65,7.86,7.65,7.86,77899.5
04/19/1990,16:00,7.86,7.86,7.72,7.72,177799.5
04/20/1990,16:00,7.86,7.86,7.65,7.86,39000.0
04/23/1990,16:00,7.65,7.79,7.58,7.61,164700.0
04/24/1990,16:00,7.72,7.72,7.58,7.58,116599.5
04/25/1990,16:00,7.65,7.72,7.58,7.58,493999.5
04/26/1990,16:00,7.54,7.65,7.37,7.65,28300.5
04/27/1990,16:00,7.65,7.65,7.44,7.65,21400.5
04/30/1990,16:00,7.51,7.65,7.51,7.51,30600.0
05/01/1990,16:00,7.65,7.72,7.58,7.72,26599.5
05/02/1990,16:00,7.72,7.72,7.58,7.69,24700.5
05/03/1990,16:00,7.72,7.72,7.58,7.72,35500.5
05/04/1990,16:00,7.86,7.93,7.79,7.79,179100.0
05/07/1990,16:00,7.79,7.93,7.79,7.79,48600.0
05/08/1990,16:00,7.79,7.90,7.72,7.86,390300.0
05/09/1990,16:00,7.79,7.86,7.72,7.79,573100.5
05/10/1990,16:00,7.79,7.86,7.79,7.86,36900.0
05/11/1990,16:00,7.93,8.01,7.79,8.01,102600.0
05/14/1990,16:00,8.08,8.29,7.93,8.29,105000.0
05/15/1990,16:00,8.01,8.22,8.01,8.15,663600.0
05/16/1990,16:00,8.22,8.22,8.08,8.15,133300.5
05/17/1990,16:00,8.22,8.22,7.93,7.93,136099.5
05/18/1990,16:00,8.08,8.08,7.72,7.93,75000.0
05/21/1990,16:00,7.72,7.93,7.72,7.79,83599.5
05/22/1990,16:00,7.93,8.22,7.93,8.22,193200.0
05/23/1990,16:00,8.15,8.36,8.08,8.22,259099.5
05/24/1990,16:00,8.29,8.29,8.15,8.15,35500.5
05/25/1990,16:00,8.22,8.22,8.08,8.08,19500.0
05/29/1990,16:00,8.08,8.29,8.08,8.29,157699.5
05/30/1990,16:00,8.29,8.43,8.15,8.36,315400.5
05/31/1990,16:00,8.36,8.36,8.22,8.32,105700.5
06/01/1990,16:00,8.29,8.43,8.29,8.39,444700.5
06/04/1990,16:00,8.43,8.50,8.36,8.50,98200.5
06/05/1990,16:00,8.50,8.57,8.36,8.57,754699.5
06/06/1990,16:00,8.57,8.57,8.36,8.43,165000.0
06/07/1990,16:00,8.57,8.57,8.36,8.50,178300.5
06/08/1990,16:00,8.36,8.50,8.29,8.43,61300.5
06/11/1990,16:00,8.22,8.36,8.22,8.36,26700.0
06/12/1990,16:00,8.22,8.36,8.22,8.36,144300.0
06/13/1990,16:00,8.43,8.43,8.22,8.36,144199.5
06/14/1990,16:00,8.29,8.29,8.08,8.29,53500.5
06/15/1990,16:00,8.29,8.29,8.15,8.22,111499.5
06/18/1990,16:00,8.29,8.29,8.15,8.15,23899.5
06/19/1990,16:00,8.22,8.22,8.08,8.22,96499.5
06/20/1990,16:00,8.22,8.22,7.93,8.15,472099.5
06/21/1990,16:00,8.15,8.15,7.93,7.93,21499.5
06/22/1990,16:00,8.15,8.15,7.93,8.08,161200.5
06/25/1990,16:00,8.08,8.08,7.93,8.08,43200.0
06/26/1990,16:00,7.93,8.08,7.93,8.08,45900.0
06/27/1990,16:00,7.93,8.08,7.93,8.04,47599.5
06/28/1990,16:00,7.93,8.08,7.93,8.08,18700.5
06/29/1990,16:00,8.08,8.08,7.93,8.08,203899.5
07/02/1990,16:00,8.01,8.01,7.86,7.93,161100.0
07/03/1990,16:00,8.07,8.07,7.93,8.07,531700.5
07/05/1990,16:00,7.93,8.07,7.93,8.07,24700.5
07/06/1990,16:00,8.04,8.07,7.93,8.00,19300.5
07/09/1990,16:00,7.97,8.07,7.93,8.07,357100.5
07/10/1990,16:00,8.07,8.15,8.00,8.15,29299.5
07/11/1990,16:00,8.15,8.15,7.93,8.15,186799.5
07/12/1990,16:00,8.15,8.15,7.93,8.15,39000.0
07/13/1990,16:00,8.15,8.29,8.00,8.29,508900.5
