Date,Time,Open,High,Low,Close,Vol
03/05/1998,16:00,9.00,9.17,8.83,8.98,13796800.5
03/06/1998,16:00,9.17,9.38,8.98,9.21,2564500.5
03/09/1998,16:00,8.95,9.04,8.89,8.91,1215400.5
03/10/1998,16:00,8.91,9.04,8.89,8.91,701500.5
03/11/1998,16:00,8.91,8.95,8.70,8.83,1078600.5
03/12/1998,16:00,8.85,9.00,8.66,9.00,1460500.5
03/13/1998,16:00,9.00,9.02,8.76,8.76,666600.0
03/16/1998,16:00,8.79,9.00,8.72,8.95,866100.0
03/17/1998,16:00,9.13,9.15,8.91,9.04,842200.5
03/18/1998,16:00,9.00,9.13,8.87,8.87,353700.0
03/19/1998,16:00,8.87,9.15,8.76,9.15,382600.5
03/20/1998,16:00,9.15,9.15,8.83,8.87,468600.0
03/23/1998,16:00,8.83,8.89,8.62,8.62,705100.5
03/24/1998,16:00,8.68,8.87,8.66,8.83,954000.0
03/25/1998,16:00,8.85,8.89,8.64,8.64,689200.5
03/26/1998,16:00,8.66,8.70,8.62,8.64,329100.0
03/27/1998,16:00,8.76,8.83,8.70,8.83,289500.0
03/30/1998,16:00,8.79,8.83,8.57,8.66,692500.5
03/31/1998,16:00,8.62,8.89,8.62,8.83,336900.0
04/01/1998,16:00,8.83,8.83,8.49,8.51,392200.5
04/02/1998,16:00,8.55,8.70,8.53,8.66,691500.0
04/03/1998,16:00,8.66,9.51,8.66,8.98,688300.5
04/06/1998,16:00,8.98,9.08,8.62,8.85,849700.5
04/07/1998,16:00,8.85,8.85,8.59,8.72,442900.5
04/08/1998,16:00,8.72,8.81,8.64,8.64,319600.5
04/09/1998,16:00,8.62,8.83,8.57,8.76,292300.5
04/13/1998,16:00,8.72,8.85,8.66,8.70,318400.5
04/14/1998,16:00,8.70,8.89,8.70,8.81,469000.5
04/15/1998,16:00,8.79,8.91,8.64,8.91,238300.5
04/16/1998,16:00,8.93,9.02,8.89,8.91,176700.0
04/17/1998,16:00,8.83,9.04,8.81,9.04,335700.0
04/20/1998,16:00,9.17,9.38,8.63,8.74,531900.0
04/21/1998,16:00,8.72,8.74,8.53,8.53,999700.5
04/22/1998,16:00,8.61,8.87,8.25,8.76,798300.0
04/23/1998,16:00,8.72,8.74,8.53,8.53,280500.0
04/24/1998,16:00,8.51,8.51,8.27,8.38,582000.0
04/27/1998,16:00,8.29,8.29,7.63,7.83,702100.5
04/28/1998,16:00,7.97,8.53,7.97,8.53,376200.0
04/29/1998,16:00,8.48,8.51,8.27,8.40,318100.5
04/30/1998,16:00,8.40,8.46,8.32,8.44,172800.0
05/01/1998,16:00,8.44,8.46,8.32,8.34,342600.0
05/04/1998,16:00,8.25,8.25,7.89,8.04,308800.5
05/05/1998,16:00,8.04,8.34,8.04,8.15,192100.5
05/06/1998,16:00,8.15,8.44,8.15,8.32,110200.5
05/07/1998,16:00,8.25,8.32,8.19,8.29,62200.5
05/08/1998,16:00,8.23,8.32,7.85,8.00,407400.0
05/11/1998,16:00,7.95,8.08,7.91,8.06,151200.0
05/12/1998,16:00,8.02,8.15,8.00,8.10,157900.5
05/13/1998,16:00,8.06,8.08,8.02,8.08,232800.0
05/14/1998,16:00,8.06,8.08,7.85,7.85,504900.0
05/15/1998,16:00,7.89,7.91,7.59,7.76,807300.0
05/18/1998,16:00,7.81,7.81,7.50,7.57,539500.5
05/19/1998,16:00,7.61,7.87,7.61,7.87,974200.5
05/20/1998,16:00,7.87,8.36,7.87,8.19,864100.5
05/21/1998,16:00,8.19,8.36,8.19,8.36,231900.0
05/22/1998,16:00,8.32,8.38,8.10,8.17,67600.5
05/26/1998,16:00,8.19,8.19,8.02,8.02,242400.0
