Date,Time,Open,High,Low,Close,Vol
07/20/1992,16:00,2.62,2.72,2.62,2.65,260101.125
07/21/1992,16:00,2.72,2.87,2.65,2.87,288100.125
07/22/1992,16:00,2.87,2.94,2.79,2.94,328900.5
07/23/1992,16:00,2.94,3.01,2.87,2.94,292899.375
07/24/1992,16:00,2.90,3.15,2.90,3.08,506199.375
07/27/1992,16:00,2.94,3.08,2.94,2.94,93700.125
07/28/1992,16:00,3.08,3.08,2.94,3.05,55299.375
07/29/1992,16:00,3.08,3.08,2.94,2.97,160599.375
07/30/1992,16:00,3.05,3.08,2.94,3.08,73801.125
07/31/1992,16:00,2.94,3.08,2.94,3.05,97800.75
08/03/1992,16:00,3.08,3.08,2.94,3.08,13500.0
08/04/1992,16:00,2.97,3.22,2.97,3.08,237600.0
08/05/1992,16:00,3.08,3.30,3.08,3.30,141000.75
08/06/1992,16:00,3.15,3.30,3.15,3.26,38400.75
08/07/1992,16:00,3.30,3.37,3.22,3.37,44499.375
08/10/1992,16:00,3.37,3.37,3.30,3.30,67500.0
08/11/1992,16:00,3.37,3.37,3.22,3.30,124800.75
08/12/1992,16:00,3.30,3.30,3.15,3.26,110200.5
08/13/1992,16:00,3.19,3.30,3.15,3.22,300601.125
08/14/1992,16:00,3.22,3.22,3.08,3.22,142300.125
08/17/1992,16:00,3.22,3.22,3.08,3.22,147700.125
08/18/1992,16:00,3.22,3.22,3.08,3.22,8700.75
08/19/1992,16:00,3.22,3.22,3.15,3.15,27600.75
08/20/1992,16:00,3.15,3.22,3.15,3.22,39099.375
08/21/1992,16:00,3.22,3.30,3.15,3.15,68100.75
08/24/1992,16:00,3.15,3.26,3.15,3.15,97200.0
08/25/1992,16:00,3.19,3.30,3.19,3.30,145901.25
08/26/1992,16:00,3.30,3.37,3.26,3.33,468399.375
08/27/1992,16:00,3.37,3.37,3.30,3.33,93099.375
08/28/1992,16:00,3.37,3.51,3.37,3.51,171598.5
08/31/1992,16:00,3.51,3.80,3.51,3.65,612100.125
09/01/1992,16:00,3.73,3.73,3.51,3.62,511798.5
09/02/1992,16:00,3.65,3.65,3.37,3.44,365401.125
09/03/1992,16:00,3.51,3.51,3.37,3.51,54000.0
09/04/1992,16:00,3.51,3.55,3.44,3.44,38701.125
09/08/1992,16:00,3.55,3.62,3.44,3.51,186401.25
09/09/1992,16:00,3.58,3.58,3.44,3.44,20800.125
09/10/1992,16:00,3.44,3.55,3.44,3.51,32501.25
09/11/1992,16:00,3.55,3.58,3.44,3.58,29200.5
09/14/1992,16:00,3.44,3.58,3.15,3.22,257401.125
09/15/1992,16:00,3.22,3.22,2.94,3.15,351600.75
09/16/1992,16:00,3.01,3.15,3.01,3.08,109299.375
09/17/1992,16:00,3.15,3.15,3.01,3.15,20199.375
09/18/1992,16:00,3.01,3.01,3.01,3.01,1498.5
09/21/1992,16:00,3.15,3.30,3.01,3.22,101398.5
09/22/1992,16:00,3.22,3.22,3.08,3.15,124800.75
09/23/1992,16:00,3.22,3.22,3.08,3.08,15400.125
09/24/1992,16:00,3.08,3.22,3.08,3.08,19801.125
09/25/1992,16:00,3.12,3.22,3.08,3.12,455800.5
09/28/1992,16:00,3.22,3.22,2.97,2.97,153900.0
09/29/1992,16:00,2.94,3.08,2.94,2.97,20398.5
09/30/1992,16:00,2.87,3.08,2.87,2.97,21100.5
10/01/1992,16:00,2.94,2.97,2.43,2.43,577300.5
10/02/1992,16:00,2.58,2.65,2.43,2.51,341101.125
10/05/1992,16:00,2.51,2.51,2.36,2.43,100500.75
10/06/1992,16:00,2.51,2.65,2.36,2.58,402300.0
10/07/1992,16:00,2.65,2.65,2.58,2.62,27000.0
10/08/1992,16:00,2.65,2.65,2.65,2.65,14998.5
10/09/1992,16:00,2.51,2.58,2.51,2.58,8700.75
10/12/1992,16:00,2.51,2.65,2.51,2.51,17698.5
10/13/1992,16:00,2.51,2.65,2.51,2.65,5400.0
10/14/1992,16:00,2.65,2.65,2.51,2.51,18100.125
10/15/1992,16:00,2.51,2.65,2.51,2.58,254701.125
10/16/1992,16:00,2.51,2.58,2.51,2.51,17698.5
10/19/1992,16:00,2.65,2.65,2.65,2.65,1498.5
10/20/1992,16:00,2.58,2.58,2.43,2.58,69400.125
10/21/1992,16:00,2.43,2.43,2.43,2.43,21701.25
10/22/1992,16:00,2.51,2.51,2.33,2.40,366700.5
10/23/1992,16:00,2.43,2.51,2.36,2.51,108901.125
10/26/1992,16:00,2.58,2.58,2.43,2.51,44101.125
10/27/1992,16:00,2.58,2.72,2.58,2.72,41100.75
10/28/1992,16:00,2.72,2.72,2.72,2.72,2801.25
10/29/1992,16:00,2.72,2.72,2.58,2.58,250600.5
10/30/1992,16:00,2.58,2.62,2.58,2.62,21100.5
11/02/1992,16:00,2.58,2.72,2.58,2.65,31900.5
11/03/1992,16:00,2.62,2.65,2.58,2.62,158500.125
11/04/1992,16:00,2.61,2.61,2.61,2.61,0.0
11/05/1992,16:00,2.58,2.72,2.58,2.58,38701.125
11/06/1992,16:00,2.58,2.58,2.58,2.58,0.0
11/09/1992,16:00,2.62,2.65,2.62,2.65,33898.5
11/10/1992,16:00,2.58,2.65,2.51,2.51,30601.125
11/11/1992,16:00,2.58,2.58,2.51,2.51,13000.5
11/12/1992,16:00,2.51,2.58,2.51,2.51,3300.75
11/13/1992,16:00,2.65,2.65,2.51,2.58,19500.75
11/16/1992,16:00,2.51,2.65,2.51,2.65,27000.0
11/17/1992,16:00,2.65,2.65,2.54,2.58,216101.25
11/18/1992,16:00,2.65,2.65,2.51,2.51,6301.125
11/19/1992,16:00,2.65,2.65,2.51,2.62,14998.5
11/20/1992,16:00,2.58,2.65,2.58,2.65,29801.25
11/23/1992,16:00,2.65,2.65,2.65,2.65,101.25
11/24/1992,16:00,2.51,2.58,2.51,2.58,38701.125
11/25/1992,16:00,2.65,2.65,2.51,2.54,46001.25
11/27/1992,16:00,2.65,2.65,2.65,2.65,101.25
11/30/1992,16:00,2.54,2.58,2.54,2.58,7300.125
12/01/1992,16:00,2.54,2.72,2.54,2.65,162901.125
12/02/1992,16:00,2.69,2.79,2.65,2.79,111300.75
12/03/1992,16:00,2.79,2.87,2.76,2.76,50800.5
12/04/1992,16:00,2.79,2.87,2.72,2.87,101199.375
12/07/1992,16:00,3.08,3.19,3.01,3.01,126100.125
12/08/1992,16:00,3.15,3.15,2.94,3.01,145300.5
12/09/1992,16:00,3.08,3.08,3.01,3.01,14401.125
12/10/1992,16:00,3.01,3.01,2.94,2.94,6000.75
12/11/1992,16:00,3.01,3.08,3.01,3.01,71499.375
12/14/1992,16:00,2.94,2.94,2.94,2.94,2801.25
12/15/1992,16:00,3.01,3.01,2.97,2.97,2200.5
12/16/1992,16:00,2.94,2.94,2.94,2.94,10000.125
12/17/1992,16:00,2.94,3.01,2.94,3.01,30999.375
12/18/1992,16:00,3.08,3.08,2.94,2.94,27600.75
12/21/1992,16:00,2.94,2.94,2.94,2.94,8700.75
12/22/1992,16:00,2.87,2.87,2.87,2.87,10000.125
12/23/1992,16:00,3.01,3.01,3.01,3.01,600.75
12/24/1992,16:00,3.01,3.01,3.01,3.01,600.75
12/28/1992,16:00,2.87,3.01,2.87,2.94,17101.125
12/29/1992,16:00,2.94,2.94,2.87,2.87,11400.75
12/30/1992,16:00,2.87,2.94,2.79,2.87,32501.25
12/31/1992,16:00,2.79,2.94,2.79,2.94,464400.0
01/04/1993,16:00,3.01,3.01,2.87,3.01,81101.25
01/05/1993,16:00,3.01,3.08,2.94,3.08,126100.125
01/06/1993,16:00,3.08,3.15,3.01,3.15,106599.375
01/07/1993,16:00,3.30,3.37,3.15,3.37,94500.0
01/08/1993,16:00,3.26,3.30,3.22,3.30,63598.5
01/11/1993,16:00,3.22,3.37,3.22,3.37,57300.75
01/12/1993,16:00,3.22,3.26,3.22,3.22,49200.75
01/13/1993,16:00,3.19,3.30,3.15,3.15,67500.0
01/14/1993,16:00,3.12,3.15,3.12,3.15,19801.125
01/15/1993,16:00,3.30,3.30,3.08,3.08,46001.25
01/18/1993,16:00,3.08,3.22,3.08,3.08,39298.5
01/19/1993,16:00,3.15,3.26,3.12,3.26,33898.5
01/20/1993,16:00,3.08,3.26,3.08,3.08,16301.25
01/21/1993,16:00,3.08,3.08,3.08,3.08,1900.125
01/22/1993,16:00,3.30,3.30,3.08,3.15,67000.5
01/25/1993,16:00,3.08,3.08,3.08,3.08,901.125
01/26/1993,16:00,3.08,3.22,3.08,3.12,39700.125
01/27/1993,16:00,3.22,3.22,3.08,3.15,43301.25
01/28/1993,16:00,3.08,3.08,3.08,3.08,3300.75
01/29/1993,16:00,3.08,3.08,3.05,3.08,19001.25
02/01/1993,16:00,3.01,3.15,3.01,3.01,35100.0
02/02/1993,16:00,3.15,3.15,3.01,3.01,92400.75
02/03/1993,16:00,3.01,3.15,3.01,3.15,83700.0
02/04/1993,16:00,3.12,3.30,3.12,3.22,57300.75
02/05/1993,16:00,3.22,3.22,3.08,3.15,154500.75
02/08/1993,16:00,3.01,3.08,2.87,2.94,94500.0
02/09/1993,16:00,2.87,3.01,2.87,2.87,56700.0
02/10/1993,16:00,3.01,3.01,2.87,3.01,17101.125
02/11/1993,16:00,2.94,2.94,2.94,2.94,7300.125
02/12/1993,16:00,2.94,3.08,2.94,3.01,135000.0
02/16/1993,16:00,3.01,3.01,2.72,2.94,41799.375
02/17/1993,16:00,2.87,2.87,2.72,2.79,18100.125
02/18/1993,16:00,2.72,2.87,2.72,2.87,47398.5
02/19/1993,16:00,2.87,2.87,2.87,2.87,41998.5
02/22/1993,16:00,2.36,2.43,2.29,2.29,292200.75
02/23/1993,16:00,2.29,2.43,2.29,2.43,305700.75
