Date,Time,Open,High,Low,Close,Vol
09/07/1984,16:00,0.49,0.51,0.49,0.49,38392.1015625
09/10/1984,16:00,0.49,0.51,0.49,0.49,118798.5234375
09/11/1984,16:00,0.49,0.51,0.49,0.49,149997.4453125
09/12/1984,16:00,0.49,0.51,0.49,0.49,232197.890625
09/13/1984,16:00,0.49,0.51,0.49,0.49,50506.03125
09/14/1984,16:00,0.49,0.51,0.49,0.49,241800.1875
09/17/1984,16:00,0.49,0.51,0.49,0.49,115603.453125
09/18/1984,16:00,0.49,0.50,0.49,0.49,30293.3671875
09/19/1984,16:00,0.49,0.50,0.49,0.49,270607.078125
09/20/1984,16:00,0.49,0.50,0.49,0.49,33693.46875
09/21/1984,16:00,0.49,0.50,0.49,0.49,112203.3515625
09/24/1984,16:00,0.49,0.50,0.49,0.49,30293.3671875
09/25/1984,16:00,0.49,0.50,0.49,0.49,156695.1328125
09/26/1984,16:00,0.51,0.54,0.51,0.51,576992.109375
09/27/1984,16:00,0.59,0.59,0.59,0.59,120302.0859375
09/28/1984,16:00,0.59,0.59,0.59,0.59,307000.125
10/01/1984,16:00,0.57,0.57,0.56,0.56,60894.28125
10/02/1984,16:00,0.56,0.57,0.56,0.56,85002.5390625
10/03/1984,16:00,0.56,0.56,0.55,0.55,68104.546875
10/04/1984,16:00,0.56,0.57,0.56,0.56,132398.9296875
10/05/1984,16:00,0.58,0.59,0.58,0.58,177403.2890625
10/08/1984,16:00,0.59,0.60,0.59,0.59,115603.453125
10/09/1984,16:00,0.60,0.61,0.60,0.60,310007.25
10/10/1984,16:00,0.60,0.60,0.59,0.59,259296.1875
10/11/1984,16:00,0.60,0.61,0.60,0.60,122796.6328125
10/12/1984,16:00,0.60,0.60,0.59,0.59,40596.1875
10/15/1984,16:00,0.59,0.59,0.59,0.59,91307.25
10/16/1984,16:00,0.59,0.59,0.59,0.59,211506.8203125
10/17/1984,16:00,0.59,0.59,0.59,0.59,143094.7265625
10/18/1984,16:00,0.59,0.59,0.59,0.59,177403.2890625
10/19/1984,16:00,0.59,0.59,0.59,0.59,225004.7109375
