Date,Time,Open,High,Low,Close,Vol
03/26/1990,16:00,1.82,1.82,1.75,1.75,3600.0
03/27/1990,16:00,1.78,1.82,1.75,1.82,7800.0
03/28/1990,16:00,1.82,1.82,1.75,1.78,48300.0
03/29/1990,16:00,1.75,1.82,1.75,1.78,47700.0
03/30/1990,16:00,1.75,1.82,1.68,1.68,60600.0
04/02/1990,16:00,1.78,1.82,1.68,1.75,26400.0
04/03/1990,16:00,1.61,1.61,1.61,1.61,3600.0
04/04/1990,16:00,1.61,1.75,1.61,1.61,12600.0
04/05/1990,16:00,1.75,1.75,1.61,1.64,68400.0
04/06/1990,16:00,1.68,1.68,1.61,1.61,44700.0
04/09/1990,16:00,1.61,1.64,1.61,1.64,24300.0
04/10/1990,16:00,1.61,1.64,1.61,1.61,39600.0
04/11/1990,16:00,1.61,1.64,1.61,1.61,32100.0
04/12/1990,16:00,1.54,1.64,1.47,1.61,21000.0
04/16/1990,16:00,1.61,1.61,1.47,1.50,39300.0
04/17/1990,16:00,1.61,1.61,1.61,1.61,3000.0
04/18/1990,16:00,1.50,1.61,1.50,1.61,1800.0
04/19/1990,16:00,1.61,1.61,1.47,1.47,183000.0
04/20/1990,16:00,1.47,1.54,1.47,1.47,38700.0
04/23/1990,16:00,1.47,1.50,1.33,1.33,55800.0
04/24/1990,16:00,1.47,1.47,1.33,1.47,44100.0
04/25/1990,16:00,1.47,1.47,1.47,1.47,4800.0
04/26/1990,16:00,1.33,1.40,0.63,0.98,524400.0
04/27/1990,16:00,1.12,1.26,1.05,1.15,189000.0
04/30/1990,16:00,1.26,1.26,1.12,1.26,25200.0
05/01/1990,16:00,1.26,1.26,1.12,1.22,256200.0
05/02/1990,16:00,1.22,1.22,1.12,1.22,19200.0
05/03/1990,16:00,1.15,1.15,1.08,1.08,117300.0
05/04/1990,16:00,1.15,1.15,1.08,1.15,14400.0
05/07/1990,16:00,1.15,1.15,1.05,1.12,16800.0
05/08/1990,16:00,1.12,1.12,1.08,1.12,36600.0
05/09/1990,16:00,1.12,1.12,1.05,1.12,81300.0
05/10/1990,16:00,1.12,1.12,1.05,1.12,34200.0
05/11/1990,16:00,1.12,1.12,0.98,0.98,334200.0
05/14/1990,16:00,0.98,1.05,0.98,1.05,160200.0
05/15/1990,16:00,1.08,1.08,0.94,1.08,19200.0
05/16/1990,16:00,0.94,1.05,0.91,0.98,2074500.0
05/17/1990,16:00,1.05,1.05,0.98,0.98,457500.0
