Date,Time,Open,High,Low,Close,Vol
05/15/2014,16:00,11.4,13.92,11.06,13.43,8421300.0
05/16/2014,16:00,13.6,15.75,13.44,15.25,1867700.0
05/19/2014,16:00,16.0,17.94,15.99,16.5,1529200.0
05/20/2014,16:00,16.75,18.17,15.67,16.95,877700.0
05/21/2014,16:00,17.2,17.33,16.3,17.19,386800.0
05/22/2014,16:00,17.3,17.3,15.95,16.15,1321100.0
05/23/2014,16:00,16.46,16.46,14.8,16.36,942200.0
05/27/2014,16:00,16.5,16.7,15.92,16.1,115700.0
05/28/2014,16:00,16.29,18.45,16.17,17.38,501200.0
05/29/2014,16:00,17.5,18.06,17.29,17.49,272100.0
05/30/2014,16:00,17.85,17.9,15.83,15.98,219200.0
06/02/2014,16:00,15.95,15.96,14.17,15.0,346100.0
06/03/2014,16:00,15.06,16.0,14.77,15.06,293800.0
06/04/2014,16:00,15.09,15.51,14.31,15.3,180100.0
06/05/2014,16:00,15.3,15.62,14.73,15.22,174400.0
06/06/2014,16:00,15.35,15.59,15.0,15.39,223100.0
06/09/2014,16:00,15.24,17.57,14.76,17.32,438400.0
06/10/2014,16:00,17.44,18.12,16.5,16.5,244300.0
06/11/2014,16:00,16.39,18.75,16.23,18.49,419000.0
06/12/2014,16:00,18.44,18.44,17.34,17.89,231600.0
06/13/2014,16:00,18.05,18.09,16.0,16.75,426200.0
06/16/2014,16:00,16.69,18.25,16.19,17.24,271600.0
06/17/2014,16:00,17.37,18.0,17.24,17.7,88600.0
06/18/2014,16:00,17.74,18.11,17.31,17.61,142600.0
06/19/2014,16:00,17.53,18.01,17.52,18.0,221900.0
06/20/2014,16:00,18.1,18.29,16.97,17.56,324900.0
06/23/2014,16:00,17.49,18.4,17.21,17.99,135300.0
06/24/2014,16:00,17.81,18.02,17.53,17.81,106300.0
06/25/2014,16:00,17.93,18.02,17.5,17.94,99800.0
06/26/2014,16:00,17.9,18.0,17.57,17.68,77100.0
06/27/2014,16:00,17.67,18.4,17.16,17.16,1136800.0
06/30/2014,16:00,17.27,17.6,16.34,17.38,284000.0
