Date,Time,Open,High,Low,Close,Vol
02/07/1997,16:00,312.13,322.25,307.01,313.75,112760.0
02/10/1997,16:00,317.21,327.34,313.84,323.96,10240.0
02/11/1997,16:00,323.96,329.09,320.59,323.96,7470.0
02/12/1997,16:00,322.20,325.57,320.44,322.20,3320.0
02/13/1997,16:00,323.96,323.96,320.59,323.96,1970.0
02/14/1997,16:00,323.81,323.81,320.44,322.20,1690.0
02/18/1997,16:00,320.53,323.90,320.53,320.53,3250.0
02/19/1997,16:00,320.59,323.96,318.97,323.96,2770.0
02/20/1997,16:00,323.90,334.02,320.53,320.53,10910.0
02/21/1997,16:00,323.96,334.09,323.96,323.96,2260.0
02/24/1997,16:00,327.39,329.14,324.01,325.77,2650.0
02/25/1997,16:00,325.64,330.64,323.89,330.64,2470.0
02/26/1997,16:00,327.34,327.34,323.96,323.96,2130.0
02/27/1997,16:00,325.72,327.34,323.96,323.96,430.0
02/28/1997,16:00,325.68,327.30,323.93,327.30,270.0
03/03/1997,16:00,328.97,328.97,325.60,328.97,250.0
03/04/1997,16:00,329.16,332.54,327.41,332.54,320.0
03/05/1997,16:00,332.42,339.17,332.42,337.41,1090.0
03/06/1997,16:00,340.79,349.29,337.41,337.41,2620.0
03/07/1997,16:00,340.84,342.59,337.46,339.22,3120.0
03/10/1997,16:00,344.14,345.89,337.39,342.52,4100.0
03/11/1997,16:00,345.99,347.61,344.23,345.99,1470.0
03/12/1997,16:00,344.21,344.21,339.22,339.22,3210.0
03/13/1997,16:00,339.19,349.32,339.19,344.19,1080.0
03/14/1997,16:00,345.99,352.74,345.99,345.99,1060.0
03/17/1997,16:00,344.14,347.51,342.52,342.52,600.0
03/18/1997,16:00,344.19,347.56,340.81,344.19,460.0
03/19/1997,16:00,344.07,352.57,344.07,349.19,440.0
03/20/1997,16:00,349.34,350.96,347.59,350.96,1100.0
03/21/1997,16:00,344.19,350.93,342.57,344.19,920.0
03/24/1997,16:00,339.12,342.49,333.99,335.74,3070.0
03/25/1997,16:00,335.79,337.41,335.79,337.41,330.0
03/26/1997,16:00,334.07,335.83,332.45,334.07,770.0
03/27/1997,16:00,334.05,334.05,327.30,327.30,620.0
03/31/1997,16:00,323.84,330.59,320.47,328.97,2740.0
04/01/1997,16:00,329.06,330.67,325.68,327.30,2140.0
04/02/1997,16:00,325.60,328.97,325.60,328.97,370.0
04/03/1997,16:00,325.57,327.19,320.44,322.20,1840.0
04/04/1997,16:00,320.53,322.28,318.91,320.53,1650.0
04/07/1997,16:00,325.68,327.30,323.93,327.30,390.0
04/08/1997,16:00,330.70,334.07,330.70,334.07,950.0
04/09/1997,16:00,335.74,337.36,333.99,335.74,50.0
04/10/1997,16:00,337.39,342.52,337.39,342.52,550.0
04/11/1997,16:00,340.76,344.14,339.14,342.52,150.0
04/14/1997,16:00,337.38,340.75,337.38,340.75,3420.0
04/15/1997,16:00,340.78,350.90,340.78,347.52,4930.0
04/16/1997,16:00,349.34,352.71,349.34,350.96,3080.0
04/17/1997,16:00,350.84,355.97,350.84,355.97,1520.0
04/18/1997,16:00,350.81,350.81,349.19,349.19,5060.0
04/21/1997,16:00,352.69,352.69,344.19,344.19,570.0
04/22/1997,16:00,340.79,340.79,334.04,337.41,2800.0
04/23/1997,16:00,337.39,337.39,329.02,330.64,9160.0
04/24/1997,16:00,335.79,337.41,330.66,337.41,1160.0
04/25/1997,16:00,335.74,337.36,333.99,335.74,110.0
04/28/1997,16:00,337.38,340.75,337.38,340.75,450.0
04/29/1997,16:00,344.09,359.34,342.47,355.97,4350.0
04/30/1997,16:00,357.68,357.68,344.19,344.19,850.0
05/01/1997,16:00,344.19,345.94,342.57,344.19,720.0
05/02/1997,16:00,347.59,356.09,344.21,350.96,670.0
05/05/1997,16:00,350.27,352.04,350.27,352.04,120.0
05/06/1997,16:00,353.81,353.81,353.81,353.81,1040.0
05/07/1997,16:00,353.77,353.77,350.37,350.37,1230.0
05/08/1997,16:00,348.70,348.70,346.93,346.93,240.0
05/09/1997,16:00,350.37,350.37,346.97,350.37,230.0
05/12/1997,16:00,348.77,353.81,348.77,353.81,560.0
05/13/1997,16:00,353.74,362.31,353.74,358.91,660.0
05/14/1997,16:00,355.58,357.21,352.17,353.81,15460.0
05/15/1997,16:00,352.04,353.67,350.27,352.04,520.0
05/16/1997,16:00,348.64,352.04,346.87,352.04,1580.0
05/19/1997,16:00,350.37,352.14,350.37,350.37,960.0
05/20/1997,16:00,352.99,355.58,350.40,353.81,370.0
05/21/1997,16:00,352.04,353.67,350.27,352.04,150.0
05/22/1997,16:00,360.58,363.17,353.78,360.58,880.0
05/23/1997,16:00,364.84,364.84,361.43,362.39,90.0
05/27/1997,16:00,360.62,362.39,358.98,362.39,220.0
05/28/1997,16:00,360.58,360.58,355.55,360.58,1930.0
05/29/1997,16:00,360.61,364.02,358.98,364.02,250.0
05/30/1997,16:00,365.76,370.79,365.76,370.79,130.0
06/02/1997,16:00,370.76,379.33,370.76,377.56,1940.0
06/03/1997,16:00,377.56,380.97,375.93,377.56,850.0
06/04/1997,16:00,381.04,391.24,365.79,382.81,5400.0
06/05/1997,16:00,381.00,382.77,377.60,381.00,500.0
06/06/1997,16:00,381.00,382.77,377.60,381.00,180.0
06/09/1997,16:00,380.96,380.96,374.16,379.33,860.0
06/10/1997,16:00,379.40,386.21,377.63,384.44,3800.0
06/11/1997,16:00,387.74,389.51,384.34,386.11,2510.0
06/12/1997,16:00,384.51,391.31,384.51,389.68,2050.0
06/13/1997,16:00,386.21,389.61,384.44,384.44,750.0
06/16/1997,16:00,384.34,386.11,380.94,386.11,540.0
06/17/1997,16:00,382.77,386.17,381.00,381.00,290.0
06/18/1997,16:00,380.96,382.73,379.33,379.33,190.0
06/19/1997,16:00,380.96,380.96,377.56,379.33,410.0
06/20/1997,16:00,381.03,384.43,374.23,374.23,1090.0
06/23/1997,16:00,375.93,379.33,374.16,379.33,400.0
06/24/1997,16:00,375.97,382.77,375.97,381.00,240.0
06/25/1997,16:00,379.37,382.77,379.37,381.00,90.0
06/26/1997,16:00,382.77,382.77,377.60,381.00,240.0
06/27/1997,16:00,381.00,381.00,377.60,381.00,190.0
06/30/1997,16:00,381.03,381.03,374.23,378.45,670.0
07/01/1997,16:00,379.40,379.40,374.23,374.23,640.0
07/02/1997,16:00,377.60,381.00,377.60,381.00,110.0
07/03/1997,16:00,382.80,384.44,381.03,384.44,180.0
07/07/1997,16:00,386.14,387.77,385.19,387.77,590.0
07/08/1997,16:00,384.37,387.77,384.37,387.77,310.0
07/09/1997,16:00,386.17,386.99,384.40,386.99,2270.0
07/10/1997,16:00,380.96,380.96,380.96,380.96,260.0
07/11/1997,16:00,381.00,381.00,379.37,381.00,110.0
07/14/1997,16:00,381.00,382.77,379.37,381.00,1700.0
