Date,Time,Open,High,Low,Close,Vol
06/08/1993,16:00,1.89,1.94,1.78,1.83,8493201.0
06/09/1993,16:00,1.89,2.10,1.83,2.07,1324998.0
06/10/1993,16:00,2.12,2.20,1.94,1.99,1781001.0
06/11/1993,16:00,1.97,2.15,1.97,2.12,965601.0
06/14/1993,16:00,2.18,2.20,2.10,2.20,365400.0
06/15/1993,16:00,2.20,2.20,2.07,2.08,657801.0
06/16/1993,16:00,2.12,2.18,2.07,2.18,426798.0
06/17/1993,16:00,2.18,2.23,2.12,2.18,440001.0
06/18/1993,16:00,2.18,2.23,2.10,2.12,374400.0
06/21/1993,16:00,2.12,2.20,2.07,2.12,143001.0
06/22/1993,16:00,2.12,2.18,2.07,2.10,253800.0
06/23/1993,16:00,2.07,2.12,2.04,2.07,314001.0
06/24/1993,16:00,2.02,2.12,2.02,2.07,104598.0
06/25/1993,16:00,2.12,2.18,2.04,2.18,77400.0
06/28/1993,16:00,2.18,2.18,2.10,2.18,261198.0
06/29/1993,16:00,2.18,2.18,2.10,2.10,91800.0
06/30/1993,16:00,2.07,2.12,2.07,2.12,27000.0
07/01/1993,16:00,2.12,2.12,2.04,2.04,62401.5
07/02/1993,16:00,2.04,2.12,2.02,2.10,147798.0
07/06/1993,16:00,2.10,2.25,2.10,2.18,640800.0
07/07/1993,16:00,2.23,2.23,2.18,2.23,305401.5
07/08/1993,16:00,2.25,2.25,2.18,2.25,90198.0
07/09/1993,16:00,2.28,2.31,2.23,2.28,90801.0
07/12/1993,16:00,2.31,2.31,2.23,2.31,168201.0
07/13/1993,16:00,2.28,2.33,2.28,2.28,157801.5
07/14/1993,16:00,2.33,2.39,2.28,2.39,118800.0
07/15/1993,16:00,2.31,2.39,2.31,2.33,148801.5
07/16/1993,16:00,2.28,2.33,2.25,2.28,63801.0
07/19/1993,16:00,2.28,2.31,2.20,2.20,104400.0
07/20/1993,16:00,2.25,2.31,2.20,2.23,157801.5
07/21/1993,16:00,2.23,2.31,2.23,2.23,18801.0
07/22/1993,16:00,2.20,2.25,2.19,2.19,12600.0
07/23/1993,16:00,2.23,2.23,2.18,2.18,7200.0
07/26/1993,16:00,2.15,2.18,2.10,2.15,165798.0
07/27/1993,16:00,2.18,2.18,2.12,2.15,39001.5
07/28/1993,16:00,2.18,2.18,2.15,2.15,10998.0
07/29/1993,16:00,2.15,2.18,2.15,2.18,85401.0
07/30/1993,16:00,2.20,2.20,2.15,2.15,197401.5
08/02/1993,16:00,2.15,2.20,2.15,2.15,100201.5
08/03/1993,16:00,2.15,2.36,2.15,2.33,364401.0
08/04/1993,16:00,2.31,2.49,2.31,2.33,749601.0
08/05/1993,16:00,2.39,2.39,2.32,2.36,247801.5
08/06/1993,16:00,2.32,2.36,2.18,2.23,485001.0
08/09/1993,16:00,2.23,2.25,2.20,2.20,151398.0
08/10/1993,16:00,2.18,2.27,2.15,2.20,350401.5
08/11/1993,16:00,2.23,2.31,2.23,2.23,166801.5
08/12/1993,16:00,2.23,2.36,2.23,2.31,111798.0
08/13/1993,16:00,2.37,2.39,2.31,2.31,199201.5
08/16/1993,16:00,2.33,2.35,2.31,2.31,104400.0
08/17/1993,16:00,2.31,2.33,2.28,2.33,72801.0
08/18/1993,16:00,2.28,2.39,2.28,2.36,819198.0
08/19/1993,16:00,2.39,2.39,2.33,2.39,4801.5
08/20/1993,16:00,2.33,2.39,2.33,2.39,31801.5
08/23/1993,16:00,2.41,2.41,2.36,2.41,41598.0
08/24/1993,16:00,2.41,2.41,2.36,2.36,45000.0
08/25/1993,16:00,2.41,2.44,2.36,2.44,28800.0
08/26/1993,16:00,2.44,2.46,2.39,2.45,31801.5
08/27/1993,16:00,2.41,2.44,2.41,2.44,52398.0
08/30/1993,16:00,2.41,2.54,2.41,2.49,91998.0
