Date,Time,Open,High,Low,Close,Vol
03/04/1993,16:00,3.62,3.81,3.62,3.72,113200.0
03/05/1993,16:00,3.62,3.62,3.62,3.62,2500.0
03/08/1993,16:00,3.81,3.81,3.62,3.62,91000.0
03/09/1993,16:00,3.81,3.81,3.62,3.62,170200.0
03/10/1993,16:00,3.77,3.77,3.62,3.77,18000.0
03/11/1993,16:00,3.62,3.62,3.62,3.62,53700.0
03/12/1993,16:00,3.72,3.81,3.62,3.81,133700.0
03/15/1993,16:00,3.81,3.81,3.81,3.81,0.0
03/16/1993,16:00,3.62,4.10,3.62,4.01,33700.0
03/17/1993,16:00,4.01,4.01,3.77,3.77,12200.0
03/18/1993,16:00,3.72,4.01,3.72,3.72,19500.0
03/19/1993,16:00,3.72,3.91,3.72,3.91,57500.0
03/22/1993,16:00,3.72,3.81,3.72,3.72,45500.0
03/23/1993,16:00,3.72,3.81,3.67,3.81,161200.0
03/24/1993,16:00,3.67,3.81,3.62,3.62,51200.0
03/25/1993,16:00,3.62,3.81,3.62,3.62,113700.0
03/26/1993,16:00,3.62,3.81,3.62,3.62,37200.0
03/29/1993,16:00,3.62,3.81,3.62,3.62,30000.0
03/30/1993,16:00,3.62,3.72,3.62,3.72,109200.0
03/31/1993,16:00,3.72,3.72,3.62,3.72,51200.0
04/01/1993,16:00,3.62,3.72,3.62,3.72,10500.0
04/02/1993,16:00,3.62,3.81,3.62,3.62,171500.0
04/05/1993,16:00,3.62,3.72,3.62,3.72,15000.0
04/06/1993,16:00,3.62,3.62,3.62,3.62,18000.0
04/07/1993,16:00,3.72,3.72,3.62,3.62,7000.0
04/08/1993,16:00,3.62,3.62,3.62,3.62,0.0
04/12/1993,16:00,3.62,3.72,3.62,3.72,26700.0
04/13/1993,16:00,3.62,3.62,3.62,3.62,14500.0
04/14/1993,16:00,3.72,3.72,3.62,3.62,19500.0
04/15/1993,16:00,3.62,3.62,3.62,3.62,0.0
04/16/1993,16:00,3.62,3.72,3.62,3.72,85000.0
04/19/1993,16:00,3.62,3.67,3.58,3.58,53200.0
04/20/1993,16:00,3.58,3.62,3.58,3.58,16000.0
04/21/1993,16:00,3.58,3.72,3.58,3.72,20700.0
04/22/1993,16:00,3.58,3.58,3.58,3.58,15000.0
04/23/1993,16:00,3.58,3.58,3.58,3.58,1200.0
04/26/1993,16:00,3.58,3.58,3.58,3.58,3700.0
04/27/1993,16:00,3.62,3.62,3.62,3.62,12500.0
04/28/1993,16:00,3.62,3.72,3.62,3.72,125000.0
04/29/1993,16:00,3.58,3.72,3.58,3.72,107500.0
04/30/1993,16:00,3.58,3.58,3.58,3.58,8500.0
05/03/1993,16:00,3.72,3.72,3.58,3.58,2000.0
05/04/1993,16:00,3.72,3.72,3.72,3.72,53700.0
05/05/1993,16:00,3.58,3.72,3.58,3.72,99700.0
05/06/1993,16:00,3.58,3.58,3.58,3.58,7200.0
05/07/1993,16:00,3.72,3.72,3.72,3.72,50000.0
05/10/1993,16:00,3.58,3.72,3.58,3.72,10700.0
05/11/1993,16:00,3.58,3.72,3.58,3.72,11000.0
05/12/1993,16:00,3.58,3.72,3.58,3.72,25700.0
05/13/1993,16:00,3.58,3.72,3.58,3.72,51500.0
05/14/1993,16:00,3.58,3.58,3.58,3.58,6200.0
05/17/1993,16:00,3.58,3.58,3.58,3.58,4700.0
05/18/1993,16:00,3.58,3.72,3.58,3.72,9000.0
05/19/1993,16:00,3.58,3.62,3.58,3.62,7500.0
05/20/1993,16:00,3.58,3.62,3.53,3.53,25000.0
05/21/1993,16:00,3.53,3.62,3.53,3.62,23700.0
05/24/1993,16:00,3.53,3.62,3.53,3.62,76000.0
05/25/1993,16:00,3.53,3.62,3.48,3.62,27700.0
