Date,Time,Open,High,Low,Close,Vol
06/28/1996,16:00,2.01,2.04,1.89,1.96,18256237.037037037
07/01/1996,16:00,1.94,2.04,1.93,2.04,2619259.259259259
07/02/1996,16:00,2.04,2.32,1.96,2.28,3026785.185185185
07/03/1996,16:00,2.30,2.35,2.17,2.26,2083851.8518518517
07/05/1996,16:00,2.23,2.30,2.10,2.20,1713303.7037037036
07/08/1996,16:00,2.30,2.33,2.10,2.17,1343525.9259259258
07/09/1996,16:00,2.22,2.27,2.10,2.10,2478281.4814814813
07/10/1996,16:00,2.17,2.17,2.06,2.10,1649362.962962963
07/11/1996,16:00,2.12,2.12,2.01,2.01,1075437.0370370368
07/12/1996,16:00,2.09,2.09,2.01,2.06,254222.2222222222
07/15/1996,16:00,2.09,2.09,1.89,1.97,848177.7777777778
07/16/1996,16:00,2.04,2.04,1.81,1.94,1056948.148148148
07/17/1996,16:00,1.93,2.02,1.93,1.97,1964444.4444444443
07/18/1996,16:00,2.30,2.46,2.27,2.33,2691674.0740740737
07/19/1996,16:00,2.51,2.56,2.46,2.53,2341155.5555555555
07/22/1996,16:00,2.61,2.67,2.56,2.67,858962.9629629629
07/23/1996,16:00,3.08,3.11,2.72,2.75,3297185.1851851847
07/24/1996,16:00,2.79,2.79,2.66,2.77,1226429.6296296294
07/25/1996,16:00,2.75,2.98,2.75,2.98,507674.07407407404
07/26/1996,16:00,3.00,3.09,3.00,3.08,1834251.8518518517
07/29/1996,16:00,3.05,3.18,3.03,3.14,2220207.407407407
07/30/1996,16:00,3.18,3.18,2.88,2.98,1782637.0370370368
07/31/1996,16:00,2.92,2.98,2.85,2.90,459911.11111111107
08/01/1996,16:00,2.85,2.88,2.54,2.64,1613925.9259259258
08/02/1996,16:00,2.62,2.62,2.49,2.53,444503.70370370365
08/05/1996,16:00,2.56,2.59,2.51,2.59,985303.7037037036
08/06/1996,16:00,2.59,2.59,2.56,2.59,702577.7777777778
08/07/1996,16:00,2.61,2.62,2.56,2.56,835851.8518518518
08/08/1996,16:00,2.62,2.69,2.56,2.62,1048474.074074074
08/09/1996,16:00,2.66,2.66,2.56,2.56,650192.5925925926
08/12/1996,16:00,2.62,2.72,2.56,2.72,654044.4444444444
08/13/1996,16:00,2.79,3.01,2.72,2.90,1574637.0370370368
08/14/1996,16:00,2.95,3.24,2.92,3.19,2519111.111111111
08/15/1996,16:00,3.24,3.24,2.98,3.08,843555.5555555555
08/16/1996,16:00,3.08,3.08,2.98,3.01,599348.1481481481
08/19/1996,16:00,3.03,3.03,2.93,2.97,1137837.0370370368
08/20/1996,16:00,3.00,3.01,2.93,3.01,449125.9259259259
08/21/1996,16:00,3.03,3.08,2.98,3.05,285037.037037037
08/22/1996,16:00,3.08,3.08,3.01,3.05,238044.44444444444
08/23/1996,16:00,3.05,3.05,2.88,2.90,1292681.4814814813
08/26/1996,16:00,2.88,2.97,2.88,2.97,344355.5555555555
08/27/1996,16:00,2.98,2.98,2.92,2.92,35437.03703703704
08/28/1996,16:00,2.90,2.98,2.90,2.95,66251.85185185184
08/29/1996,16:00,3.01,3.21,3.01,3.14,861274.074074074
08/30/1996,16:00,3.14,3.14,2.98,3.09,347437.037037037
09/03/1996,16:00,3.08,3.24,3.01,3.18,620918.5185185184
09/04/1996,16:00,3.14,3.63,3.14,3.63,2037629.6296296294
09/05/1996,16:00,3.63,3.63,3.43,3.52,1945185.185185185
09/06/1996,16:00,3.53,3.53,3.43,3.52,77807.4074074074
09/09/1996,16:00,3.43,3.52,3.37,3.50,357451.8518518518
09/10/1996,16:00,3.53,3.56,3.47,3.56,1044622.2222222221
09/11/1996,16:00,3.60,3.63,3.55,3.63,319703.70370370365
09/12/1996,16:00,3.65,4.00,3.58,3.92,1383585.1851851852
09/13/1996,16:00,3.92,3.99,3.82,3.99,1559229.6296296294
09/16/1996,16:00,3.95,3.99,3.60,3.86,1490666.6666666665
09/17/1996,16:00,3.76,3.79,3.61,3.61,1147081.4814814813
09/18/1996,16:00,3.50,3.76,3.47,3.73,884385.1851851852
09/19/1996,16:00,3.73,3.73,3.66,3.69,115555.55555555555
09/20/1996,16:00,3.73,3.79,3.63,3.66,1912059.259259259
09/23/1996,16:00,3.66,3.66,3.53,3.53,564681.4814814815
09/24/1996,16:00,3.60,3.60,3.53,3.60,127111.1111111111
09/25/1996,16:00,3.60,3.79,3.56,3.60,1144770.3703703703
09/26/1996,16:00,3.66,3.73,3.63,3.73,139437.03703703702
09/27/1996,16:00,3.68,3.79,3.65,3.73,467614.8148148148
09/30/1996,16:00,3.73,3.95,3.63,3.82,1552296.2962962962
10/01/1996,16:00,3.86,3.90,3.79,3.87,318162.9629629629
10/02/1996,16:00,3.86,3.97,3.86,3.90,714903.7037037036
10/03/1996,16:00,3.92,3.92,3.82,3.87,259614.8148148148
10/04/1996,16:00,3.86,3.92,3.86,3.89,511525.9259259259
10/07/1996,16:00,3.86,4.08,3.86,4.02,825837.037037037
10/08/1996,16:00,4.08,4.08,3.86,3.92,1031525.9259259258
10/09/1996,16:00,3.92,3.99,3.86,3.99,476088.8888888889
10/10/1996,16:00,3.93,4.05,3.92,4.02,402903.70370370365
10/11/1996,16:00,4.02,4.07,3.97,4.05,654044.4444444444
10/14/1996,16:00,4.05,4.05,3.68,3.71,602429.6296296295
10/15/1996,16:00,3.84,3.84,3.35,3.40,1430577.7777777778
10/16/1996,16:00,3.50,3.65,3.45,3.60,461451.8518518518
10/17/1996,16:00,3.56,3.66,3.29,3.32,711822.2222222221
10/18/1996,16:00,3.37,3.48,3.18,3.27,1424414.8148148146
10/21/1996,16:00,3.27,3.60,3.24,3.45,817362.9629629629
10/22/1996,16:00,3.56,3.82,3.53,3.76,519999.99999999994
10/23/1996,16:00,3.74,3.85,3.69,3.85,248829.6296296296
10/24/1996,16:00,3.89,3.89,3.60,3.65,211851.85185185182
10/25/1996,16:00,3.60,3.78,3.60,3.76,266548.14814814815
10/28/1996,16:00,3.78,3.78,3.55,3.56,258074.07407407404
10/29/1996,16:00,3.45,3.53,3.24,3.43,1224888.8888888888
10/30/1996,16:00,3.47,3.60,3.42,3.45,487644.4444444444
10/31/1996,16:00,3.45,3.56,3.45,3.55,204918.5185185185
11/01/1996,16:00,3.43,3.47,3.22,3.22,957570.3703703703
11/04/1996,16:00,3.22,3.24,3.06,3.06,1552296.2962962962
11/05/1996,16:00,3.06,3.18,3.06,3.08,641718.5185185184
11/06/1996,16:00,3.18,3.47,3.18,3.40,719525.9259259258
11/07/1996,16:00,3.47,3.63,3.37,3.53,884385.1851851852
11/08/1996,16:00,3.58,3.58,3.37,3.50,842014.8148148147
11/11/1996,16:00,3.53,3.58,3.53,3.53,122488.88888888888
11/12/1996,16:00,3.76,3.89,3.73,3.82,932918.5185185184
11/13/1996,16:00,3.81,3.81,3.66,3.79,301985.18518518517
11/14/1996,16:00,3.78,3.78,3.73,3.75,70874.07407407407
11/15/1996,16:00,3.73,3.84,3.60,3.78,571614.8148148147
11/18/1996,16:00,3.74,3.81,3.74,3.81,44681.481481481474
11/19/1996,16:00,3.79,3.89,3.73,3.89,276562.9629629629
11/20/1996,16:00,3.89,3.89,3.71,3.74,657896.2962962963
11/21/1996,16:00,3.78,3.78,3.65,3.65,214162.96296296295
11/22/1996,16:00,3.63,3.63,3.55,3.61,148681.48148148146
11/25/1996,16:00,3.61,3.61,3.42,3.50,685629.6296296295
11/26/1996,16:00,3.40,3.52,3.39,3.48,287348.14814814815
11/27/1996,16:00,3.45,3.50,3.40,3.40,288888.8888888889
11/29/1996,16:00,3.40,3.48,3.40,3.45,148681.48148148146
12/02/1996,16:00,3.42,3.43,3.35,3.42,201837.03703703702
12/03/1996,16:00,3.42,3.42,3.34,3.34,206459.25925925924
12/04/1996,16:00,3.34,3.37,3.31,3.31,171792.59259259258
12/05/1996,16:00,3.37,3.42,3.31,3.37,580088.8888888889
12/06/1996,16:00,3.26,3.52,3.26,3.48,489185.18518518517
12/09/1996,16:00,3.48,3.48,3.35,3.40,597807.4074074074
12/10/1996,16:00,3.35,3.40,3.35,3.40,214162.96296296295
12/11/1996,16:00,3.31,3.39,3.31,3.39,48533.33333333333
12/12/1996,16:00,3.31,3.40,3.31,3.39,79348.14814814815
12/13/1996,16:00,3.37,3.37,3.31,3.31,235733.3333333333
12/16/1996,16:00,3.31,3.31,3.21,3.27,262696.2962962963
12/17/1996,16:00,3.24,3.27,3.21,3.27,161777.77777777775
12/18/1996,16:00,3.21,3.31,3.21,3.24,177185.18518518517
12/19/1996,16:00,3.26,3.26,3.22,3.22,20800.0
12/20/1996,16:00,3.21,3.26,3.18,3.18,233422.2222222222
12/23/1996,16:00,3.26,3.29,3.16,3.18,335881.48148148146
12/24/1996,16:00,3.19,3.19,3.19,3.19,1540.7407407407406
12/26/1996,16:00,3.18,3.18,3.11,3.18,75496.29629629629
12/27/1996,16:00,3.11,3.18,3.09,3.09,193362.96296296295
12/30/1996,16:00,3.18,3.18,3.05,3.13,375940.74074074073
12/31/1996,16:00,3.13,3.35,3.05,3.34,486874.07407407404
01/02/1997,16:00,3.32,3.32,3.22,3.29,116325.92592592591
01/03/1997,16:00,3.29,3.37,3.27,3.31,505362.9629629629
01/06/1997,16:00,3.37,3.37,3.32,3.37,278874.07407407404
01/07/1997,16:00,3.32,3.45,3.32,3.43,609362.9629629629
01/08/1997,16:00,3.42,3.56,3.42,3.56,191822.22222222222
01/09/1997,16:00,3.56,3.65,3.43,3.45,785007.4074074073
01/10/1997,16:00,3.43,3.52,3.42,3.47,311229.6296296296
01/13/1997,16:00,3.43,3.53,3.43,3.53,133274.07407407407
01/14/1997,16:00,3.48,3.53,3.48,3.53,152533.3333333333
01/15/1997,16:00,3.48,3.56,3.48,3.48,131733.3333333333
01/16/1997,16:00,3.47,3.53,3.47,3.53,37748.148148148146
01/17/1997,16:00,3.47,3.55,3.47,3.50,30814.814814814814
01/20/1997,16:00,3.50,3.56,3.48,3.50,124799.99999999999
01/21/1997,16:00,3.47,3.69,3.47,3.61,422933.3333333333
01/22/1997,16:00,3.55,3.58,3.48,3.53,97837.03703703702
01/23/1997,16:00,3.50,3.56,3.48,3.48,75496.29629629629
01/24/1997,16:00,3.52,3.52,3.42,3.43,40059.259259259255
01/27/1997,16:00,3.53,3.53,3.24,3.27,279644.44444444444
01/28/1997,16:00,3.34,3.34,3.13,3.14,370548.14814814815
01/29/1997,16:00,3.21,3.27,3.18,3.27,312000.0
01/30/1997,16:00,3.18,3.27,3.18,3.24,33896.29629629629
01/31/1997,16:00,3.25,3.27,3.24,3.26,73185.18518518518
02/03/1997,16:00,3.27,3.27,3.26,3.26,80888.88888888888
02/04/1997,16:00,3.27,3.56,3.27,3.53,838933.3333333333
02/05/1997,16:00,3.53,3.56,3.47,3.50,344355.5555555555
02/06/1997,16:00,3.47,3.52,3.47,3.52,13096.296296296296
02/07/1997,16:00,3.52,3.52,3.47,3.47,42370.370370370365
02/10/1997,16:00,3.47,3.50,3.37,3.40,111703.7037037037
02/11/1997,16:00,3.40,3.40,3.35,3.37,95525.92592592591
02/12/1997,16:00,3.39,3.39,3.31,3.39,9244.444444444443
02/13/1997,16:00,3.40,3.45,3.35,3.39,319703.70370370365
02/14/1997,16:00,3.39,3.39,3.31,3.37,154074.07407407407
02/18/1997,16:00,3.37,3.40,3.31,3.34,59318.51851851851
02/19/1997,16:00,3.39,3.40,3.37,3.37,63170.370370370365
02/20/1997,16:00,3.39,3.47,3.37,3.40,560059.2592592592
02/21/1997,16:00,3.39,3.47,3.39,3.45,34666.666666666664
02/24/1997,16:00,3.45,3.45,3.39,3.43,191822.22222222222
02/25/1997,16:00,3.39,3.42,3.35,3.39,403674.07407407404
02/26/1997,16:00,3.32,3.40,3.29,3.29,395199.99999999994
02/27/1997,16:00,3.34,3.34,3.27,3.34,46992.59259259259
02/28/1997,16:00,3.34,3.34,3.31,3.34,154844.44444444444
03/03/1997,16:00,3.31,3.37,3.27,3.27,512296.29629629623
03/04/1997,16:00,3.53,3.60,3.42,3.48,3545244.444444444
03/05/1997,16:00,4.02,4.05,3.69,3.97,5989629.629629629
03/06/1997,16:00,4.10,4.31,4.03,4.23,7055051.851851852
03/07/1997,16:00,4.31,4.57,4.28,4.55,4914962.962962963
03/10/1997,16:00,4.78,4.83,4.57,4.81,3839525.925925926
03/11/1997,16:00,4.83,4.83,4.39,4.60,3645392.5925925924
03/12/1997,16:00,4.47,4.54,4.01,4.28,3324918.518518518
03/13/1997,16:00,4.26,4.31,4.08,4.17,1303466.6666666665
03/14/1997,16:00,4.21,4.31,4.18,4.31,1810370.3703703703
03/17/1997,16:00,4.34,4.34,4.07,4.13,2258725.925925926
03/18/1997,16:00,4.13,4.29,4.08,4.16,1744118.5185185184
03/19/1997,16:00,4.15,4.25,4.13,4.19,2020681.4814814813
03/20/1997,16:00,4.18,4.18,4.03,4.05,1670933.3333333333
03/21/1997,16:00,4.15,4.15,3.92,3.92,1076977.7777777778
03/24/1997,16:00,3.95,4.05,3.95,4.03,906725.9259259258
03/25/1997,16:00,4.12,4.12,4.02,4.08,1253392.5925925926
03/26/1997,16:00,4.08,4.23,4.05,4.23,2346548.148148148
03/27/1997,16:00,4.39,4.46,4.28,4.34,3785599.9999999995
03/31/1997,16:00,4.34,4.34,4.26,4.31,533866.6666666666
04/01/1997,16:00,4.29,4.31,4.12,4.15,962962.9629629629
04/02/1997,16:00,4.15,4.25,4.13,4.23,2145481.4814814813
04/03/1997,16:00,4.15,4.25,4.05,4.07,1132444.4444444443
04/04/1997,16:00,4.10,4.18,4.03,4.16,1110874.074074074
04/07/1997,16:00,4.18,4.47,4.12,4.44,1198696.2962962962
04/08/1997,16:00,4.34,4.42,4.21,4.33,1429807.4074074072
04/09/1997,16:00,4.41,4.51,4.36,4.39,1406696.2962962962
04/10/1997,16:00,4.47,4.47,4.34,4.38,283496.2962962963
04/11/1997,16:00,4.39,4.39,4.29,4.31,96296.29629629629
04/14/1997,16:00,4.31,4.42,4.31,4.42,465303.70370370365
04/15/1997,16:00,4.44,4.44,4.31,4.38,230340.74074074073
04/16/1997,16:00,4.44,4.44,4.31,4.31,23881.481481481478
04/17/1997,16:00,4.34,4.44,4.34,4.38,382103.70370370365
04/18/1997,16:00,4.44,4.44,4.34,4.44,127111.1111111111
04/21/1997,16:00,4.44,4.44,4.31,4.36,407525.9259259259
04/22/1997,16:00,4.38,4.60,4.33,4.54,835081.4814814815
04/23/1997,16:00,4.57,4.70,4.52,4.60,889777.7777777778
04/24/1997,16:00,4.70,4.70,4.54,4.54,486103.70370370365
04/25/1997,16:00,4.52,4.60,4.52,4.57,132503.70370370368
04/28/1997,16:00,4.60,4.60,4.44,4.44,468385.18518518517
04/29/1997,16:00,4.54,4.62,4.36,4.57,5589037.037037036
04/30/1997,16:00,4.60,4.60,4.49,4.51,684088.8888888889
05/01/1997,16:00,4.57,4.59,4.54,4.57,91674.07407407407
05/02/1997,16:00,4.54,4.55,4.46,4.47,714903.7037037036
05/05/1997,16:00,4.57,4.99,4.47,4.83,2486755.5555555555
05/06/1997,16:00,4.80,4.86,4.57,4.65,1167881.4814814813
05/07/1997,16:00,4.64,4.68,4.55,4.64,202607.4074074074
05/08/1997,16:00,4.60,4.72,4.55,4.60,600118.5185185184
05/09/1997,16:00,4.68,4.68,4.59,4.67,470696.29629629623
05/12/1997,16:00,4.64,4.80,4.64,4.70,2392770.3703703703
05/13/1997,16:00,4.70,4.80,4.70,4.80,989925.9259259258
05/14/1997,16:00,4.78,4.80,4.70,4.70,418311.11111111107
05/15/1997,16:00,4.77,4.80,4.60,4.64,1281125.9259259258
05/16/1997,16:00,4.68,4.70,4.60,4.64,241896.29629629626
05/19/1997,16:00,4.65,4.85,4.65,4.83,337422.2222222222
05/20/1997,16:00,4.80,4.96,4.77,4.81,2064592.5925925924
05/21/1997,16:00,4.83,4.93,4.77,4.93,1472948.148148148
05/22/1997,16:00,4.96,5.06,4.90,4.99,1849659.259259259
05/23/1997,16:00,5.03,5.11,4.96,5.01,1762607.4074074072
05/27/1997,16:00,5.09,5.14,5.04,5.06,2291851.8518518517
05/28/1997,16:00,5.11,5.14,5.04,5.06,941392.5925925925
05/29/1997,16:00,5.11,5.11,4.90,4.93,555437.037037037
05/30/1997,16:00,4.81,5.06,4.81,5.06,1526874.074074074
06/02/1997,16:00,5.06,5.25,5.03,5.24,1322725.9259259258
06/03/1997,16:00,5.32,5.41,5.25,5.32,2572266.6666666665
06/04/1997,16:00,5.32,5.45,5.28,5.35,1203318.5185185184
06/05/1997,16:00,5.45,5.50,5.43,5.48,1171733.3333333333
06/06/1997,16:00,5.59,5.64,5.54,5.56,1030755.5555555555
06/09/1997,16:00,5.67,5.72,5.45,5.48,2086933.3333333333
06/10/1997,16:00,5.50,5.59,5.41,5.46,1050785.1851851852
06/11/1997,16:00,5.46,5.51,5.45,5.45,199525.9259259259
06/12/1997,16:00,5.48,5.51,5.48,5.50,448355.5555555555
06/13/1997,16:00,5.51,5.58,5.50,5.51,610133.3333333333
06/16/1997,16:00,5.58,5.59,5.50,5.53,399051.8518518518
06/17/1997,16:00,5.54,5.54,5.37,5.40,603200.0
06/18/1997,16:00,5.33,5.43,5.33,5.40,684859.2592592592
06/19/1997,16:00,5.53,5.67,5.51,5.66,801185.1851851852
06/20/1997,16:00,5.69,5.97,5.69,5.93,828148.1481481481
06/23/1997,16:00,6.08,6.45,6.08,6.21,2102340.7407407407
06/24/1997,16:00,6.32,6.36,6.19,6.29,803496.2962962962
06/25/1997,16:00,6.52,6.57,6.45,6.50,1264177.7777777778
06/26/1997,16:00,6.39,6.47,6.02,6.13,3017540.7407407407
06/27/1997,16:00,6.10,6.32,6.03,6.23,1016118.5185185184
06/30/1997,16:00,6.24,6.29,6.21,6.25,140977.77777777775
07/01/1997,16:00,6.29,6.34,6.21,6.34,163318.5185185185
07/02/1997,16:00,6.32,6.42,6.32,6.37,659437.037037037
07/03/1997,16:00,6.36,6.49,6.36,6.45,546962.9629629629
07/07/1997,16:00,6.49,7.09,6.49,7.09,1791111.111111111
07/08/1997,16:00,7.09,7.30,7.09,7.12,1046933.3333333333
07/09/1997,16:00,7.43,7.82,7.33,7.46,3487466.6666666665
07/10/1997,16:00,7.59,7.70,7.52,7.57,906725.9259259258
