Date,Time,Open,High,Low,Close,Vol
09/28/2012,16:00,12.0,14.85,12.0,14.16,9749500.0
10/01/2012,16:00,14.49,15.25,13.8,13.95,618700.0
10/02/2012,16:00,13.95,14.34,13.53,13.69,306800.0
10/03/2012,16:00,13.64,13.94,13.4,13.51,158900.0
10/04/2012,16:00,13.64,14.22,13.33,13.6,281800.0
10/05/2012,16:00,13.6,13.87,13.4,13.6,141800.0
10/08/2012,16:00,13.6,13.9,13.51,13.67,50100.0
10/09/2012,16:00,13.85,13.85,13.51,13.55,90400.0
10/10/2012,16:00,13.49,13.75,13.49,13.51,72000.0
10/11/2012,16:00,13.48,13.7,13.46,13.56,90300.0
10/12/2012,16:00,13.6,13.73,13.6,13.64,57000.0
10/15/2012,16:00,13.81,14.09,13.7,13.96,93500.0
10/16/2012,16:00,14.29,14.29,13.89,14.01,58700.0
10/17/2012,16:00,14.29,14.29,13.95,14.1,81700.0
10/18/2012,16:00,14.2,14.87,13.96,14.69,100400.0
10/19/2012,16:00,14.61,14.99,14.02,14.22,245400.0
10/22/2012,16:00,14.74,14.95,14.05,14.89,129900.0
10/23/2012,16:00,14.7,14.86,14.5,14.71,128500.0
10/24/2012,16:00,14.89,14.97,14.07,14.4,34000.0
10/25/2012,16:00,14.23,14.43,14.15,14.29,49900.0
10/26/2012,16:00,14.53,14.53,14.16,14.2,52200.0
10/31/2012,16:00,14.33,14.5,12.54,12.98,94700.0
11/01/2012,16:00,13.52,13.63,13.2,13.6,64300.0
11/02/2012,16:00,13.51,13.56,12.88,12.98,116900.0
11/05/2012,16:00,13.23,13.42,12.08,12.42,89100.0
11/06/2012,16:00,13.43,13.43,12.61,13.25,74700.0
11/07/2012,16:00,13.25,13.55,13.05,13.08,66700.0
11/08/2012,16:00,13.08,13.08,11.07,11.55,120700.0
11/09/2012,16:00,11.59,12.21,11.26,11.85,458600.0
11/12/2012,16:00,12.0,12.24,11.5,11.75,198100.0
11/13/2012,16:00,11.36,12.07,11.19,11.94,55800.0
11/14/2012,16:00,11.79,12.17,11.7,12.04,33700.0
11/15/2012,16:00,12.03,12.03,11.67,11.91,103900.0
11/16/2012,16:00,12.0,12.41,11.91,12.3,88300.0
11/19/2012,16:00,12.37,12.37,11.95,12.15,125700.0
11/20/2012,16:00,12.14,12.3,11.95,12.16,79200.0
11/21/2012,16:00,12.22,12.34,12.15,12.16,35200.0
11/23/2012,16:00,12.1,12.32,12.0,12.29,20700.0
11/26/2012,16:00,12.23,12.67,12.01,12.41,87100.0
11/27/2012,16:00,12.52,12.69,12.05,12.21,50400.0
11/28/2012,16:00,12.21,12.49,11.91,12.28,65800.0
11/29/2012,16:00,12.5,13.6,12.14,13.18,74000.0
11/30/2012,16:00,13.48,13.5,12.52,13.38,36800.0
12/03/2012,16:00,13.44,13.75,13.38,13.38,80800.0
12/04/2012,16:00,13.37,13.37,12.74,12.88,25600.0
12/05/2012,16:00,12.75,13.5,12.74,12.91,24700.0
12/06/2012,16:00,12.91,13.11,12.1,12.2,46100.0
12/07/2012,16:00,12.02,12.36,12.0,12.1,51800.0
12/10/2012,16:00,12.0,12.02,11.22,11.34,76400.0
12/11/2012,16:00,11.45,11.99,11.16,11.69,113900.0
12/12/2012,16:00,11.79,12.42,11.7,12.39,44500.0
12/13/2012,16:00,12.44,12.87,12.43,12.67,35700.0
12/14/2012,16:00,13.31,13.31,12.51,12.86,62200.0
12/17/2012,16:00,13.24,13.4,12.55,13.21,35700.0
12/18/2012,16:00,13.22,13.56,12.51,13.41,128400.0
12/19/2012,16:00,13.41,14.0,12.5,13.76,136300.0
12/20/2012,16:00,13.78,14.2,12.74,13.58,172800.0
12/21/2012,16:00,13.0,13.95,12.72,13.85,1111400.0
12/24/2012,16:00,13.76,14.0,12.98,13.7,44100.0
12/26/2012,16:00,13.7,13.90,13.03,13.17,37900.0
12/27/2012,16:00,13.22,13.97,13.14,13.67,53700.0
12/28/2012,16:00,13.64,14.54,13.64,14.37,61200.0
12/31/2012,16:00,14.19,14.88,13.79,14.79,131500.0
01/02/2013,16:00,15.1,15.82,14.74,15.61,117400.0
01/03/2013,16:00,15.58,15.83,14.68,15.5,62900.0
01/04/2013,16:00,15.6,16.18,15.41,16.05,96700.0
01/07/2013,16:00,15.87,16.38,15.8,16.24,32100.0
01/08/2013,16:00,16.25,16.34,14.97,15.79,124900.0
01/09/2013,16:00,15.79,16.33,15.68,15.97,42500.0
01/10/2013,16:00,16.1,16.27,15.46,16.17,64200.0
01/11/2013,16:00,16.15,16.28,14.18,15.7,61500.0
01/14/2013,16:00,15.73,15.73,15.05,15.58,72100.0
01/15/2013,16:00,15.45,15.68,15.25,15.29,37800.0
01/16/2013,16:00,15.21,15.29,14.43,14.84,115300.0
01/17/2013,16:00,14.91,15.33,14.5,15.33,17500.0
01/18/2013,16:00,15.24,15.7,15.04,15.65,36200.0
01/22/2013,16:00,15.57,15.63,15.16,15.54,15000.0
01/23/2013,16:00,15.57,15.82,14.89,15.11,57900.0
01/24/2013,16:00,15.09,15.09,14.59,14.78,16100.0
01/25/2013,16:00,14.88,15.01,14.25,14.64,38200.0
01/28/2013,16:00,14.71,14.71,14.0,14.05,60400.0
01/29/2013,16:00,14.0,14.05,13.42,13.48,64600.0
01/30/2013,16:00,13.31,13.89,13.09,13.79,28700.0
01/31/2013,16:00,13.8,13.8,13.08,13.1,62100.0
02/01/2013,16:00,13.19,13.97,13.1,13.2,68500.0
02/04/2013,16:00,13.2,13.56,12.62,12.64,56800.0
02/05/2013,16:00,12.76,12.84,12.02,12.12,80100.0
02/06/2013,16:00,12.14,13.12,12.11,12.81,45300.0
02/07/2013,16:00,12.84,12.84,12.37,12.68,21500.0
02/08/2013,16:00,12.65,12.76,12.4,12.65,76600.0
02/11/2013,16:00,12.8,12.89,12.42,12.72,36100.0
02/12/2013,16:00,12.47,12.47,10.17,12.13,633600.0
02/13/2013,16:00,12.11,12.44,12.01,12.12,72100.0
02/14/2013,16:00,12.13,12.74,12.13,12.68,58800.0
02/15/2013,16:00,12.75,13.16,12.7,13.09,25000.0
02/19/2013,16:00,13.18,13.44,12.88,13.2,58000.0
02/20/2013,16:00,13.2,13.25,12.26,12.35,51800.0
02/21/2013,16:00,12.3,12.66,11.89,12.31,147400.0
02/22/2013,16:00,12.4,12.91,12.13,12.33,108800.0
02/25/2013,16:00,12.43,12.55,11.59,11.59,47800.0
02/26/2013,16:00,11.61,12.42,11.56,11.83,40000.0
02/27/2013,16:00,11.9,12.31,11.77,12.19,273400.0
02/28/2013,16:00,12.11,12.5,11.44,11.86,164700.0
03/01/2013,16:00,11.9,12.33,11.89,12.25,77800.0
03/04/2013,16:00,12.26,12.46,12.14,12.4,87400.0
03/05/2013,16:00,12.48,12.91,11.81,12.21,80700.0
03/06/2013,16:00,12.19,12.61,11.8,12.16,81000.0
03/07/2013,16:00,12.16,12.93,12.16,12.9,42500.0
03/08/2013,16:00,13.05,13.05,12.4,12.55,90200.0
03/11/2013,16:00,12.47,12.74,12.47,12.55,26600.0
03/12/2013,16:00,12.5,12.75,12.5,12.54,33300.0
03/13/2013,16:00,12.59,12.65,12.0,12.23,119300.0
03/14/2013,16:00,12.28,12.28,11.92,12.1,47600.0
03/15/2013,16:00,12.13,12.57,11.60,11.71,87200.0
03/18/2013,16:00,11.54,11.73,11.27,11.45,56800.0
03/19/2013,16:00,11.51,11.66,11.07,11.11,124700.0
03/20/2013,16:00,11.21,11.64,11.08,11.63,107500.0
03/21/2013,16:00,11.51,12.64,11.51,12.39,102700.0
03/22/2013,16:00,12.38,12.58,12.07,12.48,128400.0
03/25/2013,16:00,12.48,12.66,12.33,12.53,71600.0
03/26/2013,16:00,12.56,12.56,12.02,12.18,22600.0
03/27/2013,16:00,11.07,12.27,11.07,12.13,106000.0
03/28/2013,16:00,12.0,12.42,12.0,12.34,135700.0
04/01/2013,16:00,12.24,12.49,12.01,12.16,204500.0
04/02/2013,16:00,12.1,12.2,11.75,11.98,320500.0
04/03/2013,16:00,11.98,12.16,11.77,12.0,25400.0
04/04/2013,16:00,11.98,12.16,11.88,12.1,36700.0
04/05/2013,16:00,11.88,11.9,11.73,11.77,28400.0
04/08/2013,16:00,11.82,12.17,11.52,11.68,73900.0
04/09/2013,16:00,11.65,11.81,11.31,11.4,142700.0
04/10/2013,16:00,11.62,11.85,11.3,11.83,65100.0
04/11/2013,16:00,11.78,11.98,11.67,11.97,19400.0
04/12/2013,16:00,11.82,11.97,11.73,11.9,20200.0
04/15/2013,16:00,11.33,11.69,11.28,11.44,50300.0
04/16/2013,16:00,11.51,11.63,11.4,11.49,32800.0
04/17/2013,16:00,11.66,11.67,10.76,10.94,55000.0
04/18/2013,16:00,11.13,11.71,11.13,11.34,30000.0
04/19/2013,16:00,11.4,11.94,11.4,11.86,48000.0
04/22/2013,16:00,11.98,11.98,11.22,11.4,69800.0
04/23/2013,16:00,11.5,11.61,11.27,11.4,42700.0
04/24/2013,16:00,11.4,11.48,10.99,11.19,70700.0
04/25/2013,16:00,11.26,11.26,10.15,11.02,235100.0
04/26/2013,16:00,10.94,11.09,10.76,10.88,61900.0
04/29/2013,16:00,10.84,11.0,10.84,11.0,43900.0
04/30/2013,16:00,10.83,11.0,10.83,11.0,51700.0
05/01/2013,16:00,10.91,10.94,10.77,10.77,31600.0
05/02/2013,16:00,10.81,10.9,10.72,10.77,247800.0
05/03/2013,16:00,10.9,10.9,10.65,10.78,107000.0
05/06/2013,16:00,10.8,10.82,10.71,10.79,84200.0
05/07/2013,16:00,11.0,11.57,10.8,10.93,262300.0
05/08/2013,16:00,10.54,10.99,10.22,10.75,272000.0
05/09/2013,16:00,10.76,11.41,10.76,11.37,142400.0
05/10/2013,16:00,11.28,11.42,10.95,11.26,64700.0
05/13/2013,16:00,11.09,12.99,11.09,12.94,308700.0
05/14/2013,16:00,12.87,12.89,12.39,12.81,121800.0
05/15/2013,16:00,12.54,13.28,12.54,13.25,217400.0
05/16/2013,16:00,13.25,14.03,13.24,13.85,218900.0
05/17/2013,16:00,13.82,14.12,13.54,13.66,196800.0
05/20/2013,16:00,13.5,13.59,13.26,13.43,80000.0
05/21/2013,16:00,13.41,13.67,13.21,13.61,130700.0
05/22/2013,16:00,13.46,14.39,13.46,14.08,215100.0
05/23/2013,16:00,13.76,14.74,13.7,14.48,149500.0
05/24/2013,16:00,14.29,14.68,14.08,14.21,68600.0
05/28/2013,16:00,14.25,14.25,13.72,14.18,144500.0
05/29/2013,16:00,14.0,14.08,13.58,13.93,240500.0
05/30/2013,16:00,13.94,14.31,13.86,14.21,150700.0
05/31/2013,16:00,13.63,14.34,13.43,14.0,241800.0
06/03/2013,16:00,14.11,14.41,13.56,13.86,93200.0
06/04/2013,16:00,13.9,13.9,13.44,13.5,55400.0
06/05/2013,16:00,13.41,13.85,13.41,13.55,26800.0
06/06/2013,16:00,13.51,13.99,13.51,13.98,51700.0
06/07/2013,16:00,14.08,14.6,13.94,14.53,76300.0
06/10/2013,16:00,14.54,15.15,14.35,15.06,157300.0
06/11/2013,16:00,14.81,15.06,14.72,14.86,87400.0
06/12/2013,16:00,14.91,14.96,14.64,14.7,79100.0
06/13/2013,16:00,14.83,14.84,14.48,14.56,75100.0
06/14/2013,16:00,14.58,14.72,14.4,14.41,85000.0
06/17/2013,16:00,14.58,14.96,14.31,14.9,86500.0
06/18/2013,16:00,14.64,14.98,14.6,14.85,110500.0
06/19/2013,16:00,14.89,15.04,14.53,14.97,74700.0
06/20/2013,16:00,15.13,15.16,14.7,15.1,122600.0
06/21/2013,16:00,15.09,15.39,14.99,15.17,240000.0
06/24/2013,16:00,14.88,15.7,14.75,15.67,115200.0
06/25/2013,16:00,15.73,16.21,15.6,16.16,243100.0
06/26/2013,16:00,16.25,16.25,15.08,15.4,124500.0
06/27/2013,16:00,15.45,15.83,15.45,15.77,72700.0
