Date,Time,Open,High,Low,Close,Vol
06/05/2013,16:00,18.04,18.07,17.51,17.69,637700.0
06/06/2013,16:00,17.68,17.84,17.49,17.72,124500.0
06/07/2013,16:00,17.72,17.72,17.48,17.71,71700.0
06/10/2013,16:00,17.71,17.71,16.68,17.22,162200.0
06/11/2013,16:00,17.26,17.36,16.72,17.28,85700.0
06/12/2013,16:00,17.16,17.17,16.76,17.04,67800.0
06/13/2013,16:00,16.97,16.97,16.56,16.72,79500.0
06/14/2013,16:00,16.72,17.02,16.53,16.86,54900.0
06/17/2013,16:00,16.86,16.89,16.71,16.89,31400.0
06/18/2013,16:00,16.89,16.90,16.67,16.80,60300.0
06/19/2013,16:00,16.67,16.73,16.58,16.72,33200.0
06/20/2013,16:00,16.71,16.71,15.77,15.86,62900.0
06/21/2013,16:00,15.89,16.26,15.85,16.21,60000.0
06/24/2013,16:00,16.30,16.30,15.86,15.86,24900.0
06/25/2013,16:00,15.98,16.29,15.30,15.35,50600.0
06/26/2013,16:00,15.55,15.94,15.41,15.57,29900.0
06/27/2013,16:00,15.58,15.75,15.55,15.73,23400.0
06/28/2013,16:00,15.77,15.85,15.66,15.81,9100.0
07/01/2013,16:00,15.81,15.81,15.61,15.67,20500.0
07/02/2013,16:00,15.68,16.11,15.68,15.87,42900.0
07/03/2013,16:00,15.84,15.87,15.47,15.56,4700.0
07/05/2013,16:00,15.59,15.63,15.59,15.60,4900.0
07/08/2013,16:00,15.60,15.63,15.35,15.40,47900.0
07/09/2013,16:00,15.42,15.44,15.11,15.26,25200.0
07/10/2013,16:00,15.30,15.30,14.91,14.94,38400.0
07/11/2013,16:00,14.93,14.96,14.58,14.84,38900.0
07/12/2013,16:00,15.02,15.22,14.64,14.93,37800.0
07/15/2013,16:00,14.79,14.90,14.22,14.45,61400.0
07/16/2013,16:00,14.45,14.72,14.44,14.63,48600.0
07/17/2013,16:00,14.90,14.90,14.46,14.46,51900.0
07/18/2013,16:00,14.46,14.56,13.87,14.46,96000.0
07/19/2013,16:00,14.51,14.53,14.38,14.38,12700.0
07/22/2013,16:00,14.38,14.61,14.28,14.61,49600.0
07/23/2013,16:00,14.57,15.34,14.55,15.28,62100.0
07/24/2013,16:00,15.35,15.49,15.16,15.31,28200.0
07/25/2013,16:00,15.62,16.50,15.58,15.96,98100.0
07/26/2013,16:00,15.79,15.85,14.98,15.57,15800.0
07/29/2013,16:00,15.49,15.49,15.12,15.12,1600.0
07/30/2013,16:00,15.30,15.32,15.16,15.20,1400.0
07/31/2013,16:00,15.20,15.35,15.07,15.35,10200.0
08/01/2013,16:00,15.39,15.40,15.16,15.32,7800.0
08/02/2013,16:00,15.26,15.30,14.98,15.12,8100.0
08/05/2013,16:00,15.16,15.16,14.57,14.74,30100.0
08/06/2013,16:00,14.74,14.86,14.43,14.56,15100.0
08/07/2013,16:00,14.51,15.02,14.32,14.88,13300.0
08/08/2013,16:00,15.01,15.21,14.93,15.17,11000.0
08/09/2013,16:00,15.26,15.26,14.85,15.12,14800.0
08/12/2013,16:00,15.26,15.75,15.16,15.40,17700.0
08/13/2013,16:00,15.40,15.74,15.26,15.55,20100.0
08/14/2013,16:00,15.64,15.72,15.29,15.55,20600.0
08/15/2013,16:00,15.58,15.58,15.22,15.25,11700.0
08/16/2013,16:00,15.37,15.58,15.02,15.02,9400.0
08/19/2013,16:00,14.93,15.26,14.74,14.74,9200.0
08/20/2013,16:00,15.46,15.47,14.47,14.51,32100.0
08/21/2013,16:00,14.46,14.55,14.07,14.42,8700.0
08/22/2013,16:00,14.41,14.43,14.01,14.28,20400.0
08/23/2013,16:00,14.23,14.37,14.04,14.16,8400.0
08/26/2013,16:00,14.85,14.85,14.14,14.19,33900.0
08/27/2013,16:00,14.14,14.46,14.00,14.42,12000.0
08/28/2013,16:00,14.37,14.46,14.00,14.00,8700.0
08/29/2013,16:00,14.03,14.46,14.03,14.38,11900.0
08/30/2013,16:00,14.42,14.84,14.14,14.82,16400.0
09/03/2013,16:00,14.95,15.02,14.65,14.70,12200.0
09/04/2013,16:00,14.74,14.84,14.57,14.69,15500.0
09/05/2013,16:00,14.65,14.65,14.47,14.47,7000.0
09/06/2013,16:00,14.46,14.46,14.09,14.18,18400.0
09/09/2013,16:00,14.23,14.68,14.23,14.46,15500.0
09/10/2013,16:00,14.43,14.43,14.09,14.29,16200.0
09/11/2013,16:00,14.24,14.34,14.12,14.18,10600.0
09/12/2013,16:00,14.22,14.22,14.01,14.15,17800.0
09/13/2013,16:00,14.09,14.41,14.06,14.40,26200.0
09/16/2013,16:00,14.51,14.64,14.49,14.57,23100.0
09/17/2013,16:00,14.54,14.64,14.46,14.59,12900.0
09/18/2013,16:00,14.64,14.98,14.47,14.97,18000.0
09/19/2013,16:00,14.94,14.94,14.71,14.87,20300.0
09/20/2013,16:00,14.81,14.95,14.28,14.28,31900.0
09/23/2013,16:00,14.28,14.99,14.19,14.85,41900.0
09/24/2013,16:00,14.76,15.00,14.66,14.77,19700.0
09/25/2013,16:00,14.70,15.18,14.63,15.04,22700.0
09/26/2013,16:00,15.17,16.55,15.04,16.42,40100.0
09/27/2013,16:00,16.50,17.14,16.47,17.03,23400.0
09/30/2013,16:00,17.13,17.15,15.68,15.93,109400.0
10/01/2013,16:00,16.02,16.86,16.02,16.49,25600.0
10/02/2013,16:00,16.43,16.80,16.33,16.76,16600.0
10/03/2013,16:00,16.72,16.81,16.02,16.69,32500.0
10/04/2013,16:00,16.50,16.89,16.50,16.79,21000.0
10/07/2013,16:00,16.67,16.91,16.66,16.77,8200.0
10/08/2013,16:00,16.72,16.72,15.73,16.10,23200.0
10/09/2013,16:00,16.24,16.24,15.98,16.05,10800.0
10/10/2013,16:00,16.19,16.58,16.08,16.53,6900.0
10/11/2013,16:00,16.58,16.69,16.29,16.67,11200.0
10/14/2013,16:00,16.60,16.62,16.19,16.62,17600.0
10/15/2013,16:00,16.63,16.86,16.38,16.81,91400.0
10/16/2013,16:00,16.86,16.93,16.64,16.93,20000.0
10/17/2013,16:00,16.81,16.96,16.67,16.86,12500.0
10/18/2013,16:00,16.96,17.14,16.73,17.14,28900.0
10/21/2013,16:00,17.20,17.20,16.97,17.15,37100.0
10/22/2013,16:00,17.16,17.16,15.94,16.14,48300.0
10/23/2013,16:00,16.11,17.51,16.00,17.35,33400.0
10/24/2013,16:00,17.51,17.51,16.17,16.49,34400.0
10/25/2013,16:00,16.57,16.57,15.91,16.19,20000.0
10/28/2013,16:00,16.24,16.77,16.22,16.52,16500.0
10/29/2013,16:00,16.62,16.96,16.58,16.93,20500.0
10/30/2013,16:00,16.87,16.91,16.65,16.74,12400.0
10/31/2013,16:00,16.79,16.80,16.34,16.77,20600.0
11/01/2013,16:00,16.68,16.95,16.34,16.89,12600.0
11/04/2013,16:00,16.76,17.09,16.51,16.77,13700.0
11/05/2013,16:00,16.63,16.96,16.58,16.93,12600.0
11/06/2013,16:00,16.81,17.09,16.67,17.03,7700.0
11/07/2013,16:00,17.05,17.26,17.04,17.26,38400.0
11/08/2013,16:00,17.30,17.52,17.15,17.38,10100.0
11/11/2013,16:00,17.34,17.34,17.05,17.29,8800.0
11/12/2013,16:00,17.22,17.37,17.05,17.18,11400.0
11/13/2013,16:00,17.06,17.15,16.80,16.98,10400.0
