Date,Time,Open,High,Low,Close,Vol
04/10/2007,16:00,5.39,5.94,5.04,5.04,200.0
04/11/2007,16:00,5.04,5.04,5.04,5.04,0.0
04/12/2007,16:00,5.04,5.04,5.04,5.04,0.0
04/13/2007,16:00,7.38,7.38,6.84,6.84,500.0
04/16/2007,16:00,8.1,9.36,8.1,9.36,3000.0
04/17/2007,16:00,10.08,10.44,10.08,10.44,400.0
04/18/2007,16:00,11.34,11.34,11.34,11.34,400.0
04/19/2007,16:00,11.34,11.34,11.34,11.34,0.0
04/20/2007,16:00,11.34,11.34,11.34,11.34,0.0
04/23/2007,16:00,11.34,11.34,11.34,11.34,0.0
04/24/2007,16:00,11.34,14.04,10.98,14.04,1200.0
04/25/2007,16:00,14.04,14.04,14.04,14.04,0.0
04/26/2007,16:00,13.68,17.09,13.5,17.09,1600.0
04/27/2007,16:00,15.29,15.29,15.29,15.29,100.0
04/30/2007,16:00,15.29,15.29,15.29,15.29,0.0
05/01/2007,16:00,15.29,15.29,15.29,15.29,0.0
05/02/2007,16:00,15.29,15.29,15.29,15.29,0.0
05/03/2007,16:00,16.2,17.46,16.2,17.28,400.0
05/04/2007,16:00,17.09,17.46,17.09,17.46,300.0
05/07/2007,16:00,17.46,17.46,16.2,16.2,200.0
05/08/2007,16:00,15.29,15.84,15.29,15.84,500.0
05/09/2007,16:00,15.84,15.84,15.84,15.84,0.0
05/10/2007,16:00,15.84,15.84,15.84,15.84,0.0
05/11/2007,16:00,15.84,15.84,15.84,15.84,0.0
05/14/2007,16:00,15.84,15.84,15.84,15.84,0.0
05/15/2007,16:00,15.84,15.84,15.84,15.84,0.0
05/16/2007,16:00,15.66,16.2,15.66,16.2,300.0
05/17/2007,16:00,16.2,16.2,16.2,16.2,0.0
05/18/2007,16:00,16.2,16.2,16.2,16.2,0.0
05/21/2007,16:00,16.2,16.2,16.2,16.2,0.0
05/22/2007,16:00,16.2,16.2,16.2,16.2,0.0
05/23/2007,16:00,16.2,16.2,16.2,16.2,0.0
05/24/2007,16:00,16.2,16.2,16.2,16.2,0.0
05/25/2007,16:00,16.2,16.2,16.2,16.2,0.0
05/29/2007,16:00,16.2,16.2,16.2,16.2,0.0
05/30/2007,16:00,16.2,16.2,16.2,16.2,0.0
05/31/2007,16:00,14.94,15.29,14.94,15.29,800.0
06/01/2007,16:00,15.29,15.29,14.94,14.94,500.0
06/04/2007,16:00,14.94,14.94,14.94,14.94,0.0
06/05/2007,16:00,15.29,15.29,15.29,15.29,100.0
06/06/2007,16:00,15.29,15.29,15.29,15.29,0.0
06/07/2007,16:00,16.2,16.2,16.2,16.2,100.0
06/08/2007,16:00,16.2,16.2,16.2,16.2,300.0
06/11/2007,16:00,16.38,16.38,16.2,16.2,500.0
06/12/2007,16:00,16.2,16.2,16.2,16.2,0.0
06/13/2007,16:00,17.28,17.28,17.28,17.28,100.0
06/14/2007,16:00,17.28,17.28,17.28,17.28,100.0
06/15/2007,16:00,18.18,18.18,18.18,18.18,100.0
06/18/2007,16:00,18.54,18.90,18.54,18.54,100.0
06/19/2007,16:00,18.18,18.90,18.18,18.18,500.0
06/20/2007,16:00,19.26,19.26,19.08,19.08,700.0
06/21/2007,16:00,18.90,18.90,18.90,18.90,0.0
06/22/2007,16:00,18.90,19.44,18.90,19.44,100.0
06/25/2007,16:00,18.18,18.54,16.91,18.54,300.0
06/26/2007,16:00,18.54,18.54,18.54,18.54,0.0
06/27/2007,16:00,16.56,18.54,16.2,18.54,800.0
06/28/2007,16:00,18.54,18.54,18.18,18.18,300.0
06/29/2007,16:00,18.18,18.18,18.18,18.18,0.0
07/02/2007,16:00,18.18,18.18,18.18,18.18,0.0
07/03/2007,16:00,15.29,15.66,15.29,15.66,200.0
