Date,Time,Open,High,Low,Close,Vol
11/29/2000,16:00,65.25,70.83,63.0,63.99,221200.0
11/30/2000,16:00,63.0,64.71,62.55,63.54,37700.0
12/01/2000,16:00,63.54,72.54,63.0,66.33,44100.0
12/04/2000,16:00,72.0,72.54,67.5,67.5,26400.0
12/05/2000,16:00,67.77,69.75,63.27,69.21,21700.0
12/06/2000,16:00,70.28,70.83,67.5,67.5,15600.0
12/07/2000,16:00,67.67,68.58,64.71,65.52,10300.0
12/08/2000,16:00,65.25,66.96,64.08,66.33,6800.0
12/11/2000,16:00,67.5,78.75,64.08,75.33,38200.0
12/12/2000,16:00,81.27,82.08,74.79,79.29,20300.0
12/13/2000,16:00,83.25,83.25,68.58,70.83,21100.0
12/14/2000,16:00,71.46,74.25,67.5,70.83,12000.0
12/15/2000,16:00,67.77,72.0,63.27,68.03,10800.0
12/18/2000,16:00,71.73,71.73,63.0,66.33,7900.0
12/19/2000,16:00,63.27,69.75,63.0,66.33,10000.0
12/20/2000,16:00,65.25,65.25,63.0,63.0,18300.0
12/21/2000,16:00,63.81,65.78,63.0,64.08,5600.0
12/22/2000,16:00,63.54,69.21,63.54,66.33,7300.0
12/26/2000,16:00,65.25,74.25,65.25,72.0,8800.0
12/27/2000,16:00,68.75,81.0,68.75,81.0,17000.0
12/28/2000,16:00,81.27,84.96,75.96,82.08,6800.0
12/29/2000,16:00,83.25,90.0,83.25,90.0,9300.0
01/02/2001,16:00,94.5,102.33,85.5,102.33,18000.0
01/03/2001,16:00,113.58,114.75,105.75,106.83,24900.0
01/04/2001,16:00,111.96,114.21,79.83,97.83,12600.0
01/05/2001,16:00,96.75,100.08,92.79,98.46,6100.0
01/08/2001,16:00,98.19,100.08,86.58,88.83,3600.0
01/09/2001,16:00,91.53,91.53,70.28,75.69,16100.0
01/10/2001,16:00,74.79,78.75,70.83,78.75,10400.0
01/11/2001,16:00,80.46,81.0,73.08,77.04,15200.0
01/12/2001,16:00,77.58,81.0,74.79,81.0,12600.0
01/16/2001,16:00,82.08,83.25,78.75,82.08,5800.0
01/17/2001,16:00,78.75,82.08,76.5,79.83,6100.0
01/18/2001,16:00,81.0,81.0,72.54,72.54,2200.0
01/19/2001,16:00,73.08,78.75,72.54,72.54,7200.0
01/22/2001,16:00,77.49,78.75,72.0,78.75,5500.0
01/23/2001,16:00,78.21,85.5,72.54,85.5,5500.0
01/24/2001,16:00,84.06,91.08,84.06,85.5,6500.0
01/25/2001,16:00,91.71,91.71,76.5,77.04,3600.0
01/26/2001,16:00,77.58,88.29,77.58,83.25,2900.0
01/29/2001,16:00,87.75,91.71,84.33,90.54,9600.0
01/30/2001,16:00,91.71,93.33,87.21,91.08,6200.0
01/31/2001,16:00,88.29,88.83,84.96,84.96,3400.0
02/01/2001,16:00,85.5,86.58,81.54,82.08,1300.0
02/02/2001,16:00,81.54,86.04,78.75,79.83,2400.0
02/05/2001,16:00,81.17,83.07,76.5,78.75,1100.0
02/06/2001,16:00,76.5,80.46,72.54,72.54,5500.0
02/07/2001,16:00,72.54,76.5,72.0,76.5,3600.0
02/08/2001,16:00,75.06,76.5,72.81,74.25,1900.0
02/09/2001,16:00,72.81,74.25,69.21,72.0,3500.0
02/12/2001,16:00,71.55,78.75,70.28,72.54,3300.0
02/13/2001,16:00,73.71,74.25,66.33,69.75,2600.0
02/14/2001,16:00,68.03,78.75,54.0,73.08,10700.0
02/15/2001,16:00,69.92,72.0,65.78,67.5,1600.0
02/16/2001,16:00,61.83,66.33,60.75,63.54,1900.0
02/20/2001,16:00,72.0,72.0,63.0,63.0,3900.0
02/21/2001,16:00,62.01,62.46,50.31,51.75,17100.0
02/22/2001,16:00,52.83,53.46,40.5,40.5,30700.0
02/23/2001,16:00,42.75,45.0,36.0,38.79,16400.0
02/26/2001,16:00,41.04,43.83,37.08,37.08,7500.0
02/27/2001,16:00,41.58,43.29,37.44,37.44,10900.0
02/28/2001,16:00,43.83,43.83,34.83,36.27,12500.0
03/01/2001,16:00,40.5,49.5,36.27,45.0,4900.0
03/02/2001,16:00,41.04,54.0,39.96,54.0,4700.0
03/05/2001,16:00,54.54,60.75,52.83,54.0,6700.0
03/06/2001,16:00,57.33,58.5,53.46,57.33,1600.0
03/07/2001,16:00,56.69,56.69,45.0,45.0,4700.0
03/08/2001,16:00,49.23,50.58,41.58,43.83,11700.0
03/09/2001,16:00,42.75,46.08,42.75,45.54,1500.0
03/12/2001,16:00,45.0,46.08,40.5,40.5,4400.0
03/13/2001,16:00,40.5,45.0,39.96,42.75,2100.0
03/14/2001,16:00,43.83,43.83,39.33,40.5,5800.0
03/15/2001,16:00,39.69,45.0,39.33,40.5,4300.0
03/16/2001,16:00,41.58,43.83,40.5,40.5,2500.0
03/19/2001,16:00,41.04,43.83,41.04,43.83,3400.0
03/20/2001,16:00,44.82,45.0,41.58,41.58,2300.0
03/21/2001,16:00,41.04,43.83,39.33,41.58,1300.0
03/22/2001,16:00,39.33,41.58,36.0,41.58,4700.0
03/23/2001,16:00,43.74,43.74,32.58,34.29,4900.0
03/26/2001,16:00,38.25,38.25,30.33,30.33,6300.0
03/27/2001,16:00,34.83,34.83,31.5,32.58,11500.0
03/28/2001,16:00,34.56,34.83,32.04,34.83,4100.0
03/29/2001,16:00,34.83,34.83,30.96,34.83,9900.0
03/30/2001,16:00,34.83,34.83,31.5,31.5,19200.0
04/02/2001,16:00,33.75,33.75,30.69,33.21,2200.0
04/03/2001,16:00,33.21,33.21,29.52,29.52,3400.0
04/04/2001,16:00,29.25,31.5,29.25,29.25,2800.0
04/05/2001,16:00,31.5,31.5,29.52,30.33,400.0
04/06/2001,16:00,31.32,31.5,30.33,31.5,1800.0
04/09/2001,16:00,30.59,35.91,30.33,31.5,1300.0
04/10/2001,16:00,33.75,35.82,31.05,34.92,1300.0
04/11/2001,16:00,30.51,35.73,30.51,35.1,500.0
04/12/2001,16:00,33.30,36.0,32.4,36.0,600.0
04/16/2001,16:00,31.5,36.99,31.5,36.17,700.0
04/17/2001,16:00,34.29,35.19,32.4,33.21,1100.0
04/18/2001,16:00,34.11,45.99,34.11,37.80,3100.0
04/19/2001,16:00,40.41,47.25,39.15,44.73,4100.0
04/20/2001,16:00,43.19,43.19,36.9,38.25,2300.0
04/23/2001,16:00,43.65,43.65,36.17,40.5,1400.0
04/24/2001,16:00,42.39,42.39,37.35,42.30,800.0
04/25/2001,16:00,41.85,41.85,39.15,39.6,700.0
04/26/2001,16:00,38.33,42.30,38.33,39.6,1400.0
04/27/2001,16:00,38.25,42.30,38.25,42.30,1000.0
04/30/2001,16:00,43.11,44.46,38.25,38.25,3800.0
05/01/2001,16:00,42.30,42.30,38.25,41.31,800.0
05/02/2001,16:00,41.49,44.28,39.87,44.28,3700.0
05/03/2001,16:00,45.0,46.53,42.30,44.1,1800.0
05/04/2001,16:00,45.44,49.5,45.44,48.6,1500.0
05/07/2001,16:00,50.85,53.64,49.5,51.75,4800.0
05/08/2001,16:00,49.41,53.91,48.6,50.85,1900.0
