Date,Time,Open,High,Low,Close,Vol
07/19/2002,16:00,12.26,13.06,11.93,12.22,2235500.0
07/22/2002,16:00,12.21,13.14,12.06,12.9,215300.0
07/23/2002,16:00,13.3,13.85,12.66,13.1,185700.0
07/24/2002,16:00,13.03,13.17,12.6,12.9,593400.0
07/25/2002,16:00,12.9,12.9,12.61,12.77,66700.0
07/26/2002,16:00,12.66,12.76,11.91,12.0,650900.0
07/29/2002,16:00,12.18,12.2,11.66,12.02,335400.0
07/30/2002,16:00,12.17,12.17,11.95,12.06,140000.0
07/31/2002,16:00,12.08,12.25,12.0,12.0,123100.0
08/01/2002,16:00,12.06,12.25,11.85,11.9,150800.0
08/02/2002,16:00,11.75,11.95,11.65,11.93,61800.0
08/05/2002,16:00,11.99,11.99,11.65,11.7,118600.0
08/06/2002,16:00,11.75,12.1,11.75,12.01,145000.0
08/07/2002,16:00,12.0,12.0,11.82,11.99,150700.0
08/08/2002,16:00,12.03,12.1,11.9,12.05,45600.0
08/09/2002,16:00,12.05,12.05,11.9,12.0,24600.0
08/12/2002,16:00,12.0,12.03,11.92,11.98,28500.0
08/13/2002,16:00,11.85,12.05,11.85,12.0,67400.0
08/14/2002,16:00,11.92,12.0,11.9,11.99,38300.0
08/15/2002,16:00,11.91,12.01,11.9,12.0,36400.0
08/16/2002,16:00,12.05,12.05,11.9,12.04,6700.0
08/19/2002,16:00,12.04,12.04,11.85,11.94,24100.0
08/20/2002,16:00,11.93,12.08,11.91,12.07,86100.0
08/21/2002,16:00,12.06,12.3,12.01,12.15,75600.0
08/22/2002,16:00,12.2,12.5,12.05,12.5,33600.0
08/23/2002,16:00,12.4,12.5,11.96,12.08,63800.0
08/26/2002,16:00,12.04,12.05,11.9,11.9,25300.0
08/27/2002,16:00,12.04,12.16,11.95,12.16,47900.0
08/28/2002,16:00,12.55,12.61,12.35,12.37,68700.0
08/29/2002,16:00,12.49,12.54,12.35,12.54,33300.0
08/30/2002,16:00,12.53,12.85,12.41,12.75,22400.0
09/03/2002,16:00,12.7,13.26,12.7,13.2,24400.0
