Date,Time,Open,High,Low,Close,Vol
04/16/2009,16:00,25.0,26.27,24.05,25.12,8258100.0
04/17/2009,16:00,26.22,29.39,25.25,28.25,2534000.0
04/20/2009,16:00,27.98,29.44,27.14,27.3,1033600.0
04/21/2009,16:00,27.68,28.25,26.51,26.94,617700.0
04/22/2009,16:00,26.55,26.93,25.65,26.18,563300.0
04/23/2009,16:00,26.21,26.69,24.9,25.6,577300.0
04/24/2009,16:00,25.13,26.85,25.13,26.13,386500.0
04/27/2009,16:00,26.13,26.4,24.95,25.7,368100.0
04/28/2009,16:00,25.02,27.75,25.02,26.45,537600.0
04/29/2009,16:00,27.29,27.68,26.65,26.85,244400.0
04/30/2009,16:00,28.36,30.14,26.5,29.95,775900.0
05/01/2009,16:00,30.19,31.3,29.2,29.83,691200.0
05/04/2009,16:00,30.13,31.72,29.86,31.02,294800.0
05/05/2009,16:00,30.41,32.0,30.06,31.67,243800.0
05/06/2009,16:00,32.2,32.54,29.28,30.02,403100.0
05/07/2009,16:00,29.57,30.37,28.12,28.29,557400.0
05/08/2009,16:00,29.0,29.82,28.42,28.96,329200.0
05/11/2009,16:00,28.99,29.72,28.35,29.47,351500.0
05/12/2009,16:00,27.38,27.81,26.57,26.8,1342100.0
05/13/2009,16:00,26.57,26.57,22.3,22.5,1292600.0
05/14/2009,16:00,22.93,23.3,21.87,22.1,590800.0
05/15/2009,16:00,22.46,24.05,22.35,23.82,502300.0
05/18/2009,16:00,23.84,24.4,23.55,24.2,257800.0
05/19/2009,16:00,24.5,25.72,24.2,25.01,540900.0
05/20/2009,16:00,25.01,25.99,24.57,25.0,545800.0
05/21/2009,16:00,24.43,24.64,23.04,23.14,191900.0
05/22/2009,16:00,23.18,24.31,23.18,24.23,189400.0
05/26/2009,16:00,24.44,24.44,23.17,23.7,271100.0
05/27/2009,16:00,24.0,24.15,22.69,22.83,332400.0
05/28/2009,16:00,22.83,23.26,22.1,22.3,215500.0
05/29/2009,16:00,22.3,24.89,22.25,24.11,561700.0
06/01/2009,16:00,24.35,24.42,23.85,24.05,270300.0
06/02/2009,16:00,23.99,24.29,21.33,23.92,1030100.0
