Date,Time,Open,High,Low,Close,Vol
08/10/2000,16:00,16.31,17.0,14.0,14.06,5873600.0
08/11/2000,16:00,14.31,14.38,12.5,13.38,980800.0
08/14/2000,16:00,13.31,13.38,10.19,10.63,1368100.0
08/15/2000,16:00,11.25,11.38,10.75,11.13,605800.0
08/16/2000,16:00,11.06,11.13,10.0,10.13,727800.0
08/17/2000,16:00,10.25,10.5,8.81,9.0,793100.0
08/18/2000,16:00,9.28,9.75,9.0,9.5,311700.0
08/21/2000,16:00,9.62,9.75,9.25,9.25,266800.0
08/22/2000,16:00,9.37,9.37,9.0,9.25,314700.0
08/23/2000,16:00,9.37,13.0,9.25,12.63,1157200.0
08/24/2000,16:00,12.88,13.5,12.25,12.5,638200.0
08/25/2000,16:00,12.59,13.63,12.5,12.94,260800.0
08/28/2000,16:00,13.44,13.5,12.81,12.94,144800.0
08/29/2000,16:00,13.13,13.25,12.25,12.44,281400.0
08/30/2000,16:00,12.59,13.25,12.5,13.25,169800.0
08/31/2000,16:00,13.38,14.5,13.25,14.44,617000.0
09/01/2000,16:00,14.72,14.75,14.0,14.63,333000.0
09/05/2000,16:00,14.75,14.75,12.81,13.25,470000.0
09/06/2000,16:00,13.25,13.25,12.88,13.0,223200.0
09/07/2000,16:00,13.31,13.31,12.88,13.19,116300.0
09/08/2000,16:00,13.03,13.25,12.13,12.31,127600.0
09/11/2000,16:00,12.31,12.31,11.5,11.5,78100.0
09/12/2000,16:00,11.56,11.63,10.94,10.94,355400.0
09/13/2000,16:00,11.0,11.0,10.5,10.88,85400.0
09/14/2000,16:00,10.94,12.5,10.77,12.5,265800.0
09/15/2000,16:00,12.38,12.81,12.13,12.44,102600.0
09/18/2000,16:00,12.63,12.63,11.75,12.13,39900.0
09/19/2000,16:00,11.88,12.25,11.75,12.13,78600.0
09/20/2000,16:00,12.13,12.25,12.0,12.0,35800.0
09/21/2000,16:00,12.38,12.88,12.0,12.31,247400.0
09/22/2000,16:00,12.25,12.31,12.06,12.19,71500.0
09/25/2000,16:00,12.06,12.25,12.06,12.06,28000.0
09/26/2000,16:00,12.06,12.06,10.75,10.94,110600.0
09/27/2000,16:00,10.94,11.0,9.87,10.06,213600.0
09/28/2000,16:00,10.13,10.13,9.43,9.5,129300.0
09/29/2000,16:00,9.81,9.87,8.18,8.25,282700.0
10/02/2000,16:00,9.12,9.5,8.5,9.0,135100.0
10/03/2000,16:00,9.10,9.12,8.93,9.12,102900.0
10/04/2000,16:00,9.10,9.12,8.68,8.68,46900.0
10/05/2000,16:00,8.98,9.37,8.75,9.37,321800.0
10/06/2000,16:00,9.29,10.06,9.18,10.06,137200.0
