Date,Time,Open,High,Low,Close,Vol
04/02/2014,16:00,17.5,21.2,17.12,20.09,8471200.0
04/03/2014,16:00,20.42,21.37,19.53,19.85,1154200.0
04/04/2014,16:00,19.7,20.19,18.7,19.0,477100.0
04/07/2014,16:00,19.59,19.82,18.75,19.41,273100.0
04/08/2014,16:00,19.5,20.25,19.41,19.85,172600.0
04/09/2014,16:00,19.72,20.25,19.25,20.03,133700.0
04/10/2014,16:00,19.81,20.2,19.27,20.11,154200.0
04/11/2014,16:00,19.82,20.07,19.0,19.69,225700.0
04/14/2014,16:00,19.99,20.36,19.74,20.13,121200.0
04/15/2014,16:00,20.31,21.44,18.76,21.0,220600.0
04/16/2014,16:00,21.53,22.98,20.39,20.69,176300.0
04/17/2014,16:00,20.5,20.74,19.74,20.05,135800.0
04/21/2014,16:00,20.25,20.55,19.84,20.21,43600.0
04/22/2014,16:00,20.21,22.3,20.2,22.24,172900.0
04/23/2014,16:00,22.52,23.2,21.23,22.24,71900.0
04/24/2014,16:00,22.61,22.68,21.51,21.75,127100.0
04/25/2014,16:00,21.46,22.0,19.28,19.49,338300.0
04/28/2014,16:00,19.29,19.29,16.0,16.3,634400.0
04/29/2014,16:00,16.53,16.73,14.84,14.85,526300.0
04/30/2014,16:00,14.85,15.14,14.04,14.37,486300.0
05/01/2014,16:00,14.4,15.32,14.4,14.73,210800.0
05/02/2014,16:00,15.0,15.39,14.46,14.76,175900.0
05/05/2014,16:00,14.83,14.83,14.2,14.3,184500.0
05/06/2014,16:00,14.2,14.69,13.14,13.29,319200.0
05/07/2014,16:00,13.2,13.29,11.92,12.04,283800.0
05/08/2014,16:00,12.07,13.09,11.95,12.96,233600.0
05/09/2014,16:00,12.24,12.95,11.15,11.99,294200.0
05/12/2014,16:00,12.45,13.0,11.25,11.37,304700.0
05/13/2014,16:00,11.45,12.48,11.31,11.37,381600.0
05/14/2014,16:00,13.4,14.61,12.26,12.68,1141500.0
05/15/2014,16:00,13.09,13.74,13.0,13.24,426200.0
05/16/2014,16:00,13.24,13.52,11.81,12.13,273400.0
05/19/2014,16:00,12.21,12.43,12.07,12.23,541200.0
