Date,Time,Open,High,Low,Close,Vol
06/26/1992,16:00,0.29,0.30,0.28,0.29,224358400.0
06/29/1992,16:00,0.30,0.32,0.29,0.31,58732800.0
06/30/1992,16:00,0.32,0.32,0.30,0.30,34777600.0
07/01/1992,16:00,0.31,0.31,0.30,0.31,18316800.0
07/02/1992,16:00,0.31,0.31,0.30,0.31,13996800.0
07/06/1992,16:00,0.31,0.31,0.30,0.31,5753600.0
07/07/1992,16:00,0.31,0.31,0.30,0.31,10662400.0
07/08/1992,16:00,0.31,0.31,0.30,0.30,15500800.0
07/09/1992,16:00,0.31,0.31,0.30,0.31,3923200.0
07/10/1992,16:00,0.31,0.32,0.31,0.32,11040000.0
07/13/1992,16:00,0.32,0.32,0.31,0.32,5996800.0
07/14/1992,16:00,0.32,0.34,0.32,0.32,17062400.0
07/15/1992,16:00,0.33,0.34,0.32,0.34,4992000.0
07/16/1992,16:00,0.34,0.36,0.33,0.36,17062400.0
07/17/1992,16:00,0.36,0.38,0.35,0.38,15667200.0
07/20/1992,16:00,0.38,0.38,0.37,0.38,19744000.0
07/21/1992,16:00,0.38,0.39,0.38,0.38,7782400.0
07/22/1992,16:00,0.38,0.38,0.37,0.38,10892800.0
07/23/1992,16:00,0.38,0.39,0.37,0.39,10387200.0
07/24/1992,16:00,0.38,0.39,0.38,0.39,7052800.0
07/27/1992,16:00,0.39,0.41,0.39,0.40,11430400.0
07/28/1992,16:00,0.40,0.41,0.38,0.38,18009600.0
07/29/1992,16:00,0.38,0.38,0.36,0.36,30848000.0
07/30/1992,16:00,0.36,0.37,0.35,0.36,11737600.0
07/31/1992,16:00,0.36,0.37,0.36,0.36,6886400.0
08/03/1992,16:00,0.36,0.37,0.36,0.37,4832000.0
08/04/1992,16:00,0.37,0.38,0.36,0.38,6822400.0
08/05/1992,16:00,0.37,0.37,0.35,0.36,9516800.0
08/06/1992,16:00,0.36,0.36,0.35,0.36,3673600.0
08/07/1992,16:00,0.36,0.37,0.35,0.37,8825600.0
08/10/1992,16:00,0.37,0.38,0.36,0.37,5888000.0
