Date,Time,Open,High,Low,Close,Vol
11/02/1992,16:00,3.20,3.20,3.20,3.20,0.0
11/03/1992,16:00,3.20,3.38,3.20,3.38,2400.0
11/04/1992,16:00,3.38,3.38,3.38,3.38,0.0
11/05/1992,16:00,3.20,3.20,3.20,3.20,1200.0
11/06/1992,16:00,3.38,3.38,3.38,3.38,600.0
11/09/1992,16:00,3.38,3.38,3.33,3.38,3201.0
11/10/1992,16:00,3.38,3.38,3.38,3.38,0.0
11/11/1992,16:00,3.38,3.38,3.38,3.38,0.0
11/12/1992,16:00,3.70,3.70,3.70,3.70,201.0
11/13/1992,16:00,3.70,3.70,3.56,3.56,6201.0
11/16/1992,16:00,3.56,3.56,3.56,3.56,0.0
11/17/1992,16:00,3.56,3.56,3.56,3.56,0.0
11/18/1992,16:00,3.56,3.79,3.56,3.79,9000.0
11/19/1992,16:00,3.65,4.20,3.65,4.20,2601.0
11/20/1992,16:00,4.20,4.20,4.20,4.20,600.0
11/23/1992,16:00,4.20,4.29,3.84,4.20,42600.0
11/24/1992,16:00,3.88,3.93,3.84,3.93,19800.0
11/25/1992,16:00,3.93,3.93,3.93,3.93,0.0
11/27/1992,16:00,3.93,3.93,3.93,3.93,0.0
11/30/1992,16:00,3.93,3.93,3.93,3.93,0.0
12/01/1992,16:00,3.93,3.93,3.93,3.93,0.0
12/02/1992,16:00,3.93,3.93,3.93,3.93,0.0
12/03/1992,16:00,3.93,3.93,3.93,3.93,0.0
12/04/1992,16:00,4.38,4.38,4.38,4.38,801.0
12/07/1992,16:00,4.38,4.38,4.38,4.38,0.0
12/08/1992,16:00,4.38,4.38,4.38,4.38,0.0
12/09/1992,16:00,4.38,4.38,4.38,4.38,0.0
12/10/1992,16:00,3.85,3.85,3.85,3.85,1200.0
12/11/1992,16:00,3.85,3.85,3.85,3.85,0.0
12/14/1992,16:00,3.85,3.85,3.85,3.85,0.0
12/15/1992,16:00,3.85,3.85,3.85,3.85,0.0
12/16/1992,16:00,3.85,3.85,3.85,3.85,0.0
12/17/1992,16:00,3.85,3.85,3.85,3.85,0.0
12/18/1992,16:00,3.85,3.85,3.85,3.85,0.0
12/21/1992,16:00,3.85,4.04,3.85,3.85,5001.0
12/22/1992,16:00,3.85,3.85,3.85,3.85,801.0
12/23/1992,16:00,3.85,3.85,3.85,3.85,0.0
12/24/1992,16:00,3.85,3.85,3.85,3.85,0.0
12/28/1992,16:00,3.85,3.85,3.85,3.85,0.0
12/29/1992,16:00,3.85,3.85,3.85,3.85,0.0
12/30/1992,16:00,4.40,4.40,4.04,4.40,1401.0
12/31/1992,16:00,4.13,4.13,4.13,4.13,7401.0
01/04/1993,16:00,3.85,4.22,3.85,4.22,1401.0
01/05/1993,16:00,4.40,4.40,4.40,4.40,1401.0
01/06/1993,16:00,4.40,4.40,4.40,4.40,0.0
