Date,Time,Open,High,Low,Close,Vol
10/09/2013,16:00,13.0,13.39,10.64,11.89,17026000.0
10/10/2013,16:00,11.95,12.1,11.0,11.2,1729900.0
10/11/2013,16:00,11.4,11.99,11.3,11.9,1413800.0
10/14/2013,16:00,11.75,11.93,11.38,11.55,354200.0
10/15/2013,16:00,11.95,11.95,11.36,11.44,358300.0
10/16/2013,16:00,11.32,11.4,10.16,10.3,1639700.0
10/17/2013,16:00,10.05,10.25,8.95,9.5,3376600.0
10/18/2013,16:00,9.94,10.1,9.65,10.05,435300.0
10/21/2013,16:00,10.1,10.18,9.75,10.13,348400.0
10/22/2013,16:00,10.09,10.38,9.9,10.15,393100.0
10/23/2013,16:00,10.31,10.31,9.9,9.9,454000.0
10/24/2013,16:00,9.68,9.88,9.53,9.78,656900.0
10/25/2013,16:00,9.84,9.84,9.24,9.32,613800.0
10/28/2013,16:00,9.32,9.44,8.86,9.02,1203300.0
10/29/2013,16:00,9.0,9.27,8.94,9.03,375500.0
10/30/2013,16:00,9.08,9.17,8.92,8.98,640400.0
10/31/2013,16:00,8.85,9.0,8.34,8.58,2323400.0
11/01/2013,16:00,8.42,8.79,8.25,8.77,588600.0
11/04/2013,16:00,9.14,9.36,8.88,9.23,1671600.0
11/05/2013,16:00,9.35,9.41,9.09,9.09,793200.0
11/06/2013,16:00,9.13,9.49,8.99,9.03,275600.0
11/07/2013,16:00,9.1,9.25,9.03,9.03,281400.0
11/08/2013,16:00,9.1,9.26,9.01,9.23,208100.0
11/11/2013,16:00,9.33,9.38,9.2,9.36,500500.0
11/12/2013,16:00,9.17,9.36,8.96,9.01,702100.0
11/13/2013,16:00,8.99,8.99,8.63,8.79,371700.0
11/14/2013,16:00,8.76,8.81,8.65,8.75,254900.0
11/15/2013,16:00,8.75,8.75,8.44,8.61,329600.0
11/18/2013,16:00,8.72,8.82,8.33,8.48,317900.0
11/19/2013,16:00,8.43,8.46,7.8,8.28,824800.0
11/20/2013,16:00,8.35,8.35,7.93,8.1,379500.0
11/21/2013,16:00,8.12,8.61,8.11,8.58,526400.0
11/22/2013,16:00,8.55,9.85,8.4,9.24,1743200.0
11/25/2013,16:00,9.25,9.27,8.99,9.11,773200.0
11/26/2013,16:00,9.16,9.29,9.09,9.23,630200.0
11/27/2013,16:00,9.24,9.76,9.15,9.64,1485300.0
11/29/2013,16:00,9.79,10.23,9.46,9.97,618800.0
12/02/2013,16:00,10.09,10.09,9.6,9.66,409000.0
12/03/2013,16:00,9.67,10.59,9.58,10.49,1333700.0
12/04/2013,16:00,10.4,11.55,10.4,11.25,1365500.0
12/05/2013,16:00,11.29,11.61,10.87,11.04,721400.0
12/06/2013,16:00,11.2,11.6,10.89,11.59,511000.0
12/09/2013,16:00,11.65,11.86,11.64,11.81,756600.0
12/10/2013,16:00,11.78,11.98,11.12,11.71,963300.0
12/11/2013,16:00,11.72,11.87,10.31,10.6,983000.0
12/12/2013,16:00,10.64,10.97,9.21,9.6,1952600.0
12/13/2013,16:00,9.64,9.84,9.11,9.58,715500.0
12/16/2013,16:00,9.72,10.25,9.38,10.01,756700.0
12/17/2013,16:00,10.22,11.0,9.7,10.84,858700.0
12/18/2013,16:00,10.47,11.39,10.16,10.93,1317300.0
12/19/2013,16:00,10.68,10.95,10.04,10.82,911300.0
12/20/2013,16:00,10.81,10.9,10.42,10.85,3864700.0
12/23/2013,16:00,10.87,11.5,10.13,11.02,741900.0
12/24/2013,16:00,11.0,11.5,10.95,11.45,320900.0
12/26/2013,16:00,11.64,11.64,11.16,11.37,250100.0
