Date,Time,Open,High,Low,Close,Vol
03/26/1990,16:00,0.81,0.88,0.81,0.88,59202.0
03/27/1990,16:00,0.91,0.94,0.89,0.91,75600.0
03/28/1990,16:00,0.94,0.94,0.91,0.91,93600.0
03/29/1990,16:00,0.91,0.91,0.91,0.91,1602.0
03/30/1990,16:00,0.91,0.94,0.91,0.94,2802.0
04/02/1990,16:00,0.91,0.91,0.91,0.91,9600.0
04/03/1990,16:00,0.94,0.94,0.89,0.93,132402.0
04/04/1990,16:00,0.93,0.93,0.93,0.93,0.0
04/05/1990,16:00,0.91,0.93,0.89,0.89,84000.0
04/06/1990,16:00,0.88,0.88,0.88,0.88,402.0
04/09/1990,16:00,0.88,0.94,0.88,0.88,14802.0
04/10/1990,16:00,0.89,0.89,0.89,0.89,402.0
04/11/1990,16:00,0.94,0.94,0.94,0.94,2802.0
04/12/1990,16:00,0.88,0.88,0.88,0.88,2400.0
04/16/1990,16:00,0.88,0.94,0.88,0.88,21600.0
04/17/1990,16:00,0.88,0.91,0.88,0.91,66402.0
04/18/1990,16:00,0.88,0.88,0.88,0.88,1602.0
04/19/1990,16:00,0.88,0.88,0.88,0.88,402.0
04/20/1990,16:00,0.88,0.89,0.88,0.89,8802.0
04/23/1990,16:00,0.94,0.94,0.94,0.94,402.0
04/24/1990,16:00,0.89,0.94,0.89,0.94,11202.0
04/25/1990,16:00,0.94,0.94,0.94,0.94,1602.0
04/26/1990,16:00,0.89,0.94,0.89,0.94,52002.0
04/27/1990,16:00,0.94,0.94,0.91,0.91,32802.0
04/30/1990,16:00,0.91,0.96,0.91,0.93,91200.0
05/01/1990,16:00,0.96,0.97,0.93,0.97,100002.0
05/02/1990,16:00,0.96,0.97,0.96,0.96,60402.0
05/03/1990,16:00,0.96,0.99,0.96,0.96,94002.0
05/04/1990,16:00,0.96,1.02,0.96,0.99,67200.0
05/07/1990,16:00,0.96,0.96,0.96,0.96,2802.0
05/08/1990,16:00,0.96,0.97,0.96,0.97,3600.0
05/09/1990,16:00,1.02,1.02,0.97,1.02,58002.0
05/10/1990,16:00,0.99,1.02,0.96,0.96,29202.0
05/11/1990,16:00,0.96,1.02,0.96,1.02,19200.0
05/14/1990,16:00,0.96,1.02,0.96,1.02,4002.0
05/15/1990,16:00,0.96,0.96,0.96,0.96,402.0
05/16/1990,16:00,0.96,0.96,0.96,0.96,4002.0
