Date,Time,Open,High,Low,Close,Vol
03/26/1990,16:00,0.57,0.57,0.55,0.57,8201.25
03/27/1990,16:00,0.55,0.55,0.54,0.55,23500.125
03/28/1990,16:00,0.54,0.57,0.54,0.57,8100.0
03/29/1990,16:00,0.57,0.60,0.55,0.60,188502.1875
03/30/1990,16:00,0.60,0.62,0.60,0.60,55500.1875
04/02/1990,16:00,0.60,0.62,0.59,0.62,9998.4375
04/03/1990,16:00,0.60,0.60,0.60,0.60,101.25
04/04/1990,16:00,0.60,0.62,0.59,0.59,18999.5625
04/05/1990,16:00,0.62,0.62,0.59,0.59,5999.0625
04/06/1990,16:00,0.62,0.62,0.59,0.59,18999.5625
04/09/1990,16:00,0.59,0.59,0.59,0.59,3300.75
04/10/1990,16:00,0.59,0.59,0.59,0.59,9401.0625
04/11/1990,16:00,0.60,0.60,0.60,0.60,15400.125
04/12/1990,16:00,0.60,0.62,0.59,0.61,31600.125
04/16/1990,16:00,0.62,0.67,0.60,0.65,209400.1875
04/17/1990,16:00,0.69,0.69,0.65,0.67,90998.4375
04/18/1990,16:00,0.65,0.66,0.64,0.64,73001.25
04/19/1990,16:00,0.64,0.65,0.64,0.64,23100.1875
04/20/1990,16:00,0.64,0.65,0.64,0.64,41801.0625
04/23/1990,16:00,0.64,0.64,0.64,0.64,4900.5
04/24/1990,16:00,0.64,0.64,0.62,0.64,37801.6875
04/25/1990,16:00,0.65,0.65,0.64,0.64,28299.375
04/26/1990,16:00,0.65,0.65,0.65,0.65,1301.0625
04/27/1990,16:00,0.65,0.67,0.65,0.65,97200.0
04/30/1990,16:00,0.67,0.67,0.64,0.65,69001.875
05/01/1990,16:00,0.67,0.70,0.65,0.69,237102.1875
05/02/1990,16:00,0.70,0.70,0.69,0.69,131802.1875
05/03/1990,16:00,0.70,0.70,0.69,0.70,84300.75
05/04/1990,16:00,0.70,0.70,0.69,0.69,50498.4375
05/07/1990,16:00,0.67,0.72,0.67,0.72,153900.0
05/08/1990,16:00,0.72,0.72,0.67,0.67,97200.0
05/09/1990,16:00,0.69,0.69,0.67,0.69,47400.1875
05/10/1990,16:00,0.67,0.69,0.62,0.64,237699.5625
05/11/1990,16:00,0.64,0.64,0.60,0.64,8201.25
05/14/1990,16:00,0.62,0.64,0.60,0.60,52599.375
05/15/1990,16:00,0.64,0.64,0.60,0.62,5999.0625
05/16/1990,16:00,0.60,0.60,0.57,0.59,134500.5
05/17/1990,16:00,0.57,0.59,0.52,0.57,143101.6875
05/18/1990,16:00,0.57,0.57,0.54,0.54,30299.0625
05/21/1990,16:00,0.55,0.57,0.55,0.57,34298.4375
05/22/1990,16:00,0.55,0.57,0.55,0.55,32400.0
05/23/1990,16:00,0.57,0.57,0.55,0.55,20401.875
05/24/1990,16:00,0.57,0.57,0.55,0.57,38399.0625
05/25/1990,16:00,0.55,0.57,0.55,0.57,9001.125
05/29/1990,16:00,0.55,0.57,0.55,0.57,20199.375
05/30/1990,16:00,0.55,0.57,0.55,0.57,48701.25
05/31/1990,16:00,0.57,0.59,0.57,0.59,94000.5
06/01/1990,16:00,0.57,0.59,0.57,0.59,44499.375
06/04/1990,16:00,0.57,0.59,0.57,0.57,60000.75
06/05/1990,16:00,0.59,0.59,0.57,0.57,21601.6875
06/06/1990,16:00,0.57,0.59,0.57,0.59,83202.1875
06/07/1990,16:00,0.57,0.60,0.57,0.60,41401.125
06/08/1990,16:00,0.59,0.59,0.57,0.57,3300.75
06/11/1990,16:00,0.57,0.57,0.57,0.57,12099.375
06/12/1990,16:00,0.57,0.60,0.57,0.57,13501.6875
06/13/1990,16:00,0.60,0.60,0.57,0.60,55500.1875
