Date,Time,Open,High,Low,Close,Vol
04/28/2011,16:00,14.78,15.33,14.78,15.14,9000.0
04/29/2011,16:00,15.07,15.29,14.47,15.06,15000.0
05/02/2011,16:00,14.39,14.59,13.41,13.68,11000.0
05/03/2011,16:00,11.76,13.68,11.61,12.86,29000.0
05/04/2011,16:00,12.87,15.14,12.72,14.37,14600.0
05/05/2011,16:00,13.54,15.14,12.87,14.20,3400.0
05/06/2011,16:00,14.19,14.95,13.63,13.63,7100.0
05/09/2011,16:00,14.01,14.83,13.63,13.63,7900.0
05/10/2011,16:00,13.67,13.72,12.99,13.00,4800.0
05/11/2011,16:00,12.99,14.02,12.88,12.89,14200.0
05/12/2011,16:00,12.92,13.21,12.57,13.05,5900.0
05/13/2011,16:00,12.83,13.03,12.57,12.63,6500.0
05/16/2011,16:00,12.31,12.95,12.11,12.11,19000.0
05/17/2011,16:00,12.11,12.57,12.10,12.55,3900.0
05/18/2011,16:00,12.49,12.87,12.49,12.87,2700.0
05/19/2011,16:00,12.42,13.42,12.42,12.58,7400.0
05/20/2011,16:00,12.57,12.98,12.57,12.60,7300.0
05/23/2011,16:00,12.34,12.80,12.34,12.68,2600.0
05/24/2011,16:00,12.58,12.67,12.57,12.67,1000.0
05/25/2011,16:00,12.57,13.48,12.57,12.61,2500.0
05/26/2011,16:00,12.61,12.78,12.61,12.78,900.0
05/27/2011,16:00,12.61,13.47,12.57,12.59,2600.0
05/31/2011,16:00,12.34,13.25,12.34,12.87,7200.0
06/01/2011,16:00,12.39,12.54,12.37,12.49,700.0
06/02/2011,16:00,12.49,12.49,12.34,12.34,3300.0
06/03/2011,16:00,12.34,12.34,12.20,12.32,900.0
06/06/2011,16:00,12.25,12.26,12.19,12.19,1400.0
06/07/2011,16:00,12.19,12.32,12.16,12.19,1300.0
06/08/2011,16:00,12.16,12.34,12.16,12.34,1900.0
06/09/2011,16:00,12.16,12.17,12.14,12.14,2000.0
06/10/2011,16:00,12.16,12.32,11.95,12.18,1100.0
06/13/2011,16:00,11.95,11.95,11.09,11.42,11000.0
06/14/2011,16:00,10.69,12.20,10.69,11.68,8800.0
06/15/2011,16:00,11.46,11.46,11.08,11.36,500.0
06/16/2011,16:00,11.11,11.41,11.11,11.17,3200.0
06/17/2011,16:00,11.14,12.56,11.07,11.35,1200.0
06/20/2011,16:00,11.05,11.12,11.05,11.09,1800.0
06/21/2011,16:00,11.05,11.36,11.05,11.36,700.0
06/22/2011,16:00,11.36,11.36,11.11,11.11,1000.0
06/23/2011,16:00,11.05,11.05,10.79,10.89,4000.0
06/24/2011,16:00,11.65,11.66,10.87,10.87,500.0
06/27/2011,16:00,10.93,10.98,10.91,10.98,1500.0
06/28/2011,16:00,10.92,11.72,10.92,10.95,1300.0
06/29/2011,16:00,10.90,11.01,10.89,11.01,1100.0
06/30/2011,16:00,11.66,12.26,11.37,11.51,7900.0
07/01/2011,16:00,11.04,12.11,11.04,11.54,3400.0
07/05/2011,16:00,10.99,11.75,10.99,11.25,2100.0
07/06/2011,16:00,11.02,11.93,11.02,11.78,2600.0
