Date,Time,Open,High,Low,Close,Vol
12/30/1987,16:00,0.75,0.76,0.74,0.76,23202.0
12/31/1987,16:00,0.77,0.84,0.75,0.83,158400.0
01/04/1988,16:00,0.83,0.83,0.81,0.81,2403.0
01/05/1988,16:00,0.83,0.90,0.83,0.88,90000.0
01/06/1988,16:00,0.87,0.91,0.85,0.91,39996.0
01/07/1988,16:00,0.92,0.92,0.91,0.91,2403.0
01/08/1988,16:00,0.92,0.92,0.88,0.88,37602.0
01/11/1988,16:00,0.86,0.86,0.86,0.86,3996.0
01/12/1988,16:00,0.85,0.85,0.79,0.79,100800.0
01/13/1988,16:00,0.81,0.81,0.79,0.80,7596.0
01/14/1988,16:00,0.80,0.80,0.79,0.79,6003.0
01/15/1988,16:00,0.81,0.81,0.79,0.79,10800.0
01/18/1988,16:00,0.78,0.79,0.78,0.79,64800.0
01/19/1988,16:00,0.81,0.81,0.81,0.81,9603.0
01/20/1988,16:00,0.81,0.81,0.79,0.79,3996.0
01/21/1988,16:00,0.81,0.81,0.81,0.81,72396.0
01/22/1988,16:00,0.83,0.86,0.81,0.81,95202.0
01/25/1988,16:00,0.79,0.80,0.79,0.80,48402.0
01/26/1988,16:00,0.80,0.80,0.80,0.80,6003.0
01/27/1988,16:00,0.80,0.80,0.79,0.79,14400.0
01/28/1988,16:00,0.79,0.79,0.79,0.79,0.0
01/29/1988,16:00,0.80,0.81,0.79,0.81,50796.0
02/01/1988,16:00,0.81,0.83,0.81,0.81,93600.0
02/02/1988,16:00,0.79,0.79,0.79,0.79,7200.0
02/03/1988,16:00,0.80,0.80,0.79,0.79,24003.0
02/04/1988,16:00,0.79,0.79,0.79,0.79,5202.0
02/05/1988,16:00,0.79,0.79,0.79,0.79,93600.0
02/08/1988,16:00,0.79,0.79,0.77,0.79,24003.0
02/09/1988,16:00,0.78,0.79,0.78,0.79,9603.0
02/10/1988,16:00,0.81,0.81,0.81,0.81,14796.0
02/11/1988,16:00,0.81,0.81,0.80,0.80,10800.0
02/12/1988,16:00,0.80,0.80,0.80,0.80,7200.0
02/16/1988,16:00,0.79,0.81,0.79,0.81,12402.0
02/17/1988,16:00,0.83,0.83,0.80,0.80,16002.0
02/18/1988,16:00,0.82,0.82,0.82,0.82,3996.0
02/19/1988,16:00,0.81,0.81,0.80,0.80,1602.0
02/22/1988,16:00,0.78,0.78,0.78,0.78,16803.0
02/23/1988,16:00,0.78,0.79,0.78,0.79,16002.0
02/24/1988,16:00,0.81,0.85,0.81,0.83,49203.0
02/25/1988,16:00,0.81,0.81,0.81,0.81,2403.0
02/26/1988,16:00,0.82,0.83,0.82,0.83,7200.0
02/29/1988,16:00,0.84,0.85,0.83,0.83,32796.0
03/01/1988,16:00,0.81,0.82,0.78,0.78,194796.0
03/02/1988,16:00,0.79,0.79,0.76,0.78,378396.0
03/03/1988,16:00,0.79,0.79,0.76,0.78,139203.0
03/04/1988,16:00,0.76,0.76,0.74,0.76,135603.0
03/07/1988,16:00,0.76,0.82,0.76,0.82,165600.0
03/08/1988,16:00,0.82,0.92,0.81,0.92,388800.0
03/09/1988,16:00,0.92,0.92,0.85,0.87,366003.0
03/10/1988,16:00,0.88,0.88,0.86,0.86,31203.0
03/11/1988,16:00,0.84,0.88,0.84,0.88,165600.0
03/14/1988,16:00,0.89,0.89,0.89,0.89,2403.0
03/15/1988,16:00,0.88,0.89,0.87,0.87,7596.0
03/16/1988,16:00,0.87,0.87,0.87,0.87,0.0
03/17/1988,16:00,0.89,0.89,0.86,0.86,31203.0
03/18/1988,16:00,0.87,0.90,0.87,0.88,18396.0
03/21/1988,16:00,0.89,0.89,0.86,0.86,47196.0
03/22/1988,16:00,0.88,0.88,0.86,0.86,7596.0
03/23/1988,16:00,0.86,0.88,0.86,0.88,9603.0
03/24/1988,16:00,0.86,0.88,0.86,0.88,36396.0
03/25/1988,16:00,0.86,0.86,0.86,0.86,11196.0
03/28/1988,16:00,0.85,0.85,0.85,0.85,47196.0
03/29/1988,16:00,0.85,0.86,0.85,0.85,28800.0
03/30/1988,16:00,0.87,0.87,0.85,0.85,27603.0
03/31/1988,16:00,0.85,0.87,0.85,0.87,82800.0
04/04/1988,16:00,0.85,0.87,0.85,0.86,25596.0
04/05/1988,16:00,0.86,0.86,0.86,0.86,21996.0
04/06/1988,16:00,0.87,0.87,0.86,0.86,6003.0
04/07/1988,16:00,0.86,0.87,0.86,0.86,6003.0
04/08/1988,16:00,0.86,0.86,0.86,0.86,32400.0
04/11/1988,16:00,0.86,0.86,0.86,0.86,12402.0
04/12/1988,16:00,0.86,0.86,0.85,0.85,331200.0
04/13/1988,16:00,0.85,0.85,0.85,0.85,3600.0
04/14/1988,16:00,0.85,0.85,0.85,0.85,49203.0
04/15/1988,16:00,0.85,0.86,0.85,0.85,14400.0
04/18/1988,16:00,0.85,0.86,0.85,0.86,21996.0
04/19/1988,16:00,0.85,0.85,0.85,0.85,190800.0
04/20/1988,16:00,0.85,0.85,0.85,0.85,18396.0
04/21/1988,16:00,0.85,0.85,0.85,0.85,2403.0
04/22/1988,16:00,0.85,0.85,0.85,0.85,3996.0
04/25/1988,16:00,0.85,0.85,0.85,0.85,0.0
04/26/1988,16:00,0.85,0.85,0.85,0.85,0.0
04/27/1988,16:00,0.85,0.86,0.85,0.86,3996.0
04/28/1988,16:00,0.87,0.87,0.86,0.86,16803.0
04/29/1988,16:00,0.87,0.93,0.87,0.93,284400.0
05/02/1988,16:00,0.93,0.94,0.93,0.94,18000.0
05/03/1988,16:00,0.95,0.95,0.94,0.94,12402.0
05/04/1988,16:00,0.93,0.94,0.92,0.94,31203.0
05/05/1988,16:00,0.94,0.94,0.94,0.94,0.0
05/06/1988,16:00,0.93,0.93,0.93,0.93,396.0
05/09/1988,16:00,0.93,0.93,0.92,0.92,57600.0
05/10/1988,16:00,0.92,0.93,0.92,0.92,45603.0
05/11/1988,16:00,0.91,0.91,0.89,0.89,43200.0
05/12/1988,16:00,0.89,0.89,0.89,0.89,13203.0
05/13/1988,16:00,0.89,0.89,0.89,0.89,25200.0
05/16/1988,16:00,0.89,0.89,0.88,0.88,270396.0
05/17/1988,16:00,0.90,0.90,0.90,0.90,396.0
05/18/1988,16:00,0.88,0.88,0.88,0.88,6003.0
05/19/1988,16:00,0.87,0.87,0.87,0.87,13203.0
05/20/1988,16:00,0.87,0.87,0.86,0.86,28800.0
05/23/1988,16:00,0.86,0.87,0.85,0.87,48402.0
05/24/1988,16:00,0.85,0.85,0.85,0.85,2403.0
05/25/1988,16:00,0.85,0.85,0.85,0.85,0.0
05/26/1988,16:00,0.85,0.85,0.85,0.85,8802.0
05/27/1988,16:00,0.85,0.85,0.85,0.85,0.0
05/31/1988,16:00,0.85,0.85,0.85,0.85,5202.0
06/01/1988,16:00,0.85,0.87,0.85,0.87,3600.0
06/02/1988,16:00,0.87,0.87,0.87,0.87,396.0
06/03/1988,16:00,0.86,0.86,0.86,0.86,3600.0
06/06/1988,16:00,0.87,0.87,0.87,0.87,5202.0
06/07/1988,16:00,0.86,0.89,0.86,0.89,7200.0
06/08/1988,16:00,0.87,0.89,0.86,0.89,29196.0
06/09/1988,16:00,0.89,0.94,0.89,0.94,16002.0
06/10/1988,16:00,0.95,0.95,0.95,0.95,3996.0
06/13/1988,16:00,0.93,0.93,0.93,0.93,1602.0
