Date,Time,Open,High,Low,Close,Vol
12/13/2007,16:00,7.64,7.88,7.59,7.75,5039700.0
12/14/2007,16:00,7.78,8.07,7.64,8.05,648000.0
12/17/2007,16:00,8.05,8.32,7.99,8.21,543500.0
12/18/2007,16:00,8.00,9.29,7.74,8.59,892900.0
12/19/2007,16:00,8.71,9.03,8.20,8.42,492100.0
12/20/2007,16:00,8.43,8.46,7.99,8.17,202400.0
12/21/2007,16:00,8.17,8.28,7.99,8.24,252200.0
12/24/2007,16:00,8.30,8.55,8.25,8.55,71700.0
12/26/2007,16:00,8.55,8.55,8.22,8.38,103500.0
12/27/2007,16:00,8.40,8.44,8.03,8.03,113500.0
12/28/2007,16:00,8.13,8.46,8.03,8.37,218200.0
12/31/2007,16:00,8.30,8.90,8.26,8.52,155000.0
01/02/2008,16:00,8.33,8.52,8.13,8.28,91700.0
01/03/2008,16:00,8.46,8.46,8.03,8.04,113000.0
01/04/2008,16:00,7.94,8.03,7.02,7.42,775500.0
01/07/2008,16:00,7.45,7.47,6.66,7.29,808400.0
01/08/2008,16:00,7.29,7.41,6.78,6.87,180000.0
01/09/2008,16:00,6.75,6.86,6.00,6.62,729600.0
01/10/2008,16:00,6.46,6.72,6.29,6.64,204400.0
01/11/2008,16:00,6.30,6.77,6.30,6.68,47400.0
01/14/2008,16:00,6.71,6.71,6.32,6.42,139300.0
01/15/2008,16:00,6.31,6.37,6.02,6.20,323400.0
01/16/2008,16:00,6.19,6.19,5.69,5.91,381500.0
01/17/2008,16:00,5.86,5.92,5.61,5.75,270000.0
01/18/2008,16:00,5.80,5.91,5.77,5.85,113000.0
01/22/2008,16:00,5.25,5.92,5.25,5.89,142400.0
01/23/2008,16:00,5.76,6.04,5.59,5.82,298300.0
01/24/2008,16:00,5.88,6.24,5.87,6.19,229600.0
01/25/2008,16:00,6.25,6.51,6.10,6.31,251200.0
01/28/2008,16:00,6.39,6.65,6.33,6.60,245600.0
01/29/2008,16:00,6.64,7.31,6.64,6.99,531300.0
01/30/2008,16:00,7.02,7.44,7.02,7.26,356700.0
01/31/2008,16:00,7.13,7.48,6.97,7.35,118400.0
02/01/2008,16:00,7.39,7.66,7.39,7.55,359100.0
02/04/2008,16:00,7.62,7.62,7.23,7.35,94900.0
02/05/2008,16:00,7.31,7.37,7.15,7.16,139200.0
02/06/2008,16:00,7.20,7.31,6.71,6.71,146000.0
02/07/2008,16:00,6.97,7.04,6.78,6.87,224300.0
02/08/2008,16:00,6.87,6.97,6.76,6.84,91600.0
02/11/2008,16:00,6.77,6.96,6.73,6.80,364300.0
02/12/2008,16:00,6.82,6.93,6.77,6.77,224700.0
02/13/2008,16:00,6.72,6.90,6.63,6.68,201800.0
02/14/2008,16:00,6.74,7.09,6.72,6.86,91000.0
02/15/2008,16:00,6.82,6.97,6.82,6.90,69200.0
02/19/2008,16:00,6.92,7.07,6.88,6.99,112400.0
02/20/2008,16:00,7.02,7.02,6.77,6.91,41500.0
02/21/2008,16:00,7.01,7.06,6.78,6.78,174000.0
02/22/2008,16:00,6.85,6.91,6.68,6.68,133100.0
02/25/2008,16:00,6.63,7.07,6.63,6.99,168800.0
02/26/2008,16:00,7.02,7.02,6.72,6.88,104300.0
02/27/2008,16:00,6.75,7.18,6.72,7.11,69400.0
02/28/2008,16:00,7.17,7.19,6.69,6.83,111200.0
02/29/2008,16:00,6.78,6.80,6.52,6.59,205900.0
03/03/2008,16:00,6.45,6.57,6.37,6.50,135300.0
03/04/2008,16:00,6.51,6.62,6.39,6.46,182000.0
03/05/2008,16:00,6.37,6.49,6.35,6.45,55400.0
03/06/2008,16:00,6.57,6.57,6.35,6.39,47000.0
03/07/2008,16:00,6.39,6.47,5.95,6.11,153900.0
03/10/2008,16:00,6.14,6.17,5.86,5.94,60200.0
03/11/2008,16:00,6.12,6.20,6.02,6.13,41700.0
03/12/2008,16:00,6.31,6.34,6.11,6.15,23500.0
03/13/2008,16:00,6.12,6.13,6.00,6.08,31900.0
03/14/2008,16:00,6.00,6.00,5.74,5.79,63500.0
03/17/2008,16:00,5.27,5.74,5.27,5.62,79600.0
03/18/2008,16:00,5.65,6.05,5.65,6.02,75100.0
03/19/2008,16:00,6.03,6.20,5.98,6.16,64800.0
03/20/2008,16:00,6.18,6.46,6.08,6.36,48900.0
03/24/2008,16:00,6.01,6.56,6.01,6.51,50000.0
03/25/2008,16:00,6.77,6.83,6.63,6.82,38200.0
03/26/2008,16:00,6.98,7.05,6.85,6.94,91200.0
03/27/2008,16:00,6.83,7.02,6.55,6.66,77100.0
03/28/2008,16:00,7.00,7.00,6.73,6.82,202100.0
03/31/2008,16:00,6.78,7.11,6.63,6.67,1044400.0
04/01/2008,16:00,6.67,6.96,6.42,6.56,482300.0
04/02/2008,16:00,6.55,6.63,6.40,6.52,286500.0
04/03/2008,16:00,6.48,6.63,6.45,6.52,347100.0
