Date,Time,Open,High,Low,Close,Vol
12/18/2003,16:00,13.57,15.18,13.57,15.02,7715400.0
12/19/2003,16:00,14.73,15.41,14.54,14.78,1015100.0
12/22/2003,16:00,14.73,15.03,14.68,14.88,233100.0
12/23/2003,16:00,14.85,14.97,14.63,14.77,238300.0
12/24/2003,16:00,14.54,14.54,14.00,14.44,146400.0
12/26/2003,16:00,14.44,14.45,14.25,14.28,241000.0
12/29/2003,16:00,14.25,14.44,14.20,14.29,248500.0
12/30/2003,16:00,14.29,14.70,14.29,14.62,320800.0
12/31/2003,16:00,14.58,15.02,14.53,15.02,442400.0
01/02/2004,16:00,14.92,15.50,14.92,15.26,180000.0
01/05/2004,16:00,15.51,15.75,15.31,15.65,305000.0
01/06/2004,16:00,15.69,16.78,15.65,16.03,209800.0
01/07/2004,16:00,16.04,16.44,15.84,16.11,269400.0
01/08/2004,16:00,16.15,16.47,16.15,16.23,96200.0
01/09/2004,16:00,16.06,16.77,15.89,16.36,837600.0
01/12/2004,16:00,16.39,17.06,16.32,16.86,172000.0
01/13/2004,16:00,16.87,17.25,16.87,17.21,84500.0
01/14/2004,16:00,17.22,17.22,17.02,17.09,124700.0
01/15/2004,16:00,17.03,17.62,17.02,17.35,45000.0
01/16/2004,16:00,17.42,17.44,16.81,16.81,103900.0
01/20/2004,16:00,16.11,16.31,15.61,15.70,473100.0
01/21/2004,16:00,15.12,15.82,15.12,15.51,297200.0
01/22/2004,16:00,15.55,15.94,15.55,15.87,207500.0
01/23/2004,16:00,15.88,16.68,15.88,16.54,549000.0
01/26/2004,16:00,16.43,16.78,16.41,16.78,136200.0
01/27/2004,16:00,16.78,16.86,16.57,16.72,350100.0
01/28/2004,16:00,16.77,16.84,16.47,16.47,133000.0
01/29/2004,16:00,16.47,16.58,15.65,15.83,257200.0
01/30/2004,16:00,15.80,15.81,15.26,15.70,276900.0
02/02/2004,16:00,15.82,16.75,15.68,16.56,116000.0
02/03/2004,16:00,16.47,16.47,16.38,16.47,91800.0
02/04/2004,16:00,16.46,17.03,16.09,16.81,219500.0
02/05/2004,16:00,16.77,16.77,16.27,16.31,75700.0
02/06/2004,16:00,16.18,16.57,16.09,16.54,97900.0
02/09/2004,16:00,16.54,16.67,16.54,16.64,77200.0
02/10/2004,16:00,16.66,16.72,16.23,16.47,136000.0
02/11/2004,16:00,16.47,16.47,16.14,16.47,182300.0
02/12/2004,16:00,16.47,16.70,16.24,16.57,146000.0
02/13/2004,16:00,16.57,16.57,15.65,16.09,219600.0
02/17/2004,16:00,16.14,16.14,15.78,15.99,74900.0
02/18/2004,16:00,16.09,16.09,15.70,15.93,71900.0
02/19/2004,16:00,15.96,16.09,15.65,15.75,26100.0
02/20/2004,16:00,15.89,15.89,15.51,15.75,82800.0
02/23/2004,16:00,15.75,15.94,15.57,15.94,80900.0
02/24/2004,16:00,15.94,15.96,15.55,15.64,57400.0
02/25/2004,16:00,15.64,15.64,15.31,15.37,51200.0
02/26/2004,16:00,15.31,15.84,15.21,15.80,97700.0
02/27/2004,16:00,15.80,16.11,15.80,16.09,131500.0
03/01/2004,16:00,15.85,16.20,15.70,16.08,70900.0
03/02/2004,16:00,16.14,16.21,15.97,16.13,29800.0
03/03/2004,16:00,16.13,16.33,16.02,16.27,227300.0
03/04/2004,16:00,16.28,16.33,16.15,16.19,125500.0
03/05/2004,16:00,16.23,16.24,15.89,16.15,25000.0
03/08/2004,16:00,16.15,16.26,15.89,16.09,39400.0
03/09/2004,16:00,15.91,15.99,15.84,15.91,24000.0
03/10/2004,16:00,15.92,15.99,15.77,15.88,91500.0
03/11/2004,16:00,15.80,15.80,14.39,14.83,440800.0
03/12/2004,16:00,14.88,15.11,14.64,14.88,263400.0
03/15/2004,16:00,14.88,15.00,14.78,15.00,39300.0
03/16/2004,16:00,14.92,14.97,14.73,14.92,73300.0
03/17/2004,16:00,14.92,15.29,14.73,15.10,71600.0
03/18/2004,16:00,15.10,15.32,15.02,15.21,41900.0
03/19/2004,16:00,15.21,15.21,15.07,15.07,25000.0
03/22/2004,16:00,15.20,15.36,14.91,15.31,92700.0
03/23/2004,16:00,15.37,15.62,15.29,15.44,81200.0
03/24/2004,16:00,15.50,15.83,15.50,15.70,128200.0
03/25/2004,16:00,15.12,15.67,15.12,15.60,181100.0
03/26/2004,16:00,15.12,15.51,15.12,15.50,58000.0
03/29/2004,16:00,15.46,15.51,15.40,15.46,72200.0
03/30/2004,16:00,15.46,15.46,15.39,15.42,28300.0
03/31/2004,16:00,15.42,15.42,15.12,15.16,91000.0
04/01/2004,16:00,15.25,15.25,14.10,14.93,123700.0
04/02/2004,16:00,15.02,15.02,14.63,14.78,106500.0
04/05/2004,16:00,14.85,14.85,14.56,14.71,144700.0
04/06/2004,16:00,14.70,14.78,14.60,14.68,52000.0
04/07/2004,16:00,14.73,14.75,14.56,14.65,62500.0
04/08/2004,16:00,14.68,14.73,14.40,14.58,33200.0
04/12/2004,16:00,14.67,15.03,14.36,14.75,147000.0
04/13/2004,16:00,14.88,15.36,14.60,14.73,57100.0
04/14/2004,16:00,14.63,14.70,14.15,14.29,165600.0
04/15/2004,16:00,14.39,14.50,14.20,14.32,29100.0
04/16/2004,16:00,14.32,14.34,13.47,14.09,281100.0
04/19/2004,16:00,14.15,14.32,14.09,14.30,102100.0
04/20/2004,16:00,15.21,15.59,15.07,15.51,579200.0
04/21/2004,16:00,15.67,15.99,15.59,15.60,280200.0
04/22/2004,16:00,15.70,16.57,15.35,16.43,497700.0
04/23/2004,16:00,17.13,17.13,15.32,15.54,522200.0
04/26/2004,16:00,15.60,15.83,15.12,15.25,256000.0
04/27/2004,16:00,15.12,15.24,14.69,14.70,98400.0
04/28/2004,16:00,14.58,14.63,14.34,14.54,289400.0
04/29/2004,16:00,14.44,15.02,14.44,15.02,116300.0
04/30/2004,16:00,14.97,15.30,14.81,15.13,192400.0
05/03/2004,16:00,15.21,15.89,15.21,15.81,287300.0
05/04/2004,16:00,15.75,15.75,15.55,15.64,186500.0
05/05/2004,16:00,15.65,16.28,15.55,16.28,159300.0
05/06/2004,16:00,16.20,16.20,15.04,15.19,228100.0
05/07/2004,16:00,15.21,15.25,14.88,15.07,78300.0
05/10/2004,16:00,15.08,15.08,13.97,14.25,328000.0
05/11/2004,16:00,14.34,14.52,14.05,14.17,406100.0
05/12/2004,16:00,14.15,14.29,13.58,14.05,150400.0
05/13/2004,16:00,13.95,14.14,13.61,13.70,69500.0
05/14/2004,16:00,13.70,13.81,13.48,13.56,155000.0
05/17/2004,16:00,13.56,13.57,13.28,13.47,150200.0
05/18/2004,16:00,13.47,13.76,13.08,13.09,354100.0
05/19/2004,16:00,13.10,13.10,12.77,12.93,162500.0
05/20/2004,16:00,12.93,13.13,12.50,12.50,298000.0
05/21/2004,16:00,12.47,12.59,12.26,12.55,119700.0
05/24/2004,16:00,12.55,12.55,11.53,11.90,1157200.0
05/25/2004,16:00,11.90,12.60,11.90,12.29,201100.0
05/26/2004,16:00,12.26,12.87,12.06,12.79,714200.0
05/27/2004,16:00,12.79,13.13,12.79,13.08,212300.0
05/28/2004,16:00,13.08,13.52,13.05,13.47,271700.0
06/01/2004,16:00,13.50,13.50,12.80,12.98,274400.0
06/02/2004,16:00,12.98,13.18,12.69,13.16,117900.0
06/03/2004,16:00,13.13,13.13,12.76,12.84,214200.0
06/04/2004,16:00,12.84,13.02,12.79,13.01,119000.0
06/07/2004,16:00,13.11,13.18,12.65,12.85,158300.0
06/08/2004,16:00,12.85,13.26,12.85,13.26,267100.0
06/09/2004,16:00,13.32,13.47,13.23,13.23,251500.0
06/10/2004,16:00,13.32,13.71,13.30,13.59,607300.0
06/14/2004,16:00,13.57,13.57,13.13,13.28,137000.0
06/15/2004,16:00,13.28,13.28,12.92,13.08,486300.0
