Date,Time,Open,High,Low,Close,Vol
11/20/2003,16:00,16.01,16.06,15.65,15.83,189700.0
11/21/2003,16:00,16.09,16.09,15.56,15.69,312200.0
11/24/2003,16:00,15.83,16.28,15.74,15.88,216100.0
11/25/2003,16:00,15.92,16.35,15.57,15.60,300700.0
11/26/2003,16:00,15.74,16.06,15.65,15.88,209200.0
11/28/2003,16:00,15.83,16.51,15.65,16.51,79500.0
12/01/2003,16:00,16.54,19.30,16.54,18.72,386200.0
12/02/2003,16:00,19.42,20.43,18.55,20.13,318600.0
12/03/2003,16:00,20.49,20.54,18.50,18.50,326100.0
12/04/2003,16:00,18.50,18.50,17.02,17.91,271800.0
12/05/2003,16:00,17.76,17.76,16.94,17.26,126600.0
12/08/2003,16:00,17.23,17.28,16.17,16.92,309800.0
12/09/2003,16:00,16.92,17.17,16.15,16.25,268700.0
12/10/2003,16:00,16.73,16.73,16.17,16.55,170400.0
12/11/2003,16:00,16.55,17.03,16.27,16.51,92300.0
12/12/2003,16:00,16.65,16.92,15.65,16.19,262600.0
12/15/2003,16:00,16.44,16.57,15.52,15.83,449600.0
12/16/2003,16:00,15.97,15.97,14.82,15.38,491600.0
12/17/2003,16:00,15.38,15.56,15.06,15.33,167700.0
12/18/2003,16:00,15.15,15.71,15.15,15.38,54000.0
12/19/2003,16:00,15.42,16.04,15.38,16.03,174300.0
12/22/2003,16:00,15.84,16.84,15.84,16.60,318600.0
12/23/2003,16:00,16.74,16.92,16.33,16.84,160900.0
12/24/2003,16:00,17.01,17.19,16.61,16.83,80400.0
12/26/2003,16:00,16.83,16.83,16.45,16.55,10700.0
12/29/2003,16:00,16.87,16.93,16.51,16.93,73500.0
12/30/2003,16:00,16.87,17.10,16.76,17.01,36900.0
12/31/2003,16:00,17.00,17.14,16.83,17.02,62900.0
01/02/2004,16:00,17.11,17.41,17.01,17.41,45300.0
01/05/2004,16:00,17.18,17.60,17.05,17.50,69300.0
01/06/2004,16:00,17.50,17.50,16.57,17.03,88800.0
01/07/2004,16:00,17.30,17.60,16.96,16.99,157200.0
01/08/2004,16:00,17.25,17.55,16.43,16.55,142400.0
01/09/2004,16:00,16.55,16.99,15.12,15.44,123600.0
01/12/2004,16:00,15.45,16.24,15.39,16.09,132900.0
01/13/2004,16:00,16.02,16.24,15.24,15.38,380100.0
01/14/2004,16:00,15.38,16.33,15.27,16.33,481900.0
01/15/2004,16:00,16.34,17.55,16.34,17.33,217000.0
01/16/2004,16:00,17.55,17.73,17.28,17.64,283600.0
01/20/2004,16:00,17.72,18.52,17.60,18.36,250900.0
01/21/2004,16:00,18.36,18.36,17.55,17.91,190500.0
01/22/2004,16:00,17.87,18.29,17.46,17.51,94100.0
01/23/2004,16:00,17.52,18.27,17.50,17.86,46600.0
01/26/2004,16:00,18.04,18.09,17.60,17.60,81500.0
01/27/2004,16:00,17.82,17.94,16.78,17.37,143900.0
01/28/2004,16:00,17.48,17.51,15.51,15.61,176400.0
01/29/2004,16:00,15.82,16.12,15.20,15.50,141500.0
01/30/2004,16:00,15.69,16.51,15.69,16.28,245200.0
02/02/2004,16:00,16.36,16.44,16.19,16.27,149400.0
02/03/2004,16:00,16.24,16.33,16.16,16.28,161300.0
02/04/2004,16:00,16.28,16.28,15.86,16.05,26900.0
02/05/2004,16:00,16.10,17.07,15.91,16.96,262000.0
02/06/2004,16:00,17.12,18.07,16.92,18.02,314800.0
02/09/2004,16:00,17.96,18.55,17.73,18.50,117300.0
02/10/2004,16:00,18.38,19.00,18.38,18.95,146500.0
02/11/2004,16:00,18.79,19.45,18.59,19.45,146500.0
02/12/2004,16:00,19.40,19.55,19.07,19.16,84700.0
02/13/2004,16:00,19.02,19.86,19.00,19.59,94300.0
02/17/2004,16:00,19.86,20.36,19.68,20.17,56800.0
02/18/2004,16:00,20.14,20.17,19.81,19.86,179700.0
02/19/2004,16:00,19.86,20.13,19.50,19.60,29000.0
02/20/2004,16:00,19.51,19.54,17.87,17.94,45900.0
02/23/2004,16:00,17.96,18.06,16.03,16.37,196700.0
02/24/2004,16:00,16.65,16.87,16.28,16.52,87500.0
02/25/2004,16:00,16.53,17.55,16.35,17.41,55100.0
02/26/2004,16:00,17.26,17.68,17.10,17.57,32200.0
02/27/2004,16:00,17.68,17.82,16.86,17.55,31600.0
03/01/2004,16:00,17.62,18.07,17.47,17.94,20900.0
03/02/2004,16:00,18.07,18.09,17.03,17.91,30200.0
03/03/2004,16:00,18.00,18.00,17.23,17.45,40000.0
03/04/2004,16:00,17.46,17.89,16.92,17.19,31200.0
03/05/2004,16:00,16.87,17.05,16.56,17.04,38200.0
03/08/2004,16:00,17.06,17.06,16.67,16.74,129900.0
03/09/2004,16:00,17.19,17.32,16.43,16.54,186500.0
03/10/2004,16:00,16.55,17.37,16.25,16.98,99000.0
03/11/2004,16:00,16.98,17.06,16.74,16.74,27800.0
03/12/2004,16:00,17.18,17.19,16.74,16.84,16100.0
03/15/2004,16:00,17.00,17.26,16.92,17.10,81000.0
03/16/2004,16:00,17.28,17.37,16.78,16.99,97100.0
03/17/2004,16:00,16.96,17.31,16.84,16.95,89100.0
03/18/2004,16:00,17.12,17.14,16.74,16.75,24200.0
03/19/2004,16:00,16.74,16.90,16.52,16.81,61700.0
03/22/2004,16:00,16.49,16.67,16.42,16.52,40700.0
03/23/2004,16:00,16.46,17.32,16.46,16.65,55700.0
03/24/2004,16:00,17.10,17.10,16.19,16.52,79100.0
03/25/2004,16:00,16.52,16.74,16.27,16.67,56900.0
03/26/2004,16:00,16.89,17.10,16.07,16.67,1211400.0
03/29/2004,16:00,16.74,17.19,16.67,16.73,148200.0
03/30/2004,16:00,16.87,16.92,16.45,16.59,93100.0
03/31/2004,16:00,16.44,16.70,16.31,16.52,53000.0
04/01/2004,16:00,16.46,16.79,16.46,16.66,56600.0
04/02/2004,16:00,16.77,16.77,16.51,16.74,163200.0
04/05/2004,16:00,16.74,16.95,16.60,16.88,105500.0
04/06/2004,16:00,16.65,16.78,16.46,16.65,52500.0
04/07/2004,16:00,16.57,16.69,16.48,16.56,35600.0
04/08/2004,16:00,17.10,17.22,16.65,16.65,78700.0
04/12/2004,16:00,16.74,16.74,16.51,16.74,32700.0
04/13/2004,16:00,16.69,16.78,15.66,15.76,152300.0
04/14/2004,16:00,15.82,16.03,15.74,15.91,61700.0
04/15/2004,16:00,15.92,16.02,15.60,15.65,100500.0
04/16/2004,16:00,15.66,15.79,14.84,14.84,125600.0
04/19/2004,16:00,14.87,15.06,14.58,14.91,152600.0
04/20/2004,16:00,15.06,15.51,14.75,15.22,191100.0
04/21/2004,16:00,15.49,16.21,15.47,15.91,141300.0
04/22/2004,16:00,15.90,16.48,15.69,16.40,51300.0
04/23/2004,16:00,16.34,17.12,16.19,16.94,189600.0
04/26/2004,16:00,16.92,17.13,16.60,17.05,195400.0
04/27/2004,16:00,16.89,17.29,16.84,17.06,300100.0
04/28/2004,16:00,17.07,17.19,16.83,17.13,192600.0
04/29/2004,16:00,16.94,17.35,16.91,17.01,89200.0
04/30/2004,16:00,17.10,17.10,15.74,16.03,89900.0
05/03/2004,16:00,16.08,16.96,16.03,16.93,62800.0
05/04/2004,16:00,16.93,18.40,16.69,18.00,371000.0
05/05/2004,16:00,18.00,18.26,17.58,17.82,144300.0
05/06/2004,16:00,17.65,18.08,17.30,17.91,133400.0
05/07/2004,16:00,17.64,17.91,16.91,16.92,116100.0
05/10/2004,16:00,16.96,17.28,15.98,16.54,273400.0
05/11/2004,16:00,16.46,17.31,15.81,17.12,250600.0
05/12/2004,16:00,17.10,17.41,16.86,17.35,135500.0
05/13/2004,16:00,17.10,17.34,16.84,17.09,77300.0
05/14/2004,16:00,17.10,17.19,16.36,16.51,89800.0
05/17/2004,16:00,16.33,16.33,15.93,15.94,85500.0
05/18/2004,16:00,15.94,16.81,15.51,15.56,199800.0
05/19/2004,16:00,15.65,16.65,15.52,16.14,208600.0
05/20/2004,16:00,16.24,16.24,15.59,15.77,94100.0
05/21/2004,16:00,16.05,16.05,15.73,15.92,79700.0
05/24/2004,16:00,16.06,16.29,15.85,16.09,313700.0
05/25/2004,16:00,15.59,16.19,15.57,16.07,291700.0
05/26/2004,16:00,15.93,16.34,15.79,16.20,102900.0
05/27/2004,16:00,16.26,16.30,15.83,16.28,256200.0
05/28/2004,16:00,16.06,16.20,15.45,15.92,96200.0
06/01/2004,16:00,15.95,16.13,15.83,15.91,64200.0
06/02/2004,16:00,15.99,16.00,15.56,15.63,43700.0
06/03/2004,16:00,15.53,15.60,15.03,15.24,162100.0
06/04/2004,16:00,15.25,15.72,14.96,15.03,109100.0
06/07/2004,16:00,16.29,16.92,15.97,16.78,906900.0
06/08/2004,16:00,16.82,17.23,16.44,17.18,456800.0
06/09/2004,16:00,17.21,17.43,16.92,17.21,303200.0
06/10/2004,16:00,17.19,17.24,16.92,17.12,222300.0
06/14/2004,16:00,16.92,17.18,16.74,16.87,100500.0
06/15/2004,16:00,17.00,17.01,16.51,16.84,167900.0
06/16/2004,16:00,17.01,17.05,16.79,16.90,280900.0
06/17/2004,16:00,17.01,17.13,16.81,17.12,262600.0
06/18/2004,16:00,17.05,17.14,16.59,17.14,202900.0
06/21/2004,16:00,17.14,17.19,16.85,17.11,286600.0
06/22/2004,16:00,17.13,17.19,16.92,17.10,170100.0
06/23/2004,16:00,17.10,17.23,17.03,17.19,191400.0
06/24/2004,16:00,17.19,17.19,16.89,17.11,137700.0
06/25/2004,16:00,17.13,17.13,13.30,16.71,1898100.0
06/28/2004,16:00,16.74,16.74,16.12,16.27,178600.0
06/29/2004,16:00,16.27,16.46,16.12,16.46,143900.0
06/30/2004,16:00,16.50,16.57,16.18,16.30,347500.0
07/01/2004,16:00,16.23,16.23,15.54,15.54,312500.0
07/02/2004,16:00,15.43,15.43,14.64,14.86,437200.0
07/06/2004,16:00,14.72,14.72,14.24,14.27,368600.0
07/07/2004,16:00,14.41,15.29,14.36,15.22,566300.0
07/08/2004,16:00,15.01,15.01,14.55,14.58,195300.0
07/09/2004,16:00,14.61,14.99,14.57,14.74,244500.0
07/12/2004,16:00,14.61,14.70,14.20,14.32,227200.0
07/13/2004,16:00,14.27,14.83,14.16,14.67,391600.0
07/14/2004,16:00,14.67,14.72,14.15,14.42,294300.0
07/15/2004,16:00,14.38,14.61,14.34,14.40,837200.0
07/16/2004,16:00,15.85,16.61,15.60,16.21,1084400.0
07/19/2004,16:00,16.07,16.08,15.79,15.90,576400.0
07/20/2004,16:00,16.10,16.10,15.60,15.92,1254600.0
07/21/2004,16:00,15.94,16.28,15.79,15.83,392000.0
07/22/2004,16:00,15.79,15.99,15.60,15.77,444100.0
07/23/2004,16:00,15.83,16.03,15.64,16.01,403000.0
07/26/2004,16:00,16.06,16.13,15.97,16.07,558600.0
07/27/2004,16:00,16.07,16.10,15.74,15.85,180900.0
07/28/2004,16:00,15.82,15.89,15.29,15.43,298100.0
07/29/2004,16:00,15.55,15.71,15.29,15.51,230000.0
07/30/2004,16:00,15.38,15.74,15.38,15.74,175300.0
08/02/2004,16:00,15.60,15.60,15.38,15.51,238300.0
08/03/2004,16:00,15.55,15.76,15.30,15.44,247500.0
