Date,Time,Open,High,Low,Close,Vol
04/03/1990,16:00,1.95,2.22,1.95,2.15,12100398.75
04/04/1990,16:00,2.20,2.35,2.17,2.26,3201598.125
04/05/1990,16:00,2.26,2.26,2.15,2.17,1045800.0
04/06/1990,16:00,2.13,2.20,2.04,2.17,829198.125
04/09/1990,16:00,2.17,2.28,2.11,2.28,223200.0
04/10/1990,16:00,2.31,2.31,2.24,2.24,252202.5
04/11/1990,16:00,2.28,2.4,2.26,2.28,717198.75
04/12/1990,16:00,2.31,2.35,2.26,2.31,286998.75
04/16/1990,16:00,2.35,2.4,2.31,2.37,123198.75
04/17/1990,16:00,2.33,2.4,2.31,2.4,214402.5
04/18/1990,16:00,2.35,2.4,2.31,2.31,405000.0
04/19/1990,16:00,2.35,2.35,2.26,2.26,91800.0
04/20/1990,16:00,2.35,2.35,2.17,2.22,226800.0
04/23/1990,16:00,2.22,2.22,2.15,2.17,160998.75
04/24/1990,16:00,2.22,2.24,2.17,2.22,162202.5
04/25/1990,16:00,2.24,2.24,2.17,2.17,356602.5
04/26/1990,16:00,2.22,2.22,2.17,2.20,150198.75
04/27/1990,16:00,2.24,2.24,2.11,2.13,216202.5
04/30/1990,16:00,2.17,2.20,2.13,2.20,99202.5
05/01/1990,16:00,2.24,2.26,2.22,2.26,761602.5
05/02/1990,16:00,2.20,2.24,2.20,2.20,14400.0
05/03/1990,16:00,2.26,2.26,2.20,2.26,139798.125
05/04/1990,16:00,2.24,2.37,2.24,2.35,133402.5
05/07/1990,16:00,2.31,2.51,2.31,2.51,175398.75
05/08/1990,16:00,2.46,2.48,2.42,2.48,83002.5
05/09/1990,16:00,2.44,2.44,2.37,2.42,176400.0
05/10/1990,16:00,2.37,2.42,2.35,2.4,88402.5
05/11/1990,16:00,2.4,2.48,2.35,2.44,182998.125
05/14/1990,16:00,2.44,2.53,2.44,2.48,248400.0
05/15/1990,16:00,2.48,2.55,2.46,2.46,168198.75
05/16/1990,16:00,2.53,2.53,2.4,2.42,211798.125
05/17/1990,16:00,2.42,2.46,2.42,2.46,148798.125
05/18/1990,16:00,2.42,2.46,2.42,2.46,857998.125
05/21/1990,16:00,2.4,2.62,2.4,2.62,520402.5
05/22/1990,16:00,2.66,2.71,2.62,2.68,240198.75
05/23/1990,16:00,2.62,2.66,2.62,2.62,252202.5
05/24/1990,16:00,2.62,2.66,2.62,2.66,168198.75
05/25/1990,16:00,2.51,2.53,2.33,2.53,1197000.0
05/29/1990,16:00,2.35,2.57,2.31,2.48,522000.0
05/30/1990,16:00,2.48,2.53,2.4,2.4,187402.5
05/31/1990,16:00,2.4,2.44,2.35,2.35,37198.125
06/01/1990,16:00,2.35,2.44,2.35,2.44,42198.75
06/04/1990,16:00,2.4,2.44,2.35,2.44,124402.5
06/05/1990,16:00,2.35,2.37,2.35,2.35,87198.75
06/06/1990,16:00,2.35,2.4,2.33,2.4,190198.125
06/07/1990,16:00,2.33,2.4,2.33,2.33,7402.5
06/08/1990,16:00,2.33,2.35,2.28,2.28,189000.0
06/11/1990,16:00,2.26,2.31,2.24,2.24,48802.5
06/12/1990,16:00,2.26,2.35,2.26,2.35,131400.0
06/13/1990,16:00,2.26,2.31,2.26,2.28,8398.125
06/14/1990,16:00,2.33,2.35,2.31,2.35,250998.75
06/15/1990,16:00,2.35,2.4,2.31,2.31,33598.125
06/18/1990,16:00,2.35,2.4,2.31,2.31,17398.125
06/19/1990,16:00,2.35,2.35,2.31,2.31,4798.125
06/20/1990,16:00,2.35,2.59,2.35,2.48,391798.125
06/21/1990,16:00,2.48,2.55,2.48,2.48,79998.75
06/22/1990,16:00,2.53,2.59,2.48,2.59,59602.5
06/25/1990,16:00,2.59,2.59,2.44,2.48,280198.125
06/26/1990,16:00,2.53,2.53,2.4,2.4,106402.5
06/27/1990,16:00,2.42,2.44,2.4,2.44,128598.75
06/28/1990,16:00,2.37,2.44,2.35,2.44,121398.75
06/29/1990,16:00,2.35,2.44,2.35,2.37,146998.125
07/02/1990,16:00,2.44,2.44,2.44,2.44,48600.0
07/03/1990,16:00,2.44,2.46,2.44,2.44,19198.125
07/05/1990,16:00,2.4,2.4,2.35,2.4,76398.75
07/06/1990,16:00,2.35,2.4,2.33,2.4,586800.0
07/09/1990,16:00,2.37,2.37,2.31,2.37,124998.75
07/10/1990,16:00,2.31,2.35,2.31,2.33,187998.75
07/11/1990,16:00,2.31,2.4,2.31,2.4,814798.125
07/12/1990,16:00,2.4,2.68,2.35,2.53,1805602.5
07/13/1990,16:00,2.59,2.71,2.53,2.68,1379598.75
07/16/1990,16:00,2.71,2.73,2.62,2.66,333000.0
07/17/1990,16:00,2.71,2.73,2.55,2.57,486202.5
07/18/1990,16:00,2.53,2.57,2.48,2.48,148398.75
07/19/1990,16:00,2.48,2.53,2.44,2.48,50400.0
07/20/1990,16:00,2.44,2.46,2.44,2.46,114598.125
07/23/1990,16:00,2.53,2.57,2.44,2.53,103798.125
07/24/1990,16:00,2.57,2.57,2.48,2.57,64800.0
07/25/1990,16:00,2.48,2.57,2.48,2.53,119002.5
07/26/1990,16:00,2.53,2.57,2.53,2.55,180000.0
07/27/1990,16:00,2.53,2.57,2.53,2.53,29002.5
07/30/1990,16:00,2.48,2.53,2.48,2.53,46800.0
07/31/1990,16:00,2.44,2.53,2.44,2.53,174802.5
08/01/1990,16:00,2.53,2.57,2.48,2.48,85798.125
08/02/1990,16:00,2.48,2.59,2.48,2.57,247798.125
08/03/1990,16:00,2.53,2.57,2.48,2.48,603000.0
08/06/1990,16:00,2.48,2.48,2.26,2.28,433800.0
08/07/1990,16:00,2.4,2.44,2.31,2.35,214998.75
08/08/1990,16:00,2.37,2.48,2.31,2.4,103398.75
08/09/1990,16:00,2.44,2.48,2.4,2.4,64198.125
