Date,Time,Open,High,Low,Close,Vol
04/22/1999,16:00,13.46,15.19,13.40,15.19,4118300.0
04/23/1999,16:00,14.64,15.64,14.64,15.42,698000.0
04/26/1999,16:00,15.31,15.59,14.97,15.31,331700.0
04/27/1999,16:00,15.08,15.19,14.86,15.08,252500.0
04/28/1999,16:00,15.36,15.92,15.19,15.92,383100.0
04/29/1999,16:00,16.31,17.20,15.98,16.87,523700.0
04/30/1999,16:00,17.65,17.65,17.10,17.43,221000.0
05/03/1999,16:00,17.32,17.54,16.93,17.32,205200.0
05/04/1999,16:00,17.32,17.99,17.32,17.93,523700.0
05/05/1999,16:00,17.87,17.93,17.60,17.93,127600.0
05/06/1999,16:00,17.93,17.99,17.65,17.99,108900.0
05/07/1999,16:00,17.99,19.11,17.77,18.77,85600.0
05/10/1999,16:00,19.11,19.22,18.44,18.66,84600.0
05/11/1999,16:00,18.44,18.66,17.93,18.04,54600.0
05/12/1999,16:00,18.10,19.27,17.93,18.71,42200.0
05/13/1999,16:00,18.54,18.77,17.99,18.37,208800.0
05/14/1999,16:00,17.65,17.87,17.32,17.32,58100.0
05/17/1999,16:00,17.43,17.65,17.20,17.65,54300.0
05/18/1999,16:00,17.87,18.15,17.43,17.77,138000.0
05/19/1999,16:00,17.65,19.11,17.65,18.99,323600.0
05/20/1999,16:00,19.44,19.89,18.88,18.94,289200.0
05/21/1999,16:00,18.88,19.11,18.21,18.82,126600.0
05/24/1999,16:00,18.99,19.44,17.77,17.99,133500.0
05/25/1999,16:00,17.77,18.21,17.77,17.87,89600.0
05/26/1999,16:00,17.99,17.99,17.26,17.87,42900.0
05/27/1999,16:00,18.04,18.54,17.87,18.21,90100.0
05/28/1999,16:00,18.10,18.54,17.87,18.32,8700.0
06/01/1999,16:00,17.99,18.54,17.87,18.21,23500.0
06/02/1999,16:00,17.93,19.11,17.93,19.11,88200.0
06/03/1999,16:00,19.44,19.55,18.21,19.44,74300.0
06/04/1999,16:00,18.99,20.33,18.99,20.11,53600.0
06/07/1999,16:00,20.06,20.11,19.55,19.55,19200.0
06/08/1999,16:00,19.89,19.89,18.77,18.77,26500.0
06/09/1999,16:00,18.66,19.27,18.66,18.94,18400.0
06/10/1999,16:00,19.27,19.66,18.94,19.22,8500.0
06/11/1999,16:00,19.66,19.66,18.77,19.33,36400.0
06/14/1999,16:00,19.44,19.55,17.87,17.87,18600.0
06/15/1999,16:00,17.87,17.87,15.64,17.10,71000.0
06/16/1999,16:00,16.76,17.87,16.76,17.20,20900.0
06/17/1999,16:00,17.77,17.87,17.43,17.87,7100.0
06/18/1999,16:00,17.77,18.32,17.77,18.10,10500.0
06/21/1999,16:00,18.32,18.54,18.21,18.54,31100.0
06/22/1999,16:00,18.54,19.66,18.32,19.22,190800.0
06/23/1999,16:00,19.22,19.22,18.77,18.99,55600.0
06/24/1999,16:00,18.99,19.55,18.88,18.88,10600.0
06/25/1999,16:00,18.88,20.56,18.88,19.44,39600.0
06/28/1999,16:00,19.83,21.12,19.78,20.56,140100.0
06/29/1999,16:00,20.56,21.45,20.45,21.45,109000.0
06/30/1999,16:00,21.45,23.41,21.45,22.79,1016000.0
07/01/1999,16:00,22.84,22.84,20.78,20.78,171200.0
07/02/1999,16:00,20.78,21.67,20.78,21.00,71000.0
07/06/1999,16:00,21.57,21.57,21.00,21.23,27100.0
07/07/1999,16:00,21.23,21.57,21.12,21.23,16200.0
07/08/1999,16:00,21.23,21.34,20.56,20.56,109800.0
07/09/1999,16:00,20.56,20.78,20.00,20.06,79500.0
07/12/1999,16:00,19.89,20.06,18.21,18.99,28800.0
07/13/1999,16:00,19.11,19.11,17.99,18.32,87600.0
07/14/1999,16:00,18.54,18.54,17.87,18.04,147100.0
07/15/1999,16:00,17.93,18.32,17.77,18.10,316200.0
07/16/1999,16:00,18.29,18.99,18.21,18.99,100900.0
07/19/1999,16:00,18.77,20.23,18.77,20.00,61800.0
07/20/1999,16:00,19.89,21.00,19.89,20.90,133400.0
07/21/1999,16:00,20.78,22.79,20.67,22.57,138100.0
07/22/1999,16:00,22.34,22.79,21.90,22.01,147400.0
07/23/1999,16:00,21.84,21.90,20.11,20.50,158100.0
07/26/1999,16:00,20.33,21.00,19.89,20.33,56500.0
07/27/1999,16:00,20.00,20.56,20.00,20.45,7900.0
07/28/1999,16:00,20.28,20.78,20.28,20.67,114000.0
07/29/1999,16:00,20.39,20.56,20.11,20.11,203000.0
07/30/1999,16:00,20.23,20.67,20.23,20.67,61400.0
08/02/1999,16:00,20.45,21.45,20.45,20.56,43700.0
08/03/1999,16:00,20.67,21.00,20.33,21.00,10700.0
08/04/1999,16:00,20.23,21.45,20.23,21.00,30500.0
08/05/1999,16:00,20.56,20.90,20.23,20.23,5000.0
08/06/1999,16:00,20.23,20.23,19.44,19.66,17500.0
08/09/1999,16:00,19.44,19.66,19.33,19.55,26700.0
08/10/1999,16:00,19.44,19.44,17.65,17.87,70200.0
08/11/1999,16:00,18.32,18.44,17.54,17.77,88600.0
08/12/1999,16:00,17.82,17.85,16.31,16.98,107300.0
08/13/1999,16:00,17.20,17.20,16.76,16.98,337200.0
08/16/1999,16:00,16.98,18.10,16.87,17.82,249000.0
08/17/1999,16:00,17.68,17.77,17.43,17.77,22200.0
08/18/1999,16:00,17.77,17.99,17.77,17.77,21000.0
08/19/1999,16:00,17.93,17.93,17.77,17.87,28300.0
08/20/1999,16:00,17.77,17.87,17.54,17.77,6500.0
08/23/1999,16:00,17.82,17.82,17.65,17.77,3900.0
08/24/1999,16:00,17.65,17.82,17.65,17.65,5400.0
08/25/1999,16:00,17.68,17.68,17.20,17.20,3700.0
08/26/1999,16:00,17.20,17.43,16.09,16.26,435200.0
08/27/1999,16:00,16.76,17.10,16.31,17.10,162100.0
08/30/1999,16:00,17.15,17.32,16.65,17.20,76100.0
08/31/1999,16:00,17.32,17.87,16.98,17.82,117500.0
09/01/1999,16:00,17.99,18.88,17.77,18.44,43100.0
09/02/1999,16:00,18.54,18.77,18.44,18.77,11200.0
