Date,Time,Open,High,Low,Close,Vol
12/31/1987,16:00,2.18,2.20,2.18,2.20,9600.0
01/04/1988,16:00,2.24,2.24,2.22,2.22,20400.0
01/05/1988,16:00,2.29,2.29,2.29,2.29,7200.0
01/06/1988,16:00,2.33,2.33,2.32,2.32,11600.0
01/07/1988,16:00,2.32,2.32,2.32,2.32,400.0
01/08/1988,16:00,2.33,2.33,2.32,2.32,36000.0
01/11/1988,16:00,2.31,2.33,2.31,2.33,12400.0
01/12/1988,16:00,2.35,2.37,2.34,2.35,314000.0
01/13/1988,16:00,2.35,2.42,2.35,2.42,121600.0
01/14/1988,16:00,2.44,2.52,2.44,2.52,18000.0
01/15/1988,16:00,2.58,2.59,2.52,2.59,41200.0
01/18/1988,16:00,2.64,2.72,2.63,2.72,122800.0
01/19/1988,16:00,2.72,2.72,2.66,2.68,28400.0
01/20/1988,16:00,2.66,2.66,2.51,2.51,14400.0
01/21/1988,16:00,2.54,2.55,2.51,2.55,7600.0
01/22/1988,16:00,2.55,2.62,2.55,2.62,29600.0
01/25/1988,16:00,2.62,2.62,2.59,2.59,8000.0
01/26/1988,16:00,2.55,2.57,2.55,2.56,21200.0
01/27/1988,16:00,2.53,2.53,2.47,2.47,10400.0
01/28/1988,16:00,2.47,2.48,2.47,2.47,3600.0
01/29/1988,16:00,2.48,2.53,2.47,2.53,28000.0
02/01/1988,16:00,2.56,2.56,2.52,2.52,8400.0
02/02/1988,16:00,2.51,2.51,2.34,2.36,56800.0
02/03/1988,16:00,2.38,2.42,2.37,2.38,16000.0
02/04/1988,16:00,2.36,2.40,2.33,2.33,27600.0
02/05/1988,16:00,2.35,2.43,2.35,2.42,15600.0
02/08/1988,16:00,2.44,2.47,2.44,2.47,18400.0
02/09/1988,16:00,2.49,2.50,2.49,2.50,26800.0
02/10/1988,16:00,2.53,2.53,2.53,2.53,2800.0
02/11/1988,16:00,2.54,2.62,2.54,2.62,55200.0
02/12/1988,16:00,2.64,2.64,2.64,2.64,29600.0
02/16/1988,16:00,2.63,2.70,2.63,2.67,20400.0
02/17/1988,16:00,2.67,2.75,2.66,2.74,57600.0
02/18/1988,16:00,2.78,2.94,2.78,2.90,44400.0
02/19/1988,16:00,2.92,2.92,2.75,2.84,26000.0
02/22/1988,16:00,2.81,2.84,2.81,2.84,12000.0
02/23/1988,16:00,2.85,2.86,2.80,2.80,38000.0
02/24/1988,16:00,2.75,2.80,2.75,2.80,15200.0
02/25/1988,16:00,2.85,2.85,2.81,2.82,19200.0
02/26/1988,16:00,2.80,2.82,2.80,2.80,5200.0
02/29/1988,16:00,2.86,2.86,2.86,2.86,19200.0
03/01/1988,16:00,2.87,2.94,2.87,2.93,23600.0
03/02/1988,16:00,2.95,2.97,2.93,2.93,64400.0
