Date,Time,Open,High,Low,Close,Vol
04/05/2007,16:00,6.65,6.98,6.27,6.97,641100.0
04/09/2007,16:00,7.05,7.35,7.02,7.3,655400.0
04/10/2007,16:00,7.1,7.39,6.92,7.15,727400.0
04/11/2007,16:00,7.15,7.31,7.08,7.16,292100.0
04/12/2007,16:00,7.16,7.17,6.62,6.65,465700.0
04/13/2007,16:00,6.7,6.78,6.55,6.55,241300.0
04/16/2007,16:00,6.52,6.52,6.16,6.17,579100.0
04/17/2007,16:00,6.03,6.2,5.9,6.13,422900.0
04/18/2007,16:00,6.05,6.14,5.85,5.97,321000.0
04/19/2007,16:00,5.87,5.9,5.76,5.85,182400.0
04/20/2007,16:00,5.77,5.8,5.6,5.71,325900.0
04/23/2007,16:00,5.73,5.73,5.53,5.53,288300.0
04/24/2007,16:00,5.48,5.49,5.05,5.15,348200.0
04/25/2007,16:00,5.2,6.4,5.16,6.39,777300.0
04/26/2007,16:00,6.34,6.37,6.06,6.3,343700.0
04/27/2007,16:00,6.1,6.15,5.65,5.82,212500.0
04/30/2007,16:00,5.85,5.9,5.65,5.87,176600.0
05/01/2007,16:00,5.88,6.5,5.88,6.44,484300.0
05/02/2007,16:00,6.28,6.38,6.12,6.22,132000.0
05/03/2007,16:00,6.25,6.25,5.81,5.95,202000.0
05/04/2007,16:00,5.91,5.99,5.82,5.91,199300.0
05/07/2007,16:00,5.85,5.85,5.56,5.6,260800.0
05/08/2007,16:00,5.32,5.4,5.19,5.22,284500.0
05/09/2007,16:00,5.49,5.52,5.3,5.41,221000.0
05/10/2007,16:00,5.4,5.4,5.06,5.1,195600.0
05/11/2007,16:00,5.07,5.25,5.04,5.2,100100.0
05/14/2007,16:00,5.25,5.3,5.05,5.11,86000.0
05/15/2007,16:00,5.06,5.08,4.56,4.59,473600.0
05/16/2007,16:00,4.6,5.24,4.27,5.05,777900.0
05/17/2007,16:00,5.0,5.1,4.65,4.98,132400.0
05/18/2007,16:00,5.01,5.1,4.84,4.92,170700.0
05/21/2007,16:00,4.95,5.4,4.95,5.35,231100.0
05/22/2007,16:00,5.35,5.72,5.17,5.2,498100.0
05/23/2007,16:00,5.06,5.3,4.96,5.16,248700.0
05/24/2007,16:00,5.1,5.22,5.06,5.16,87900.0
05/25/2007,16:00,5.14,5.15,4.95,5.0,113700.0
05/29/2007,16:00,4.95,5.0,4.79,4.9,105300.0
05/30/2007,16:00,4.74,4.85,4.55,4.73,174600.0
05/31/2007,16:00,4.62,4.75,4.6,4.75,251000.0
06/01/2007,16:00,4.84,4.94,4.72,4.75,219700.0
06/04/2007,16:00,4.61,4.65,4.5,4.57,277700.0
06/05/2007,16:00,4.6,4.65,4.36,4.53,300800.0
06/06/2007,16:00,4.53,4.54,4.2,4.3,457500.0
06/07/2007,16:00,4.18,4.25,3.94,4.0,503200.0
06/08/2007,16:00,3.91,3.92,3.71,3.76,474200.0
06/11/2007,16:00,3.73,4.12,3.73,4.12,296200.0
06/12/2007,16:00,4.17,4.17,3.94,4.05,232600.0
06/13/2007,16:00,4.0,4.05,4.0,4.0,50600.0
06/14/2007,16:00,3.95,4.04,3.92,4.0,118000.0
06/15/2007,16:00,4.05,4.12,4.01,4.01,120400.0
06/18/2007,16:00,3.83,3.99,3.83,3.9,151400.0
06/19/2007,16:00,3.9,4.05,3.9,4.0,136000.0
06/20/2007,16:00,4.0,4.35,4.0,4.15,249800.0
06/21/2007,16:00,4.12,4.22,4.1,4.15,127900.0
06/22/2007,16:00,4.15,4.15,3.98,4.0,47800.0
06/25/2007,16:00,4.02,4.04,3.95,3.95,72800.0
06/26/2007,16:00,4.0,4.13,3.97,4.0,145400.0
06/27/2007,16:00,4.05,4.1,4.0,4.1,56900.0
06/28/2007,16:00,4.09,4.19,4.09,4.15,43600.0
06/29/2007,16:00,4.15,4.15,3.95,4.0,126900.0
07/02/2007,16:00,4.05,4.05,3.98,3.99,57900.0
07/03/2007,16:00,4.0,4.04,3.9,3.93,121300.0
