Date,Time,Open,High,Low,Close,Vol
08/01/2007,16:00,15.57,15.61,15.35,15.42,140400.0
08/02/2007,16:00,15.44,15.91,15.25,15.64,73700.0
08/03/2007,16:00,15.57,15.87,15.27,15.40,241800.0
08/06/2007,16:00,15.35,15.46,14.97,15.26,490500.0
08/07/2007,16:00,15.26,15.51,15.11,15.51,62600.0
08/08/2007,16:00,15.57,15.85,15.20,15.39,63800.0
08/09/2007,16:00,15.25,15.32,15.06,15.12,87100.0
08/10/2007,16:00,15.25,15.60,15.23,15.48,76400.0
08/13/2007,16:00,15.48,15.55,15.25,15.25,128500.0
08/14/2007,16:00,15.26,15.52,15.15,15.15,97400.0
08/15/2007,16:00,15.15,15.18,15.04,15.11,87100.0
08/16/2007,16:00,15.04,15.17,13.74,14.63,427800.0
08/17/2007,16:00,14.90,15.18,14.53,15.18,197800.0
08/20/2007,16:00,15.18,15.19,14.89,14.92,34200.0
08/21/2007,16:00,14.76,14.99,14.75,14.88,31700.0
08/22/2007,16:00,14.83,15.32,14.81,15.25,50100.0
08/23/2007,16:00,15.19,15.40,14.68,15.11,43400.0
08/24/2007,16:00,15.15,15.23,14.71,15.08,97300.0
08/27/2007,16:00,14.97,14.97,14.74,14.88,75000.0
08/28/2007,16:00,14.83,15.10,14.56,14.95,36000.0
08/29/2007,16:00,14.94,15.06,14.79,14.96,33200.0
08/30/2007,16:00,14.90,15.13,14.65,15.01,38200.0
08/31/2007,16:00,15.08,15.46,15.04,15.26,94900.0
09/04/2007,16:00,15.46,15.47,15.08,15.25,89500.0
09/05/2007,16:00,15.40,15.44,15.25,15.40,47400.0
09/06/2007,16:00,15.42,15.46,15.26,15.38,19700.0
09/07/2007,16:00,15.25,15.60,15.18,15.60,63600.0
09/10/2007,16:00,15.91,16.19,15.60,15.67,257300.0
09/11/2007,16:00,15.91,16.81,15.82,16.43,373600.0
09/12/2007,16:00,16.43,17.10,16.43,17.02,384900.0
09/13/2007,16:00,16.99,17.23,16.89,16.98,112400.0
09/14/2007,16:00,16.98,17.84,16.98,17.52,180200.0
09/17/2007,16:00,17.43,17.52,17.08,17.33,138900.0
09/18/2007,16:00,17.33,17.38,16.93,17.33,96300.0
09/19/2007,16:00,17.33,18.02,17.05,17.09,146600.0
09/20/2007,16:00,17.05,17.75,16.69,17.20,172800.0
09/21/2007,16:00,17.32,17.50,17.05,17.19,144000.0
09/24/2007,16:00,17.19,17.19,16.47,16.73,145000.0
09/25/2007,16:00,16.64,16.81,16.52,16.71,115900.0
09/26/2007,16:00,16.91,17.50,16.90,17.23,200300.0
09/27/2007,16:00,17.34,17.48,16.71,17.10,141800.0
09/28/2007,16:00,17.19,17.37,16.64,16.80,868200.0
10/01/2007,16:00,16.62,17.18,16.41,17.18,177700.0
10/02/2007,16:00,17.29,17.68,17.26,17.47,125400.0
10/03/2007,16:00,17.45,18.25,17.37,17.47,253700.0
10/04/2007,16:00,17.45,17.68,17.42,17.61,96500.0
10/05/2007,16:00,17.76,17.81,17.54,17.61,110300.0
10/08/2007,16:00,17.61,18.30,17.23,17.68,65200.0
10/09/2007,16:00,17.66,17.92,17.32,17.75,88600.0
10/10/2007,16:00,17.75,18.06,17.52,17.79,45100.0
10/11/2007,16:00,17.81,18.05,17.71,17.73,69500.0
10/12/2007,16:00,17.73,18.02,17.54,17.83,114700.0
10/15/2007,16:00,17.88,17.95,17.35,17.52,126000.0
10/16/2007,16:00,17.52,17.64,17.38,17.59,29900.0
10/17/2007,16:00,17.71,17.71,17.36,17.68,101000.0
10/18/2007,16:00,17.66,18.00,17.09,17.84,145900.0
10/19/2007,16:00,17.77,17.88,17.29,17.52,105400.0
10/22/2007,16:00,17.33,18.02,17.29,17.47,85500.0
10/23/2007,16:00,17.70,17.98,17.32,17.65,81300.0
10/24/2007,16:00,17.55,17.64,17.05,17.40,150600.0
10/25/2007,16:00,17.33,18.05,17.21,17.47,113300.0
10/26/2007,16:00,17.78,18.02,17.62,17.97,104300.0
10/29/2007,16:00,17.92,17.99,17.81,17.92,48500.0
10/30/2007,16:00,17.88,18.02,17.61,18.02,267900.0
10/31/2007,16:00,18.02,18.20,17.68,17.95,115600.0
11/01/2007,16:00,17.75,18.11,17.71,17.85,122200.0
11/02/2007,16:00,17.98,18.06,17.66,17.91,69100.0
11/05/2007,16:00,17.70,18.20,16.98,17.50,125700.0
11/06/2007,16:00,18.59,18.72,18.14,18.43,575100.0
11/07/2007,16:00,18.54,18.65,17.95,18.02,200600.0
11/08/2007,16:00,17.97,18.58,17.89,17.99,148700.0
11/09/2007,16:00,17.94,18.17,17.62,17.94,98400.0
11/12/2007,16:00,17.88,18.35,17.82,18.02,101300.0
11/13/2007,16:00,18.05,18.12,17.81,18.02,89300.0
11/14/2007,16:00,18.08,18.51,17.95,18.05,38100.0
11/15/2007,16:00,18.02,18.59,17.82,18.00,52700.0
11/16/2007,16:00,18.07,18.07,17.38,17.69,74200.0
11/19/2007,16:00,17.55,17.92,17.23,17.43,96100.0
11/20/2007,16:00,17.35,17.52,17.04,17.29,117400.0
11/21/2007,16:00,17.28,17.81,17.28,17.43,42600.0
11/23/2007,16:00,17.47,17.61,17.46,17.54,31200.0
11/26/2007,16:00,17.60,17.72,17.09,17.14,67600.0
11/27/2007,16:00,17.33,17.75,17.25,17.31,112900.0
11/28/2007,16:00,17.32,17.71,17.32,17.42,96100.0
11/29/2007,16:00,17.44,18.05,17.32,17.54,105300.0
11/30/2007,16:00,17.75,17.85,17.09,17.26,102400.0
12/03/2007,16:00,17.32,17.62,17.12,17.42,78400.0
12/04/2007,16:00,17.32,18.11,17.02,17.74,103500.0
12/05/2007,16:00,17.99,17.99,17.29,17.57,74100.0
12/06/2007,16:00,17.57,18.15,17.53,18.07,59000.0
12/07/2007,16:00,18.13,18.23,17.76,18.06,60000.0
12/10/2007,16:00,18.12,18.12,17.95,18.03,45900.0
12/11/2007,16:00,18.03,18.06,17.14,17.19,68300.0
12/12/2007,16:00,17.54,17.99,17.14,17.61,44100.0
12/13/2007,16:00,17.49,18.03,17.38,17.93,43400.0
12/14/2007,16:00,17.75,18.02,17.36,17.43,48400.0
12/17/2007,16:00,17.36,17.79,17.36,17.47,51100.0
