Date,Time,Open,High,Low,Close,Vol
08/18/1995,16:00,1.18,1.96,1.18,1.96,250800.0
08/21/1995,16:00,1.81,2.14,1.81,1.85,124000.0
08/22/1995,16:00,2.03,2.03,1.66,1.92,96000.0
08/23/1995,16:00,1.66,1.66,1.66,1.66,8000.0
08/24/1995,16:00,1.66,1.92,1.66,1.92,20000.0
08/25/1995,16:00,1.66,1.92,1.66,1.92,36800.0
08/28/1995,16:00,1.66,1.74,1.66,1.66,18800.0
08/29/1995,16:00,1.66,1.70,1.66,1.66,20800.0
08/30/1995,16:00,1.85,1.85,1.77,1.77,22800.0
08/31/1995,16:00,1.77,1.77,1.77,1.77,0.0
09/01/1995,16:00,1.85,1.85,1.85,1.85,800.0
09/05/1995,16:00,1.62,1.85,1.62,1.85,16000.0
09/06/1995,16:00,1.62,1.85,1.62,1.85,2800.0
09/07/1995,16:00,1.85,1.85,1.85,1.85,22800.0
09/08/1995,16:00,1.62,1.62,1.62,1.62,10000.0
09/11/1995,16:00,1.62,1.62,1.62,1.62,800.0
09/12/1995,16:00,1.92,1.92,1.92,1.92,800.0
09/13/1995,16:00,1.92,1.92,1.92,1.92,0.0
09/14/1995,16:00,1.62,1.62,1.62,1.62,800.0
09/15/1995,16:00,1.62,1.62,1.62,1.62,0.0
09/18/1995,16:00,1.62,1.62,1.62,1.62,0.0
09/19/1995,16:00,1.62,1.62,1.62,1.62,800.0
09/20/1995,16:00,1.62,1.62,1.62,1.62,0.0
09/21/1995,16:00,1.62,1.62,1.62,1.62,0.0
09/22/1995,16:00,1.78,1.78,1.78,1.78,20000.0
09/25/1995,16:00,1.78,1.78,1.78,1.78,0.0
09/26/1995,16:00,1.78,1.78,1.78,1.78,0.0
09/27/1995,16:00,1.62,1.62,1.62,1.62,10000.0
09/28/1995,16:00,1.62,1.62,1.62,1.62,0.0
09/29/1995,16:00,1.66,1.66,1.66,1.66,800.0
10/02/1995,16:00,1.62,1.85,1.62,1.85,4800.0
10/03/1995,16:00,1.63,1.70,1.63,1.70,14800.0
10/04/1995,16:00,1.70,1.70,1.70,1.70,0.0
10/05/1995,16:00,1.70,1.70,1.70,1.70,0.0
10/06/1995,16:00,1.70,1.70,1.70,1.70,0.0
10/09/1995,16:00,1.70,1.70,1.70,1.70,0.0
10/10/1995,16:00,1.85,1.85,1.62,1.85,36800.0
10/11/1995,16:00,1.70,1.70,1.70,1.70,2000.0
10/12/1995,16:00,1.62,1.62,1.62,1.62,10000.0
10/13/1995,16:00,1.62,1.62,1.62,1.62,0.0
10/16/1995,16:00,1.62,1.62,1.62,1.62,2000.0
10/17/1995,16:00,1.62,1.77,1.62,1.77,14000.0
10/18/1995,16:00,1.77,1.77,1.77,1.77,0.0
10/19/1995,16:00,1.77,1.77,1.77,1.77,0.0
10/20/1995,16:00,1.77,1.77,1.77,1.77,0.0
10/23/1995,16:00,1.77,1.77,1.77,1.77,0.0
10/24/1995,16:00,1.77,1.77,1.77,1.77,0.0
10/25/1995,16:00,1.67,1.67,1.67,1.67,4800.0
10/26/1995,16:00,1.67,1.67,1.67,1.67,0.0
10/27/1995,16:00,1.49,1.49,1.49,1.49,2000.0
10/30/1995,16:00,1.74,1.74,1.74,1.74,800.0
10/31/1995,16:00,1.74,1.74,1.74,1.74,0.0
11/01/1995,16:00,1.48,1.48,1.48,1.48,800.0
11/02/1995,16:00,1.48,1.48,1.48,1.48,0.0
