Date,Time,Open,High,Low,Close,Vol
01/04/1988,16:00,2.99,2.99,2.93,2.97,48701.25
01/05/1988,16:00,2.99,2.99,2.89,2.89,42097.5
01/06/1988,16:00,2.85,2.87,2.84,2.85,141097.5
01/07/1988,16:00,2.85,2.89,2.82,2.85,71701.875
01/08/1988,16:00,2.89,2.89,2.84,2.84,30099.375
01/11/1988,16:00,2.84,2.84,2.80,2.82,31500.0
01/12/1988,16:00,2.76,2.76,2.63,2.67,387697.5
01/13/1988,16:00,2.63,2.63,2.63,2.63,59197.5
01/14/1988,16:00,2.63,2.67,2.63,2.65,33901.875
01/15/1988,16:00,2.67,2.70,2.67,2.68,46800.0
01/18/1988,16:00,2.70,2.74,2.70,2.74,6097.5
01/19/1988,16:00,2.67,2.67,2.65,2.67,19501.875
01/20/1988,16:00,2.65,2.65,2.63,2.63,24300.0
01/21/1988,16:00,2.65,2.65,2.55,2.55,12701.25
01/22/1988,16:00,2.55,2.67,2.55,2.67,11497.5
01/25/1988,16:00,2.70,2.70,2.67,2.67,2497.5
01/26/1988,16:00,2.70,2.70,2.70,2.70,1001.25
01/27/1988,16:00,2.68,2.70,2.68,2.70,2497.5
01/28/1988,16:00,2.68,2.68,2.59,2.63,34801.875
01/29/1988,16:00,2.67,2.70,2.67,2.70,124897.5
02/01/1988,16:00,2.67,2.67,2.63,2.63,38497.5
02/02/1988,16:00,2.63,2.68,2.63,2.68,3301.875
02/03/1988,16:00,2.70,2.72,2.68,2.70,43897.5
02/04/1988,16:00,2.70,2.70,2.70,2.70,2497.5
02/05/1988,16:00,2.70,2.70,2.70,2.70,3301.875
02/08/1988,16:00,2.70,2.72,2.70,2.72,117000.0
02/09/1988,16:00,2.70,2.70,2.63,2.70,25599.375
02/10/1988,16:00,2.63,2.67,2.63,2.67,25599.375
02/11/1988,16:00,2.68,2.78,2.68,2.72,43599.375
02/12/1988,16:00,2.76,2.93,2.76,2.85,242201.25
