Date,Time,Open,High,Low,Close,Vol
08/18/1995,16:00,3.80,3.82,3.80,3.82,10800.0
08/21/1995,16:00,3.80,3.80,3.80,3.80,101.25
08/22/1995,16:00,3.80,3.80,3.80,3.80,2200.5
08/23/1995,16:00,3.80,3.80,3.80,3.80,2700.0
08/24/1995,16:00,3.80,3.80,3.80,3.80,901.125
08/25/1995,16:00,3.80,3.80,3.80,3.80,0.0
08/28/1995,16:00,3.80,3.94,3.80,3.91,24300.0
08/29/1995,16:00,3.91,3.91,3.91,3.91,1498.5
08/30/1995,16:00,3.80,3.80,3.80,3.80,9001.125
08/31/1995,16:00,3.80,3.80,3.80,3.80,0.0
09/01/1995,16:00,3.80,3.80,3.80,3.80,0.0
09/05/1995,16:00,3.80,3.80,3.80,3.80,0.0
09/06/1995,16:00,3.98,3.98,3.98,3.98,101.25
09/07/1995,16:00,3.98,3.98,3.98,3.98,0.0
09/08/1995,16:00,3.80,3.98,3.80,3.98,600.75
09/11/1995,16:00,3.80,3.80,3.80,3.80,4900.5
09/12/1995,16:00,3.80,3.80,3.80,3.80,0.0
09/13/1995,16:00,3.80,3.80,3.80,3.80,0.0
09/14/1995,16:00,3.83,3.91,3.83,3.91,24300.0
09/15/1995,16:00,3.94,3.94,3.80,3.87,3300.75
09/18/1995,16:00,3.87,3.87,3.80,3.80,6000.75
09/19/1995,16:00,3.80,3.80,3.80,3.80,0.0
09/20/1995,16:00,3.80,3.80,3.80,3.80,0.0
09/21/1995,16:00,3.80,3.80,3.80,3.80,600.75
09/22/1995,16:00,3.80,3.80,3.80,3.80,0.0
09/25/1995,16:00,3.80,3.80,3.80,3.80,0.0
09/26/1995,16:00,3.80,3.94,3.80,3.94,1900.125
09/27/1995,16:00,3.80,3.80,3.80,3.80,600.75
09/28/1995,16:00,3.83,3.83,3.83,3.83,10000.125
09/29/1995,16:00,3.98,3.98,3.83,3.98,16301.25
10/02/1995,16:00,3.94,3.98,3.83,3.83,8201.25
10/03/1995,16:00,3.85,3.94,3.85,3.94,6699.375
10/04/1995,16:00,3.98,3.98,3.98,3.98,101.25
10/05/1995,16:00,3.94,3.94,3.94,3.94,3300.75
10/06/1995,16:00,3.91,3.91,3.91,3.91,10901.25
10/09/1995,16:00,3.91,3.91,3.91,3.91,0.0
10/10/1995,16:00,4.09,4.09,4.09,4.09,1498.5
10/11/1995,16:00,4.09,4.09,4.09,4.09,0.0
10/12/1995,16:00,4.09,4.09,4.09,4.09,0.0
10/13/1995,16:00,3.87,3.87,3.87,3.87,1498.5
10/16/1995,16:00,4.02,4.02,4.02,4.02,1299.375
10/17/1995,16:00,4.17,4.17,4.11,4.11,24401.25
10/18/1995,16:00,4.17,4.17,3.91,3.91,1299.375
10/19/1995,16:00,4.17,4.17,4.04,4.17,6898.5
10/20/1995,16:00,3.98,3.98,3.98,3.98,18900.0
10/23/1995,16:00,3.91,3.98,3.91,3.98,8201.25
10/24/1995,16:00,3.98,3.98,3.98,3.98,0.0
10/25/1995,16:00,4.17,4.17,4.17,4.17,101.25
10/26/1995,16:00,4.17,4.17,4.17,4.17,1498.5
10/27/1995,16:00,3.87,4.17,3.87,4.17,1299.375
10/30/1995,16:00,4.17,4.17,4.17,4.17,0.0
10/31/1995,16:00,4.17,4.17,4.17,4.17,0.0
11/01/1995,16:00,4.17,4.17,4.17,4.17,0.0
11/02/1995,16:00,3.94,4.17,3.94,4.17,3999.375
11/03/1995,16:00,3.94,4.17,3.94,4.17,1900.125
11/06/1995,16:00,4.09,4.09,4.02,4.02,3999.375
11/07/1995,16:00,4.02,4.02,4.02,4.02,0.0
11/08/1995,16:00,4.02,4.02,4.02,4.02,0.0
11/09/1995,16:00,4.02,4.02,4.02,4.02,0.0
11/10/1995,16:00,4.02,4.02,4.02,4.02,0.0
11/13/1995,16:00,4.02,4.02,4.02,4.02,0.0
11/14/1995,16:00,4.17,4.17,4.17,4.17,101.25
11/15/1995,16:00,4.17,4.17,4.17,4.17,101.25
11/16/1995,16:00,3.91,3.91,3.91,3.91,600.75
11/17/1995,16:00,3.91,3.91,3.91,3.91,0.0
11/20/1995,16:00,3.91,3.91,3.91,3.91,0.0
11/21/1995,16:00,4.17,4.17,4.05,4.05,901.125
11/22/1995,16:00,4.05,4.05,4.05,4.05,0.0
11/24/1995,16:00,4.05,4.05,4.05,4.05,0.0
11/27/1995,16:00,4.05,4.05,4.05,4.05,0.0
11/28/1995,16:00,4.05,4.05,4.05,4.05,0.0
11/29/1995,16:00,3.91,4.09,3.91,4.09,5400.0
11/30/1995,16:00,3.94,4.17,3.94,3.94,3999.375
12/01/1995,16:00,3.94,4.17,3.94,4.17,1498.5
12/04/1995,16:00,4.17,4.17,4.17,4.17,3300.75
12/05/1995,16:00,3.94,3.94,3.94,3.94,101.25
12/06/1995,16:00,4.09,4.09,4.09,4.09,3300.75
12/07/1995,16:00,4.00,4.11,4.00,4.11,600.75
12/08/1995,16:00,4.11,4.11,4.11,4.11,0.0
12/11/1995,16:00,3.94,4.13,3.94,4.13,2801.25
12/12/1995,16:00,4.13,4.13,4.13,4.13,0.0
12/13/1995,16:00,4.05,4.17,3.98,3.98,3999.375
12/14/1995,16:00,3.98,3.98,3.98,3.98,0.0
12/15/1995,16:00,3.98,3.98,3.98,3.98,0.0
12/18/1995,16:00,3.98,3.98,3.98,3.98,0.0
12/19/1995,16:00,4.02,4.13,4.02,4.13,12298.5
12/20/1995,16:00,4.20,4.20,4.20,4.20,101.25
12/21/1995,16:00,4.20,4.20,4.20,4.20,0.0
12/22/1995,16:00,4.20,4.20,4.20,4.20,0.0
12/26/1995,16:00,4.20,4.20,4.20,4.20,0.0
12/27/1995,16:00,4.42,4.42,4.20,4.42,4198.5
12/28/1995,16:00,4.46,4.46,4.46,4.46,0.0
12/29/1995,16:00,4.46,4.46,4.31,4.31,3601.125
01/02/1996,16:00,4.46,4.53,4.35,4.53,4198.5
01/03/1996,16:00,4.35,4.35,4.35,4.35,101.25
01/04/1996,16:00,4.53,4.53,4.53,4.53,101.25
01/05/1996,16:00,4.35,4.35,4.35,4.35,1498.5
01/08/1996,16:00,4.35,4.35,4.35,4.35,0.0
01/09/1996,16:00,4.35,4.35,4.35,4.35,901.125
01/10/1996,16:00,4.35,4.35,4.35,4.35,0.0
01/11/1996,16:00,4.35,4.53,4.35,4.46,15400.125
01/12/1996,16:00,4.46,4.46,4.46,4.46,0.0
01/15/1996,16:00,4.46,4.46,4.46,4.46,0.0
01/16/1996,16:00,4.52,4.53,4.52,4.53,23500.125
01/17/1996,16:00,4.38,4.38,4.38,4.38,2700.0
01/18/1996,16:00,4.46,4.46,4.46,4.46,1900.125
01/19/1996,16:00,4.35,4.35,4.35,4.35,1900.125
01/22/1996,16:00,4.50,4.50,4.50,4.50,1900.125
01/23/1996,16:00,4.50,4.50,4.50,4.50,0.0
01/24/1996,16:00,4.50,4.50,4.38,4.38,5400.0
01/25/1996,16:00,4.50,4.50,4.35,4.35,14799.375
01/26/1996,16:00,4.35,4.35,4.35,4.35,0.0
01/29/1996,16:00,4.35,4.35,4.35,4.35,0.0
01/30/1996,16:00,4.35,4.40,4.35,4.35,40500.0
01/31/1996,16:00,4.35,4.50,4.35,4.50,14100.75
02/01/1996,16:00,4.50,4.50,4.50,4.50,0.0
02/02/1996,16:00,4.46,4.46,4.35,4.35,8100.0
02/05/1996,16:00,4.35,4.35,4.35,4.35,2700.0
02/06/1996,16:00,4.46,4.46,4.35,4.35,4900.5
02/07/1996,16:00,4.35,4.35,4.35,4.35,0.0
02/08/1996,16:00,4.42,4.42,4.42,4.42,1498.5
02/09/1996,16:00,4.42,4.42,4.42,4.42,0.0
02/12/1996,16:00,4.35,4.35,4.35,4.35,1498.5
02/13/1996,16:00,4.42,4.42,4.35,4.35,3999.375
02/14/1996,16:00,4.42,4.42,4.35,4.35,901.125
02/15/1996,16:00,4.35,4.35,4.35,4.35,901.125
02/16/1996,16:00,4.35,4.35,4.35,4.35,0.0
02/20/1996,16:00,4.37,4.37,4.35,4.35,4900.5
02/21/1996,16:00,4.35,4.35,4.35,4.35,1900.125
02/22/1996,16:00,4.44,4.46,4.42,4.46,22899.375
02/23/1996,16:00,4.35,4.35,4.35,4.35,3601.125
02/26/1996,16:00,4.35,4.35,4.35,4.35,1498.5
02/27/1996,16:00,4.35,4.35,4.35,4.35,3300.75
02/28/1996,16:00,4.46,4.46,4.46,4.46,600.75
02/29/1996,16:00,4.38,4.46,4.35,4.35,17101.125
03/01/1996,16:00,4.35,4.46,4.35,4.46,35100.0
03/04/1996,16:00,4.31,4.46,4.31,4.46,4600.125
03/05/1996,16:00,4.33,4.37,4.31,4.31,15400.125
03/06/1996,16:00,4.31,4.31,4.31,4.31,0.0
03/07/1996,16:00,4.31,4.42,4.31,4.42,3300.75
03/08/1996,16:00,4.31,4.38,4.31,4.38,3601.125
03/11/1996,16:00,4.38,4.38,4.38,4.38,0.0
03/12/1996,16:00,4.09,4.09,4.09,4.09,600.75
03/13/1996,16:00,4.09,4.09,4.09,4.09,0.0
03/14/1996,16:00,4.09,4.09,4.09,4.09,0.0
03/15/1996,16:00,4.09,4.09,4.09,4.09,0.0
03/18/1996,16:00,4.16,4.16,4.16,4.16,600.75
03/19/1996,16:00,4.31,4.38,4.31,4.38,10000.125
03/20/1996,16:00,4.38,4.38,4.38,4.38,0.0
03/21/1996,16:00,4.38,4.38,4.31,4.38,6301.125
03/22/1996,16:00,4.31,4.31,4.31,4.31,7600.5
03/25/1996,16:00,4.53,4.53,4.33,4.33,4198.5
03/26/1996,16:00,4.33,4.33,4.33,4.33,4600.125
03/27/1996,16:00,4.35,4.53,4.35,4.53,9598.5
03/28/1996,16:00,4.57,4.57,4.57,4.57,0.0
03/29/1996,16:00,4.35,4.35,4.35,4.35,101.25
04/01/1996,16:00,4.57,4.57,4.57,4.57,901.125
04/02/1996,16:00,4.38,4.38,4.38,4.38,101.25
04/03/1996,16:00,4.38,4.38,4.38,4.38,0.0
04/04/1996,16:00,4.57,4.57,4.46,4.46,3999.375
04/08/1996,16:00,4.46,4.57,4.46,4.57,11400.75
04/09/1996,16:00,4.57,4.57,4.46,4.46,600.75
04/10/1996,16:00,4.46,4.57,4.46,4.57,1299.375
04/11/1996,16:00,4.57,4.57,4.57,4.57,0.0
04/12/1996,16:00,4.57,4.57,4.57,4.57,0.0
04/15/1996,16:00,4.46,4.57,4.46,4.46,38400.75
04/16/1996,16:00,4.57,4.57,4.50,4.50,6699.375
04/17/1996,16:00,4.65,4.65,4.57,4.57,901.125
04/18/1996,16:00,4.65,4.65,4.65,4.65,600.75
04/19/1996,16:00,4.65,4.65,4.50,4.50,8700.75
04/22/1996,16:00,4.65,4.65,4.65,4.65,6699.375
04/23/1996,16:00,4.50,4.50,4.50,4.50,600.75
04/24/1996,16:00,4.57,4.57,4.57,4.57,3300.75
04/25/1996,16:00,4.57,4.80,4.57,4.80,20199.375
04/26/1996,16:00,4.61,4.80,4.61,4.80,3300.75
04/29/1996,16:00,4.87,4.87,4.61,4.69,3601.125
04/30/1996,16:00,4.87,4.87,4.57,4.87,13601.25
05/01/1996,16:00,4.87,5.02,4.87,4.99,6898.5
05/02/1996,16:00,5.02,5.17,4.95,5.17,14799.375
05/03/1996,16:00,5.17,5.17,5.17,5.17,2200.5
05/06/1996,16:00,5.17,5.17,4.99,4.99,23500.125
05/07/1996,16:00,4.95,5.14,4.87,4.95,23098.5
05/08/1996,16:00,4.95,4.95,4.95,4.95,0.0
05/09/1996,16:00,4.95,4.95,4.95,4.95,0.0
05/10/1996,16:00,5.10,5.10,5.10,5.10,6699.375
05/13/1996,16:00,5.10,5.10,5.10,5.10,901.125
05/14/1996,16:00,5.10,5.10,5.10,5.10,1299.375
05/15/1996,16:00,5.02,5.02,5.02,5.02,3300.75
05/16/1996,16:00,5.02,5.02,5.02,5.02,0.0
05/17/1996,16:00,5.10,5.10,5.10,5.10,101.25
05/20/1996,16:00,4.80,4.80,4.80,4.80,101.25
05/21/1996,16:00,5.10,5.10,5.10,5.10,8201.25
05/22/1996,16:00,4.84,4.84,4.84,4.84,1299.375
05/23/1996,16:00,4.84,4.84,4.84,4.84,0.0
05/24/1996,16:00,5.17,5.17,5.02,5.02,8100.0
05/28/1996,16:00,5.25,5.25,5.17,5.17,16800.75
05/29/1996,16:00,5.17,5.17,5.17,5.17,0.0
05/30/1996,16:00,5.25,5.25,5.02,5.10,1498.5
05/31/1996,16:00,5.25,5.25,5.25,5.25,600.75
06/03/1996,16:00,5.25,5.25,5.25,5.25,3999.375
