Date,Time,Open,High,Low,Close,Vol
03/17/1992,16:00,1.53,1.60,1.53,1.57,74600.0
03/18/1992,16:00,1.60,1.60,1.53,1.53,29300.0
03/19/1992,16:00,1.53,1.55,1.51,1.51,44800.0
03/20/1992,16:00,1.53,1.53,1.48,1.48,61300.0
03/23/1992,16:00,1.51,1.51,1.44,1.46,46400.0
03/24/1992,16:00,1.44,1.46,1.44,1.44,17800.0
03/25/1992,16:00,1.44,1.55,1.42,1.53,73200.0
03/26/1992,16:00,1.53,1.62,1.53,1.53,82700.0
03/27/1992,16:00,1.51,1.60,1.48,1.57,128600.0
03/30/1992,16:00,1.55,1.66,1.53,1.57,143100.0
03/31/1992,16:00,1.57,1.57,1.53,1.57,41100.0
04/01/1992,16:00,1.53,1.57,1.51,1.55,52000.0
04/02/1992,16:00,1.57,1.57,1.51,1.53,43600.0
04/03/1992,16:00,1.53,1.55,1.48,1.55,85500.0
04/06/1992,16:00,1.53,1.57,1.48,1.55,62000.0
04/07/1992,16:00,1.55,1.55,1.44,1.48,44200.0
04/08/1992,16:00,1.46,1.51,1.42,1.51,102700.0
04/09/1992,16:00,1.48,1.51,1.44,1.48,35700.0
04/10/1992,16:00,1.48,1.51,1.46,1.46,20500.0
04/13/1992,16:00,1.48,1.55,1.46,1.48,71500.0
04/14/1992,16:00,1.51,1.51,1.44,1.51,33000.0
04/15/1992,16:00,1.46,1.57,1.46,1.57,111300.0
04/16/1992,16:00,1.57,1.64,1.55,1.57,123900.0
04/20/1992,16:00,1.55,1.55,1.51,1.53,31900.0
04/21/1992,16:00,1.51,1.55,1.51,1.55,28600.0
04/22/1992,16:00,1.53,1.55,1.51,1.51,27400.0
04/23/1992,16:00,1.53,1.53,1.48,1.48,38600.0
04/24/1992,16:00,1.46,1.48,1.44,1.48,48700.0
04/27/1992,16:00,1.44,1.60,1.44,1.55,86900.0
04/28/1992,16:00,1.57,1.60,1.53,1.57,106600.0
04/29/1992,16:00,1.55,1.57,1.53,1.57,41100.0
04/30/1992,16:00,1.55,1.66,1.53,1.62,268000.0
05/01/1992,16:00,1.62,1.69,1.62,1.66,272600.0
05/04/1992,16:00,1.64,1.69,1.60,1.64,53800.0
05/05/1992,16:00,1.64,1.66,1.60,1.64,84900.0
05/06/1992,16:00,1.64,1.78,1.55,1.78,119100.0
05/07/1992,16:00,1.84,1.84,1.75,1.84,451700.0
05/08/1992,16:00,1.82,1.82,1.75,1.82,197800.0
05/11/1992,16:00,1.75,1.78,1.75,1.78,60100.0
05/12/1992,16:00,1.75,1.75,1.71,1.75,43200.0
05/13/1992,16:00,1.73,1.80,1.73,1.80,55300.0
05/14/1992,16:00,1.78,1.78,1.75,1.78,44400.0
05/15/1992,16:00,1.75,1.80,1.75,1.78,32300.0
05/18/1992,16:00,1.80,1.80,1.78,1.80,16800.0
05/19/1992,16:00,1.78,1.78,1.73,1.75,45500.0
05/20/1992,16:00,1.75,1.78,1.73,1.75,16500.0
05/21/1992,16:00,1.73,1.75,1.73,1.75,46000.0
05/22/1992,16:00,1.73,1.75,1.73,1.75,8200.0
05/26/1992,16:00,1.73,1.73,1.69,1.71,52100.0
05/27/1992,16:00,1.71,1.71,1.64,1.66,72600.0
05/28/1992,16:00,1.66,1.66,1.55,1.64,160900.0
05/29/1992,16:00,1.64,1.69,1.62,1.62,93000.0
06/01/1992,16:00,1.60,1.64,1.57,1.62,41900.0
06/02/1992,16:00,1.62,1.62,1.60,1.62,5100.0
06/03/1992,16:00,1.60,1.64,1.60,1.62,33400.0
06/04/1992,16:00,1.64,1.64,1.62,1.62,20200.0
06/05/1992,16:00,1.60,1.60,1.55,1.60,27400.0
06/08/1992,16:00,1.57,1.60,1.55,1.60,17200.0
06/09/1992,16:00,1.55,1.55,1.48,1.51,76600.0
06/10/1992,16:00,1.51,1.53,1.44,1.46,70400.0
06/11/1992,16:00,1.48,1.51,1.44,1.46,44900.0
06/12/1992,16:00,1.48,1.51,1.46,1.51,33600.0
06/15/1992,16:00,1.48,1.60,1.48,1.60,74400.0
06/16/1992,16:00,1.62,1.62,1.55,1.55,29200.0
06/17/1992,16:00,1.57,1.73,1.55,1.66,132400.0
06/18/1992,16:00,1.66,1.66,1.60,1.64,42400.0
06/19/1992,16:00,1.66,1.66,1.60,1.64,41300.0
06/22/1992,16:00,1.62,1.62,1.57,1.62,37900.0
06/23/1992,16:00,1.60,1.66,1.57,1.64,44300.0
06/24/1992,16:00,1.66,1.71,1.66,1.69,138000.0
06/25/1992,16:00,1.66,1.71,1.60,1.64,37000.0
06/26/1992,16:00,1.62,1.75,1.62,1.69,94100.0
06/29/1992,16:00,1.71,1.75,1.66,1.75,51100.0
06/30/1992,16:00,1.75,1.82,1.71,1.73,125300.0
07/01/1992,16:00,1.71,1.71,1.66,1.71,73200.0
07/02/1992,16:00,1.71,1.71,1.66,1.69,30300.0
07/06/1992,16:00,1.71,1.73,1.64,1.66,67800.0
07/07/1992,16:00,1.69,1.75,1.69,1.71,39100.0
07/08/1992,16:00,1.69,1.71,1.66,1.71,46100.0
07/09/1992,16:00,1.71,1.71,1.69,1.71,27400.0
07/10/1992,16:00,1.71,1.71,1.66,1.69,28900.0
07/13/1992,16:00,1.69,1.73,1.66,1.73,33700.0
07/14/1992,16:00,1.71,1.73,1.71,1.73,15400.0
07/15/1992,16:00,1.71,1.78,1.71,1.78,51800.0
07/16/1992,16:00,1.75,1.78,1.71,1.78,39400.0
07/17/1992,16:00,1.75,1.80,1.73,1.75,101200.0
07/20/1992,16:00,1.75,1.78,1.73,1.75,50800.0
07/21/1992,16:00,1.75,1.75,1.75,1.75,25700.0
07/22/1992,16:00,1.73,1.78,1.73,1.78,36200.0
07/23/1992,16:00,1.75,1.78,1.75,1.78,51500.0
07/24/1992,16:00,1.73,1.73,1.69,1.71,58800.0
07/27/1992,16:00,1.71,1.71,1.64,1.66,44300.0
07/28/1992,16:00,1.66,1.71,1.66,1.69,18700.0
07/29/1992,16:00,1.66,1.69,1.66,1.69,31100.0
07/30/1992,16:00,1.71,1.73,1.64,1.64,38200.0
07/31/1992,16:00,1.64,1.71,1.62,1.66,52900.0
08/03/1992,16:00,1.64,1.69,1.64,1.69,12600.0
08/04/1992,16:00,1.66,1.69,1.64,1.69,44700.0
08/05/1992,16:00,1.66,1.69,1.66,1.69,5900.0
08/06/1992,16:00,1.69,1.69,1.62,1.62,37500.0
08/07/1992,16:00,1.62,1.66,1.62,1.66,8600.0
08/10/1992,16:00,1.64,1.66,1.64,1.66,7900.0
08/11/1992,16:00,1.66,1.71,1.66,1.69,47200.0
08/12/1992,16:00,1.66,1.69,1.66,1.69,8400.0
08/13/1992,16:00,1.69,1.71,1.66,1.69,44500.0
08/14/1992,16:00,1.66,1.71,1.66,1.69,30800.0
08/17/1992,16:00,1.69,1.69,1.64,1.69,54200.0
08/18/1992,16:00,1.71,1.71,1.66,1.69,46100.0
08/19/1992,16:00,1.69,1.75,1.66,1.75,81700.0
08/20/1992,16:00,1.78,1.80,1.75,1.80,160200.0
08/21/1992,16:00,1.80,1.80,1.75,1.75,94000.0
08/24/1992,16:00,1.75,1.78,1.73,1.75,58200.0
08/25/1992,16:00,1.73,1.78,1.73,1.75,37800.0
08/26/1992,16:00,1.78,1.89,1.75,1.89,356900.0
08/27/1992,16:00,1.89,1.93,1.87,1.89,178900.0
08/28/1992,16:00,1.89,1.89,1.84,1.87,64300.0
08/31/1992,16:00,1.84,1.87,1.80,1.82,71100.0
09/01/1992,16:00,1.80,1.98,1.80,1.98,152000.0
09/02/1992,16:00,1.98,2.16,1.98,2.07,230500.0
09/03/1992,16:00,2.16,2.18,2.02,2.05,833900.0
09/04/1992,16:00,2.07,2.09,2.00,2.05,131700.0
09/08/1992,16:00,1.98,2.00,1.91,1.96,171200.0
09/09/1992,16:00,1.96,1.98,1.84,1.89,129700.0
09/10/1992,16:00,1.87,1.93,1.87,1.91,54900.0
09/11/1992,16:00,1.89,1.96,1.89,1.91,74500.0
09/14/1992,16:00,1.91,1.98,1.91,1.96,119100.0
09/15/1992,16:00,1.96,2.05,1.93,1.98,165600.0
09/16/1992,16:00,1.98,2.02,1.98,2.00,68600.0
09/17/1992,16:00,2.00,2.00,1.93,1.96,57000.0
09/18/1992,16:00,1.98,2.05,1.96,2.05,72200.0
09/21/1992,16:00,2.14,2.14,2.05,2.07,112100.0
09/22/1992,16:00,2.09,2.09,2.02,2.07,21900.0
09/23/1992,16:00,2.07,2.09,2.00,2.02,51100.0
