Date,Time,Open,High,Low,Close,Vol
10/19/2011,16:00,14.5,16.34,14.0,15.5,3542000.0
10/20/2011,16:00,15.53,15.8,15.26,15.7,263200.0
10/21/2011,16:00,15.8,15.8,15.31,15.62,88800.0
10/24/2011,16:00,15.6,16.01,15.17,16.01,59500.0
10/25/2011,16:00,16.03,16.03,15.05,15.13,417100.0
10/26/2011,16:00,15.29,15.32,14.12,14.81,346000.0
10/27/2011,16:00,14.75,14.84,13.31,14.19,214300.0
10/28/2011,16:00,14.01,15.73,14.01,14.77,139500.0
10/31/2011,16:00,14.71,14.71,14.0,14.25,45800.0
11/01/2011,16:00,14.0,14.13,13.75,14.07,131100.0
11/02/2011,16:00,14.01,14.13,13.85,13.95,200800.0
11/03/2011,16:00,13.99,15.35,13.74,15.06,763600.0
11/04/2011,16:00,15.74,16.98,14.74,16.15,256400.0
11/07/2011,16:00,15.87,17.22,15.87,16.81,327400.0
11/08/2011,16:00,17.41,17.41,16.32,16.77,57200.0
11/09/2011,16:00,16.32,16.61,15.5,15.74,62400.0
11/10/2011,16:00,16.08,16.08,15.0,15.02,43400.0
11/11/2011,16:00,15.35,15.48,14.99,15.3,91600.0
11/14/2011,16:00,15.32,16.77,15.25,16.3,296100.0
11/15/2011,16:00,16.1,17.05,16.1,17.0,403900.0
11/16/2011,16:00,17.0,17.11,15.2,15.47,351100.0
11/17/2011,16:00,15.31,15.7,14.01,14.01,129500.0
11/18/2011,16:00,14.19,14.5,13.51,13.9,188300.0
11/21/2011,16:00,13.75,14.06,13.51,14.06,50800.0
11/22/2011,16:00,13.94,14.15,13.93,14.15,208700.0
11/23/2011,16:00,13.95,14.39,13.95,14.14,35600.0
11/25/2011,16:00,14.14,14.25,13.96,14.02,45100.0
11/28/2011,16:00,14.35,14.73,14.0,14.66,36700.0
11/29/2011,16:00,14.1,14.39,13.99,14.06,47000.0
11/30/2011,16:00,14.43,14.43,14.03,14.3,96700.0
12/01/2011,16:00,14.01,14.13,13.95,14.0,30900.0
12/02/2011,16:00,14.11,14.5,14.0,14.0,155000.0
12/05/2011,16:00,14.14,14.14,13.76,13.8,36900.0
12/06/2011,16:00,13.79,13.98,13.16,13.28,122900.0
12/07/2011,16:00,13.08,13.54,12.25,13.12,129000.0
12/08/2011,16:00,12.91,13.08,12.41,12.72,95500.0
12/09/2011,16:00,12.75,12.75,12.04,12.38,159100.0
12/12/2011,16:00,12.19,12.20,12.0,12.14,48200.0
12/13/2011,16:00,12.2,12.42,11.92,12.1,105700.0
12/14/2011,16:00,12.25,12.92,12.17,12.67,92400.0
12/15/2011,16:00,12.83,12.83,12.18,12.34,155000.0
12/16/2011,16:00,12.11,12.59,12.11,12.34,868000.0
12/19/2011,16:00,13.69,13.69,11.88,11.95,205400.0
12/20/2011,16:00,12.26,12.53,11.6,11.78,194700.0
12/21/2011,16:00,11.79,11.99,10.77,11.49,147500.0
12/22/2011,16:00,11.85,12.30,11.2,11.52,147100.0
12/23/2011,16:00,11.62,11.85,11.01,11.46,131200.0
12/27/2011,16:00,11.48,11.54,11.27,11.34,32000.0
12/28/2011,16:00,11.34,11.46,10.99,11.13,112400.0
12/29/2011,16:00,11.22,11.59,10.99,11.04,147700.0
12/30/2011,16:00,11.09,11.41,11.0,11.36,154200.0
01/03/2012,16:00,11.51,11.53,11.14,11.47,83100.0
01/04/2012,16:00,11.46,12.45,11.44,12.01,207800.0
01/05/2012,16:00,12.0,12.07,11.9,12.0,67500.0
01/06/2012,16:00,12.03,12.66,11.9,12.21,104500.0
01/09/2012,16:00,12.31,12.33,11.05,11.16,240800.0
01/10/2012,16:00,11.24,11.24,10.05,10.25,364300.0
01/11/2012,16:00,10.3,10.3,9.82,10.05,352700.0
01/12/2012,16:00,10.06,10.28,9.96,10.15,151000.0
01/13/2012,16:00,10.3,10.83,10.3,10.75,523600.0
01/17/2012,16:00,10.87,11.14,10.7,11.08,394900.0
01/18/2012,16:00,11.9,11.95,11.35,11.58,984800.0
01/19/2012,16:00,11.79,12.05,11.6,11.86,378800.0
01/20/2012,16:00,11.88,12.04,11.45,11.56,191300.0
01/23/2012,16:00,11.63,12.31,11.56,11.84,164000.0
01/24/2012,16:00,11.99,12.2,11.48,11.64,143300.0
